vertex_1,vertex_2,is_treated
0,19,0
22,19,0
27,19,0
66,19,0
0,23,0
51,23,0
57,23,0
1,2,0
65,2,0
1,4,0
47,4,0
1,17,0
12,17,0
41,17,0
2,1,0
4,1,0
17,1,0
2,65,1
3,12,0
10,12,0
13,12,0
17,12,0
3,37,0
31,37,0
49,37,0
4,47,0
5,47,0
24,47,0
51,47,0
5,18,0
42,18,0
46,18,0
5,77,1
32,77,1
48,77,1
58,77,1
60,77,1
6,9,0
53,9,0
6,61,1
14,61,1
48,61,1
49,61,1
7,22,0
19,22,0
29,22,0
7,31,0
35,31,0
37,31,0
7,48,0
61,48,0
66,48,0
77,48,0
8,75,1
56,75,1
9,6,0
61,6,0
9,53,1
10,13,0
12,13,0
11,36,0
14,36,0
45,36,0
46,36,0
11,49,0
37,49,0
40,49,0
61,49,0
11,54,1
29,54,1
42,54,1
12,3,0
37,3,0
12,10,0
13,10,0
15,45,0
36,45,0
15,67,1
46,67,1
16,38,0
20,38,0
30,38,0
17,41,0
18,5,0
47,5,0
77,5,0
18,42,0
54,42,0
18,46,0
36,46,0
67,46,0
19,0,0
23,0,0
19,27,0
19,66,1
20,66,1
24,66,1
43,66,1
48,66,1
21,55,1
63,55,1
88,55,1
21,80,1
88,80,1
22,7,0
31,7,0
48,7,0
22,29,0
54,29,0
62,29,0
23,51,1
24,51,1
47,51,1
23,57,1
24,62,1
29,62,1
25,79,1
26,79,1
86,79,1
25,99,1
58,99,1
28,70,1
44,70,1
60,70,1
28,82,1
50,82,1
98,82,1
28,92,1
44,92,1
93,92,1
31,35,0
33,74,1
84,74,1
91,74,1
33,83,1
96,83,1
33,94,1
86,94,1
34,73,1
76,73,1
34,93,1
92,93,1
36,11,0
49,11,0
54,11,0
36,14,0
61,14,0
38,16,0
38,20,0
66,20,0
38,30,0
39,43,0
66,43,0
43,39,0
45,15,0
67,15,0
47,24,0
51,24,0
62,24,0
66,24,0
49,40,0
50,78,1
52,89,1
96,89,1
52,97,1
55,21,0
80,21,0
55,63,1
76,63,1
55,88,1
80,88,1
56,90,1
64,90,1
84,90,1
58,60,1
68,60,1
70,60,1
77,60,1
58,64,1
85,64,1
90,64,1
58,98,1
76,98,1
82,98,1
59,72,1
95,72,1
59,76,1
63,76,1
73,76,1
95,76,1
98,76,1
60,58,1
64,58,1
77,58,1
98,58,1
99,58,1
60,68,1
64,85,1
69,81,1
71,81,1
87,81,1
69,84,1
74,84,1
90,84,1
70,28,0
82,28,0
92,28,0
70,44,0
92,44,0
72,59,1
76,59,1
72,95,1
76,95,1
73,34,0
93,34,0
74,33,0
83,33,0
94,33,0
74,91,1
75,8,0
75,56,1
90,56,1
77,32,0
78,50,1
82,50,1
79,25,0
99,25,0
79,26,0
79,86,1
94,86,1
81,69,1
84,69,1
81,71,1
81,87,1
83,96,1
89,96,1
89,52,1
97,52,1
