vertex_1,vertex_2,is_treated
0,85,1
57,85,1
0,95,1
28,95,1
73,95,1
0,99,1
23,99,1
87,99,1
1,6,0
34,6,0
49,6,0
1,43,0
2,50,1
73,50,1
2,77,1
37,77,1
97,77,1
2,93,1
13,93,1
14,93,1
21,93,1
40,93,1
53,93,1
3,9,0
24,9,0
3,16,0
24,16,0
81,16,0
3,44,0
11,44,0
69,44,0
4,52,1
27,52,1
28,52,1
45,52,1
96,52,1
4,98,1
19,98,1
40,98,1
67,98,1
74,98,1
5,49,0
6,49,0
32,49,0
6,1,0
43,1,0
6,34,0
7,11,0
18,11,0
20,11,0
44,11,0
8,76,1
91,76,1
9,3,0
16,3,0
44,3,0
9,24,0
12,24,0
16,24,0
36,24,0
10,47,0
14,47,0
17,47,0
32,47,0
48,47,0
10,54,1
10,59,1
30,59,1
10,65,1
26,65,1
10,69,1
44,69,1
11,7,0
11,18,0
38,18,0
11,20,0
30,20,0
12,83,1
31,83,1
62,83,1
14,63,1
39,63,1
14,64,1
14,66,1
14,71,1
15,92,1
22,92,1
79,92,1
16,81,1
61,81,1
17,36,0
24,36,0
17,70,1
18,38,0
33,38,0
19,75,1
89,75,1
20,30,0
46,30,0
59,30,0
22,74,1
42,74,1
98,74,1
22,82,1
86,82,1
24,12,0
83,12,0
25,33,0
38,33,0
46,33,0
26,39,0
63,39,0
26,68,1
27,41,0
28,72,1
55,72,1
28,84,1
35,84,1
67,84,1
28,90,1
60,90,1
29,78,1
53,78,1
56,78,1
61,78,1
30,46,0
33,46,0
45,46,0
33,25,0
35,57,1
85,57,1
35,58,1
96,58,1
36,17,0
47,17,0
70,17,0
39,26,0
65,26,0
68,26,0
41,27,0
52,27,0
46,45,0
52,45,0
47,10,0
54,10,0
59,10,0
65,10,0
69,10,0
47,14,0
63,14,0
64,14,0
66,14,0
71,14,0
93,14,0
47,32,0
49,32,0
47,48,0
49,5,0
50,2,0
77,2,0
93,2,0
50,73,1
89,73,1
95,73,1
51,97,1
61,97,1
77,97,1
52,4,0
98,4,0
52,28,0
72,28,0
84,28,0
90,28,0
95,28,0
52,96,1
58,96,1
94,96,1
53,56,1
78,56,1
91,56,1
53,91,1
56,91,1
76,91,1
80,91,1
56,53,1
78,53,1
91,53,1
93,53,1
57,35,0
58,35,0
84,35,0
60,67,1
84,67,1
98,67,1
60,88,1
67,60,1
88,60,1
90,60,1
72,55,1
73,89,1
75,89,1
74,22,0
82,22,0
92,22,0
74,42,0
75,19,0
98,19,0
76,8,0
77,37,0
78,29,0
78,61,1
81,61,1
97,61,1
82,86,1
83,31,0
83,62,1
85,0,0
95,0,0
99,0,0
91,80,1
92,15,0
92,79,1
93,13,0
93,21,0
93,40,0
98,40,0
96,94,1
97,51,1
99,23,0
99,87,1
