vertex_1,vertex_2,is_treated
0,17,0
14,17,0
38,17,0
40,17,0
0,21,0
15,21,0
0,56,1
1,54,1
29,54,1
97,54,1
1,92,1
29,92,1
83,92,1
88,92,1
2,11,0
53,11,0
2,61,1
4,61,1
9,61,1
43,61,1
3,96,1
33,96,1
38,96,1
44,96,1
84,96,1
95,96,1
4,48,0
14,48,0
40,48,0
5,76,1
12,76,1
24,76,1
65,76,1
89,76,1
6,8,0
72,8,0
6,59,1
41,59,1
44,59,1
7,45,0
13,45,0
32,45,0
8,6,0
59,6,0
8,72,1
9,10,0
13,10,0
57,10,0
71,10,0
75,10,0
10,9,0
61,9,0
10,13,0
18,13,0
45,13,0
10,57,1
42,57,1
10,71,1
18,71,1
32,71,1
10,75,1
11,2,0
61,2,0
11,53,1
41,53,1
12,66,1
81,66,1
12,82,1
29,82,1
31,82,1
89,82,1
12,93,1
50,93,1
13,18,0
62,18,0
68,18,0
71,18,0
14,26,0
28,26,0
14,64,1
25,64,1
78,64,1
15,19,0
16,30,0
37,30,0
16,42,0
57,42,0
91,42,0
17,0,0
21,0,0
56,0,0
17,14,0
26,14,0
48,14,0
64,14,0
17,38,0
60,38,0
96,38,0
17,40,0
48,40,0
18,62,1
80,62,1
88,62,1
18,68,1
19,15,0
21,15,0
20,39,0
27,39,0
22,47,0
58,47,0
70,47,0
23,43,0
58,43,0
61,43,0
23,60,1
38,60,1
23,77,1
24,90,1
36,90,1
46,90,1
73,90,1
25,98,1
86,98,1
26,28,0
27,41,0
53,41,0
59,41,0
30,16,0
42,16,0
30,37,0
31,81,1
66,81,1
69,81,1
34,67,1
50,67,1
65,67,1
34,79,1
86,79,1
35,44,0
52,44,0
59,44,0
96,44,0
39,20,0
39,27,0
41,27,0
42,91,1
74,91,1
43,23,0
60,23,0
77,23,0
43,58,1
47,58,1
44,35,0
44,52,1
45,7,0
45,32,0
71,32,0
46,63,1
49,63,1
69,63,1
46,80,1
62,80,1
47,22,0
47,70,1
48,4,0
61,4,0
50,87,1
89,87,1
51,73,1
90,73,1
51,85,1
94,85,1
54,1,0
92,1,0
54,29,0
82,29,0
92,29,0
54,97,1
55,69,1
63,69,1
81,69,1
86,69,1
62,88,1
92,88,1
63,46,0
80,46,0
90,46,0
63,49,0
64,25,0
98,25,0
64,78,1
66,12,0
76,12,0
82,12,0
93,12,0
67,34,0
79,34,0
67,50,1
87,50,1
93,50,1
67,65,1
76,65,1
69,55,1
69,86,1
79,86,1
98,86,1
73,51,1
85,51,1
74,99,1
76,5,0
76,24,0
90,24,0
76,89,1
82,89,1
87,89,1
81,31,0
82,31,0
85,94,1
90,36,0
91,74,1
99,74,1
92,83,1
96,3,0
96,33,0
96,84,1
96,95,1
