vertex_1,vertex_2,is_treated
0,11,0
5,11,0
28,11,0
0,15,0
37,15,0
76,15,0
0,47,0
35,47,0
62,47,0
0,66,1
20,66,1
37,66,1
41,66,1
1,27,0
60,27,0
2,89,1
13,89,1
17,89,1
24,89,1
50,89,1
3,23,0
31,23,0
43,23,0
49,23,0
3,28,0
11,28,0
20,28,0
3,35,0
47,35,0
49,35,0
51,35,0
3,38,0
21,38,0
22,38,0
40,38,0
4,33,0
4,52,1
18,52,1
22,52,1
42,52,1
4,61,1
25,61,1
5,19,0
20,19,0
42,19,0
45,19,0
5,31,0
23,31,0
36,31,0
6,82,1
7,82,1
9,82,1
26,82,1
46,82,1
56,82,1
8,25,0
53,25,0
61,25,0
62,25,0
8,53,1
25,53,1
9,83,1
78,83,1
96,83,1
9,94,1
13,94,1
14,94,1
30,94,1
55,94,1
10,95,1
92,95,1
11,0,0
15,0,0
47,0,0
66,0,0
11,5,0
19,5,0
31,5,0
12,91,1
54,91,1
12,97,1
13,97,1
26,97,1
32,97,1
48,97,1
81,97,1
13,55,1
75,55,1
94,55,1
15,37,0
39,37,0
43,37,0
66,37,0
15,76,1
72,76,1
16,45,0
19,45,0
21,45,0
18,40,0
38,40,0
41,40,0
18,60,1
27,60,1
19,20,0
22,20,0
28,20,0
66,20,0
19,42,0
52,42,0
63,42,0
20,22,0
38,22,0
52,22,0
63,22,0
22,63,1
42,63,1
23,3,0
28,3,0
35,3,0
38,3,0
23,43,0
34,43,0
37,43,0
44,43,0
23,49,0
35,49,0
24,71,1
84,71,1
25,8,0
53,8,0
25,62,1
47,62,1
27,1,0
29,96,1
83,96,1
98,96,1
31,36,0
59,36,0
33,4,0
52,4,0
61,4,0
34,58,1
35,51,1
36,59,1
37,39,0
38,21,0
45,21,0
40,18,0
52,18,0
60,18,0
40,41,0
66,41,0
43,34,0
58,34,0
43,44,0
45,16,0
50,90,1
54,69,1
78,69,1
55,13,0
89,13,0
94,13,0
97,13,0
55,75,1
56,80,1
57,78,1
64,78,1
69,78,1
83,78,1
92,78,1
57,81,1
74,81,1
97,81,1
64,73,1
72,73,1
65,67,1
98,67,1
65,84,1
71,84,1
87,84,1
65,85,1
99,85,1
65,88,1
67,65,1
84,65,1
85,65,1
88,65,1
67,98,1
70,98,1
96,98,1
68,86,1
93,86,1
69,54,1
91,54,1
70,93,1
77,93,1
86,93,1
71,24,0
89,24,0
72,77,1
93,77,1
73,64,1
78,64,1
73,72,1
76,72,1
77,72,1
74,79,1
78,57,1
81,57,1
78,92,1
95,92,1
79,74,1
81,74,1
80,56,1
82,56,1
82,6,0
82,7,0
82,9,0
83,9,0
94,9,0
82,26,0
97,26,0
82,46,0
84,87,1
85,99,1
86,68,1
89,2,0
89,17,0
89,50,1
90,50,1
91,12,0
97,12,0
93,70,1
98,70,1
94,14,0
94,30,0
95,10,0
96,29,0
97,32,0
97,48,0
