vertex_1,vertex_2,is_treated
0,5,0
23,5,0
26,5,0
39,5,0
44,5,0
0,53,1
1,65,1
31,65,1
42,65,1
99,65,1
1,83,1
8,83,1
12,83,1
20,83,1
25,83,1
69,83,1
2,89,1
74,89,1
76,89,1
2,90,1
19,90,1
31,90,1
32,90,1
96,90,1
2,93,1
8,93,1
10,93,1
36,93,1
79,93,1
3,18,0
37,18,0
61,18,0
81,18,0
3,39,0
5,39,0
22,39,0
4,38,0
22,38,0
41,38,0
5,0,0
53,0,0
5,23,0
16,23,0
28,23,0
5,26,0
5,44,0
24,44,0
55,44,0
6,13,0
6,43,0
9,43,0
33,43,0
6,57,1
45,57,1
6,84,1
19,84,1
87,84,1
7,45,0
30,45,0
51,45,0
57,45,0
7,60,1
9,17,0
40,17,0
58,17,0
9,35,0
11,35,0
41,35,0
62,35,0
12,91,1
24,91,1
31,91,1
59,91,1
13,6,0
43,6,0
57,6,0
84,6,0
14,30,0
28,30,0
45,30,0
14,62,1
35,62,1
15,49,0
16,49,0
37,49,0
48,49,0
16,40,0
17,40,0
21,40,0
16,48,0
49,48,0
17,9,0
35,9,0
43,9,0
17,58,1
18,3,0
39,3,0
18,37,0
49,37,0
56,37,0
18,61,1
21,61,1
24,61,1
18,81,1
36,81,1
76,81,1
92,81,1
20,64,1
42,64,1
47,64,1
88,64,1
22,34,0
23,16,0
40,16,0
48,16,0
49,16,0
23,28,0
30,28,0
41,28,0
25,76,1
27,76,1
54,76,1
81,76,1
89,76,1
28,41,0
35,41,0
38,41,0
29,70,1
31,70,1
85,70,1
30,14,0
62,14,0
34,22,0
38,22,0
39,22,0
35,11,0
37,56,1
38,4,0
40,21,0
61,21,0
42,82,1
72,82,1
86,82,1
43,33,0
44,24,0
61,24,0
91,24,0
44,55,1
45,7,0
60,7,0
45,51,1
46,95,1
52,95,1
47,77,1
74,77,1
49,15,0
50,54,1
76,54,1
80,54,1
50,88,1
63,88,1
64,88,1
71,88,1
52,69,1
83,69,1
52,75,1
68,75,1
52,78,1
54,50,1
88,50,1
54,80,1
59,73,1
99,73,1
63,66,1
63,94,1
64,20,0
83,20,0
64,42,0
65,42,0
82,42,0
64,47,0
77,47,0
65,1,0
83,1,0
65,31,0
70,31,0
90,31,0
91,31,0
65,99,1
73,99,1
85,99,1
97,99,1
66,63,1
88,63,1
94,63,1
67,71,1
88,71,1
68,98,1
72,98,1
69,52,1
75,52,1
78,52,1
95,52,1
70,29,0
70,85,1
99,85,1
71,67,1
72,87,1
84,87,1
73,59,1
91,59,1
74,86,1
82,86,1
75,68,1
98,68,1
76,25,0
83,25,0
76,27,0
77,74,1
86,74,1
89,74,1
81,36,0
93,36,0
81,92,1
82,72,1
87,72,1
98,72,1
83,8,0
93,8,0
83,12,0
91,12,0
84,19,0
90,19,0
89,2,0
90,2,0
93,2,0
90,32,0
90,96,1
93,10,0
93,79,1
95,46,0
99,97,1
