vertex_1,vertex_2,is_treated
0,42,0
16,42,0
25,42,0
35,42,0
0,55,1
0,59,1
12,59,1
34,59,1
71,59,1
95,59,1
1,39,0
7,39,0
29,39,0
1,46,0
45,46,0
50,46,0
1,47,0
44,47,0
2,70,1
64,70,1
3,27,0
14,27,0
3,50,1
6,50,1
13,50,1
19,50,1
46,50,1
3,52,1
4,11,0
16,11,0
90,11,0
4,23,0
24,23,0
81,23,0
5,94,1
21,94,1
51,94,1
6,24,0
19,24,0
23,24,0
41,24,0
6,43,0
37,43,0
6,48,0
8,48,0
20,48,0
6,54,1
7,33,0
19,33,0
56,33,0
76,33,0
92,33,0
7,53,1
74,53,1
8,38,0
41,38,0
8,68,1
32,68,1
80,68,1
9,81,1
21,81,1
23,81,1
30,81,1
77,81,1
10,84,1
97,84,1
11,4,0
23,4,0
11,16,0
42,16,0
56,16,0
11,90,1
75,90,1
97,90,1
13,14,0
27,14,0
13,20,0
19,20,0
48,20,0
14,13,0
20,13,0
50,13,0
15,87,1
40,87,1
51,87,1
16,56,1
33,56,1
17,75,1
76,75,1
85,75,1
90,75,1
18,60,1
28,60,1
78,60,1
93,60,1
18,78,1
21,78,1
60,78,1
18,79,1
98,79,1
18,82,1
88,82,1
18,98,1
61,98,1
69,98,1
79,98,1
19,76,1
21,76,1
33,76,1
75,76,1
20,19,0
24,19,0
33,19,0
50,19,0
76,19,0
22,67,1
28,67,1
73,67,1
22,92,1
26,92,1
33,92,1
61,92,1
24,6,0
43,6,0
48,6,0
50,6,0
54,6,0
24,41,0
38,41,0
25,29,0
39,29,0
45,29,0
49,29,0
27,3,0
50,3,0
52,3,0
29,25,0
42,25,0
29,45,0
46,45,0
29,49,0
37,49,0
30,64,1
70,64,1
30,89,1
65,89,1
31,58,1
36,58,1
65,58,1
33,7,0
39,7,0
53,7,0
35,44,0
47,44,0
38,8,0
48,8,0
68,8,0
39,1,0
46,1,0
47,1,0
42,0,0
55,0,0
59,0,0
42,35,0
44,35,0
43,37,0
49,37,0
53,74,1
95,74,1
57,72,1
73,72,1
91,72,1
58,31,0
58,36,0
58,65,1
89,65,1
59,12,0
59,34,0
59,71,1
63,71,1
59,95,1
62,95,1
73,95,1
74,95,1
60,18,0
78,18,0
79,18,0
82,18,0
98,18,0
60,28,0
67,28,0
60,93,1
61,97,1
62,97,1
84,97,1
90,97,1
62,99,1
64,30,0
81,30,0
89,30,0
66,80,1
68,80,1
83,80,1
67,22,0
92,22,0
67,73,1
72,73,1
95,73,1
68,32,0
70,2,0
71,63,1
72,57,1
72,91,1
75,17,0
75,85,1
76,21,0
78,21,0
81,21,0
94,21,0
80,66,1
80,83,1
81,9,0
81,77,1
82,88,1
86,88,1
96,88,1
84,10,0
87,15,0
87,40,0
87,51,1
94,51,1
88,86,1
88,96,1
92,26,0
92,61,1
97,61,1
98,61,1
94,5,0
95,62,1
97,62,1
99,62,1
98,69,1
