vertex_1,vertex_2,is_treated
0,81,1
3,81,1
11,81,1
60,81,1
0,94,1
87,94,1
0,95,1
38,95,1
83,95,1
1,35,0
43,35,0
1,69,1
4,69,1
18,69,1
1,73,1
28,73,1
1,74,1
2,12,0
41,12,0
2,31,0
14,31,0
45,31,0
75,31,0
78,31,0
3,59,1
87,59,1
97,59,1
3,92,1
98,92,1
4,41,0
12,41,0
4,71,1
4,72,1
4,93,1
84,93,1
5,45,0
31,45,0
5,56,1
44,56,1
5,67,1
5,75,1
31,75,1
6,30,0
47,30,0
6,57,1
18,57,1
6,70,1
7,77,1
15,77,1
39,77,1
62,77,1
8,98,1
92,98,1
9,33,0
27,33,0
9,36,0
44,36,0
10,85,1
55,85,1
58,85,1
87,85,1
12,2,0
31,2,0
13,16,0
42,16,0
15,55,1
68,55,1
85,55,1
15,63,1
21,63,1
90,63,1
99,63,1
16,13,0
16,42,0
40,42,0
17,25,0
50,25,0
17,27,0
33,27,0
18,49,0
47,49,0
18,52,1
20,52,1
21,52,1
18,86,1
62,86,1
19,88,1
32,88,1
37,88,1
62,88,1
64,88,1
20,21,0
52,21,0
63,21,0
20,38,0
40,38,0
51,38,0
54,38,0
95,38,0
21,20,0
38,20,0
52,20,0
22,28,0
34,28,0
73,28,0
22,40,0
38,40,0
42,40,0
23,82,1
60,82,1
23,97,1
59,97,1
24,79,1
48,79,1
78,79,1
90,79,1
25,17,0
27,17,0
25,50,1
26,44,0
36,44,0
56,44,0
66,44,0
28,22,0
40,22,0
28,34,0
43,34,0
29,43,0
34,43,0
35,43,0
30,6,0
57,6,0
70,6,0
30,47,0
49,47,0
31,14,0
31,78,1
79,78,1
33,9,0
36,9,0
35,1,0
69,1,0
73,1,0
74,1,0
38,51,1
38,54,1
41,4,0
69,4,0
71,4,0
72,4,0
93,4,0
43,29,0
44,26,0
44,66,1
45,5,0
56,5,0
67,5,0
75,5,0
46,65,1
89,65,1
96,65,1
46,83,1
95,83,1
49,18,0
52,18,0
57,18,0
69,18,0
86,18,0
53,61,1
91,61,1
99,61,1
53,76,1
55,15,0
63,15,0
77,15,0
55,68,1
60,68,1
64,68,1
80,68,1
58,80,1
68,80,1
59,3,0
81,3,0
92,3,0
59,87,1
85,87,1
94,87,1
61,53,1
76,53,1
61,91,1
61,99,1
63,99,1
84,99,1
63,90,1
79,90,1
65,46,0
83,46,0
65,89,1
65,96,1
68,60,1
81,60,1
82,60,1
68,64,1
88,64,1
77,7,0
77,39,0
77,62,1
86,62,1
88,62,1
79,24,0
79,48,0
80,58,1
85,58,1
81,0,0
94,0,0
95,0,0
81,11,0
82,23,0
97,23,0
85,10,0
88,19,0
88,32,0
88,37,0
93,84,1
99,84,1
98,8,0
