vertex_1,vertex_2,is_treated
0,26,0
0,34,0
9,34,0
64,34,0
0,44,0
16,44,0
51,44,0
0,65,1
14,65,1
0,96,1
4,96,1
81,96,1
1,11,0
23,11,0
1,31,0
7,31,0
45,31,0
69,31,0
72,31,0
1,51,1
44,51,1
1,60,1
10,60,1
38,60,1
48,60,1
2,56,1
3,56,1
67,56,1
4,35,0
21,35,0
32,35,0
4,62,1
36,62,1
5,14,0
65,14,0
5,69,1
31,69,1
6,61,1
18,61,1
22,61,1
67,61,1
6,93,1
29,93,1
55,93,1
7,25,0
48,25,0
7,74,1
16,74,1
8,84,1
37,84,1
67,84,1
9,10,0
23,10,0
36,10,0
60,10,0
9,19,0
64,19,0
9,28,0
20,28,0
21,28,0
43,28,0
45,28,0
10,9,0
19,9,0
28,9,0
34,9,0
10,23,0
11,23,0
39,23,0
10,36,0
22,36,0
62,36,0
95,36,0
11,1,0
31,1,0
51,1,0
60,1,0
12,17,0
32,17,0
63,17,0
12,38,0
33,38,0
53,38,0
60,38,0
13,68,1
83,68,1
13,76,1
27,76,1
80,76,1
82,76,1
13,79,1
87,79,1
13,88,1
39,88,1
67,88,1
14,5,0
69,5,0
15,66,1
30,66,1
50,66,1
16,24,0
17,12,0
38,12,0
17,32,0
35,32,0
17,63,1
40,63,1
42,63,1
85,63,1
19,64,1
34,64,1
22,85,1
63,85,1
87,85,1
90,85,1
91,85,1
23,39,0
88,39,0
24,16,0
44,16,0
74,16,0
25,7,0
31,7,0
74,7,0
25,48,0
60,48,0
71,48,0
26,0,0
34,0,0
44,0,0
65,0,0
96,0,0
28,20,0
28,21,0
35,21,0
28,43,0
59,43,0
73,43,0
28,45,0
31,45,0
31,72,1
33,57,1
35,4,0
62,4,0
96,4,0
36,22,0
61,22,0
85,22,0
36,95,1
42,95,1
92,95,1
38,33,0
57,33,0
38,53,1
40,75,1
41,75,1
42,75,1
52,75,1
43,59,1
43,73,1
46,98,1
47,98,1
58,98,1
48,71,1
49,58,1
83,58,1
98,58,1
50,54,1
50,81,1
67,81,1
86,81,1
96,81,1
52,70,1
97,70,1
52,89,1
52,90,1
85,90,1
54,50,1
66,50,1
81,50,1
55,83,1
58,83,1
68,83,1
56,2,0
56,3,0
56,67,1
61,67,1
81,67,1
84,67,1
88,67,1
58,49,0
61,6,0
93,6,0
61,18,0
63,40,0
75,40,0
63,42,0
75,42,0
95,42,0
66,15,0
66,30,0
68,13,0
76,13,0
79,13,0
88,13,0
70,52,1
75,52,1
89,52,1
90,52,1
70,97,1
99,97,1
75,41,0
76,27,0
76,80,1
78,80,1
76,82,1
77,86,1
81,86,1
94,86,1
79,87,1
85,87,1
80,78,1
83,55,1
93,55,1
84,8,0
84,37,0
85,91,1
86,77,1
86,94,1
93,29,0
95,92,1
97,99,1
98,46,0
98,47,0
