vertex_1,vertex_2,is_treated
0,41,0
1,41,0
30,41,0
43,41,0
1,15,0
2,9,0
8,9,0
2,53,1
32,53,1
2,64,1
3,18,0
34,18,0
3,63,1
4,10,0
23,10,0
38,10,0
42,10,0
4,46,0
40,46,0
5,78,1
39,78,1
93,78,1
5,81,1
48,81,1
73,81,1
5,95,1
75,95,1
5,97,1
56,97,1
5,99,1
28,99,1
33,99,1
58,99,1
6,11,0
71,11,0
6,38,0
10,38,0
12,38,0
62,38,0
6,42,0
10,42,0
25,42,0
67,42,0
7,39,0
12,39,0
51,39,0
78,39,0
8,51,1
17,51,1
39,51,1
9,2,0
53,2,0
64,2,0
9,8,0
51,8,0
10,4,0
46,4,0
10,23,0
11,6,0
38,6,0
42,6,0
11,71,1
13,71,1
12,50,1
19,50,1
13,29,0
13,74,1
20,74,1
70,74,1
14,88,1
28,88,1
45,88,1
55,88,1
15,1,0
41,1,0
16,61,1
20,61,1
28,61,1
55,61,1
73,61,1
16,98,1
20,98,1
37,98,1
86,98,1
17,43,0
24,43,0
41,43,0
17,52,1
17,67,1
42,67,1
17,72,1
18,3,0
63,3,0
18,34,0
35,34,0
44,34,0
19,35,0
27,35,0
34,35,0
19,54,1
20,94,1
60,94,1
84,94,1
21,40,0
26,40,0
46,40,0
22,82,1
49,82,1
90,82,1
22,92,1
85,92,1
26,66,1
27,47,0
31,47,0
28,84,1
94,84,1
28,96,1
75,96,1
29,13,0
71,13,0
74,13,0
30,31,0
44,31,0
47,31,0
31,30,0
41,30,0
31,44,0
34,44,0
80,44,0
32,37,0
62,37,0
98,37,0
35,19,0
50,19,0
54,19,0
35,27,0
47,27,0
36,76,1
60,76,1
85,76,1
37,32,0
53,32,0
37,62,1
38,62,1
38,12,0
39,12,0
50,12,0
39,7,0
40,21,0
40,26,0
66,26,0
41,0,0
42,25,0
43,17,0
51,17,0
52,17,0
67,17,0
72,17,0
43,24,0
44,80,1
65,80,1
75,80,1
45,77,1
49,77,1
85,77,1
55,89,1
91,89,1
56,57,1
69,57,1
56,70,1
74,70,1
79,70,1
91,70,1
57,56,1
70,56,1
97,56,1
57,69,1
58,68,1
59,68,1
65,68,1
59,83,1
91,83,1
60,75,1
80,75,1
95,75,1
96,75,1
61,16,0
98,16,0
61,20,0
74,20,0
94,20,0
98,20,0
61,28,0
84,28,0
88,28,0
96,28,0
99,28,0
61,55,1
88,55,1
89,55,1
61,73,1
81,73,1
90,73,1
68,58,1
99,58,1
68,59,1
83,59,1
68,65,1
80,65,1
70,79,1
87,79,1
70,91,1
83,91,1
89,91,1
73,90,1
82,90,1
75,60,1
76,60,1
94,60,1
76,36,0
76,85,1
77,85,1
92,85,1
93,85,1
77,45,0
88,45,0
77,49,0
82,49,0
78,5,0
81,5,0
95,5,0
97,5,0
99,5,0
78,93,1
85,93,1
79,87,1
81,48,0
82,22,0
92,22,0
88,14,0
98,86,1
99,33,0
