vertex_1,vertex_2,is_treated
0,59,1
61,59,1
0,69,1
71,69,1
0,99,1
15,99,1
21,99,1
46,99,1
73,99,1
98,99,1
1,58,1
61,58,1
80,58,1
2,40,0
24,40,0
2,43,0
29,43,0
42,43,0
3,33,0
22,33,0
38,33,0
54,33,0
62,33,0
4,25,0
50,25,0
57,25,0
64,25,0
65,25,0
5,34,0
60,34,0
6,7,0
17,7,0
6,47,0
31,47,0
7,6,0
47,6,0
7,17,0
53,17,0
8,16,0
50,16,0
8,26,0
53,26,0
60,26,0
64,26,0
67,26,0
83,26,0
8,48,0
27,48,0
36,48,0
9,77,1
45,77,1
89,77,1
10,12,0
11,12,0
27,12,0
35,12,0
10,27,0
12,27,0
39,27,0
48,27,0
10,41,0
23,41,0
24,41,0
11,39,0
27,39,0
12,10,0
27,10,0
41,10,0
12,11,0
39,11,0
12,35,0
36,35,0
65,35,0
13,93,1
63,93,1
84,93,1
14,36,0
24,36,0
35,36,0
48,36,0
52,36,0
62,36,0
15,74,1
28,74,1
89,74,1
15,91,1
90,91,1
16,8,0
26,8,0
48,8,0
16,50,1
25,50,1
17,53,1
26,53,1
18,68,1
51,68,1
18,87,1
29,87,1
61,87,1
18,88,1
55,88,1
72,88,1
19,32,0
29,32,0
42,32,0
54,32,0
19,38,0
30,38,0
33,38,0
20,73,1
28,73,1
99,73,1
20,90,1
44,90,1
76,90,1
91,90,1
21,75,1
92,75,1
21,86,1
82,86,1
21,95,1
37,95,1
49,95,1
79,95,1
25,4,0
25,57,1
25,64,1
26,64,1
31,64,1
25,65,1
35,65,1
42,65,1
26,60,1
34,60,1
26,67,1
26,83,1
97,83,1
30,54,1
32,54,1
33,54,1
32,19,0
38,19,0
32,29,0
43,29,0
87,29,0
32,42,0
43,42,0
65,42,0
33,3,0
33,22,0
33,62,1
36,62,1
34,5,0
36,14,0
36,24,0
40,24,0
41,24,0
36,52,1
38,30,0
54,30,0
40,2,0
43,2,0
41,23,0
46,94,1
72,94,1
47,31,0
64,31,0
51,56,1
85,56,1
51,70,1
98,70,1
55,98,1
70,98,1
99,98,1
56,51,1
68,51,1
70,51,1
56,85,1
82,85,1
84,85,1
58,1,0
58,61,1
59,61,1
87,61,1
58,80,1
78,80,1
59,0,0
69,0,0
99,0,0
63,89,1
74,89,1
77,89,1
78,89,1
66,82,1
78,82,1
85,82,1
86,82,1
96,82,1
66,97,1
81,97,1
83,97,1
68,18,0
87,18,0
88,18,0
69,71,1
78,71,1
71,78,1
80,78,1
82,78,1
89,78,1
73,20,0
90,20,0
73,28,0
74,28,0
74,15,0
91,15,0
99,15,0
75,21,0
86,21,0
95,21,0
99,21,0
75,92,1
77,9,0
77,45,0
82,66,1
97,66,1
82,96,1
85,84,1
93,84,1
88,55,1
98,55,1
88,72,1
94,72,1
89,63,1
93,63,1
90,44,0
90,76,1
93,13,0
94,46,0
99,46,0
95,37,0
95,49,0
95,79,1
97,81,1
