vertex_1,vertex_2,is_treated
0,40,0
1,40,0
33,40,0
2,55,1
86,55,1
2,62,1
90,62,1
2,77,1
38,77,1
93,77,1
2,97,1
8,97,1
17,97,1
65,97,1
3,66,1
38,66,1
47,66,1
70,66,1
3,85,1
13,85,1
26,85,1
65,85,1
4,68,1
29,68,1
98,68,1
5,32,0
27,32,0
5,41,0
25,41,0
45,41,0
5,67,1
9,67,1
29,67,1
60,67,1
6,23,0
20,23,0
58,23,0
59,23,0
6,39,0
53,39,0
54,39,0
7,19,0
46,19,0
7,50,1
16,50,1
45,50,1
7,56,1
10,56,1
14,56,1
7,58,1
18,58,1
23,58,1
30,58,1
37,58,1
9,89,1
15,89,1
22,89,1
26,89,1
94,89,1
10,49,0
11,49,0
20,49,0
11,46,0
19,46,0
43,46,0
12,25,0
21,25,0
41,25,0
12,30,0
58,30,0
12,51,1
13,52,1
86,52,1
13,72,1
83,72,1
14,31,0
48,31,0
14,44,0
21,44,0
27,44,0
33,44,0
15,96,1
74,96,1
92,96,1
16,27,0
32,27,0
43,27,0
44,27,0
59,27,0
16,57,1
18,24,0
33,24,0
19,7,0
50,7,0
56,7,0
58,7,0
21,37,0
58,37,0
23,6,0
39,6,0
23,20,0
49,20,0
23,59,1
27,59,1
24,18,0
58,18,0
24,33,0
40,33,0
43,33,0
44,33,0
25,12,0
30,12,0
51,12,0
25,21,0
37,21,0
44,21,0
26,73,1
81,73,1
27,16,0
50,16,0
57,16,0
27,43,0
33,43,0
46,43,0
28,92,1
35,92,1
96,92,1
31,14,0
44,14,0
56,14,0
31,48,0
32,5,0
41,5,0
67,5,0
34,69,1
70,69,1
36,75,1
42,75,1
95,75,1
36,81,1
73,81,1
39,53,1
39,54,1
45,54,1
47,54,1
40,0,0
40,1,0
41,45,0
50,45,0
54,45,0
42,47,0
54,47,0
66,47,0
46,11,0
49,11,0
47,42,0
75,42,0
49,10,0
56,10,0
52,13,0
72,13,0
85,13,0
52,86,1
55,86,1
91,86,1
55,2,0
62,2,0
77,2,0
97,2,0
60,70,1
66,70,1
69,70,1
71,70,1
60,78,1
60,91,1
86,91,1
61,63,1
64,63,1
83,63,1
95,63,1
62,90,1
82,90,1
63,61,1
63,64,1
63,83,1
72,83,1
76,83,1
80,83,1
63,95,1
75,95,1
88,95,1
65,99,1
71,99,1
66,3,0
85,3,0
66,38,0
77,38,0
67,9,0
89,9,0
67,29,0
68,29,0
67,60,1
70,60,1
78,60,1
91,60,1
68,4,0
68,98,1
84,98,1
69,34,0
70,71,1
87,71,1
99,71,1
71,87,1
73,26,0
85,26,0
89,26,0
75,36,0
81,36,0
77,93,1
79,93,1
83,76,1
83,80,1
85,65,1
97,65,1
99,65,1
89,15,0
96,15,0
89,22,0
89,94,1
90,82,1
92,28,0
92,35,0
93,79,1
95,88,1
96,74,1
97,8,0
97,17,0
98,84,1
