vertex_1,vertex_2,is_treated
0,9,0
43,9,0
44,9,0
0,38,0
12,38,0
0,46,0
8,46,0
24,46,0
1,32,0
10,32,0
12,32,0
1,42,0
17,42,0
33,42,0
1,53,1
2,53,1
4,53,1
15,53,1
40,53,1
2,25,0
20,25,0
22,25,0
24,25,0
35,25,0
2,56,1
2,64,1
3,20,0
11,20,0
25,20,0
44,20,0
4,37,0
6,37,0
60,37,0
4,54,1
5,54,1
19,54,1
39,54,1
4,57,1
17,57,1
19,57,1
4,91,1
71,91,1
5,19,0
54,19,0
57,19,0
6,17,0
12,17,0
42,17,0
49,17,0
57,17,0
7,92,1
14,92,1
28,92,1
67,92,1
93,92,1
8,18,0
8,45,0
10,45,0
9,0,0
38,0,0
46,0,0
9,43,0
26,43,0
39,43,0
9,44,0
20,44,0
35,44,0
51,44,0
13,59,1
50,59,1
98,59,1
14,95,1
68,95,1
90,95,1
15,49,0
17,49,0
33,49,0
34,49,0
16,65,1
23,65,1
41,65,1
86,65,1
17,6,0
37,6,0
17,12,0
32,12,0
38,12,0
18,8,0
45,8,0
46,8,0
19,5,0
54,5,0
20,3,0
20,11,0
21,74,1
30,74,1
47,74,1
69,74,1
21,80,1
48,80,1
72,80,1
24,26,0
43,26,0
25,2,0
53,2,0
56,2,0
64,2,0
25,22,0
25,24,0
26,24,0
46,24,0
25,35,0
44,35,0
63,35,0
27,75,1
47,75,1
93,75,1
29,82,1
76,82,1
31,58,1
77,58,1
89,58,1
32,1,0
42,1,0
53,1,0
32,10,0
45,10,0
33,61,1
40,61,1
34,40,0
39,40,0
53,40,0
61,40,0
99,40,0
35,63,1
36,67,1
92,67,1
98,67,1
36,88,1
73,88,1
37,4,0
53,4,0
54,4,0
57,4,0
91,4,0
37,60,1
39,51,1
44,51,1
40,34,0
49,34,0
40,39,0
43,39,0
51,39,0
54,39,0
40,99,1
83,99,1
41,72,1
80,72,1
42,33,0
49,33,0
61,33,0
48,66,1
62,66,1
73,66,1
48,93,1
55,93,1
75,93,1
92,93,1
49,15,0
53,15,0
50,55,1
78,55,1
93,55,1
50,71,1
77,71,1
91,71,1
52,69,1
74,69,1
98,69,1
52,96,1
55,50,1
59,50,1
71,50,1
55,78,1
73,78,1
58,31,0
58,77,1
71,77,1
58,89,1
62,89,1
79,89,1
81,89,1
98,89,1
59,13,0
59,98,1
67,98,1
69,98,1
76,98,1
89,98,1
62,79,1
70,79,1
89,79,1
97,79,1
65,16,0
65,23,0
65,41,0
72,41,0
65,86,1
66,48,0
80,48,0
93,48,0
66,62,1
79,62,1
89,62,1
66,73,1
78,73,1
84,73,1
88,73,1
67,36,0
88,36,0
68,87,1
69,52,1
96,52,1
73,84,1
74,21,0
80,21,0
74,30,0
74,47,0
75,47,0
75,27,0
79,70,1
79,97,1
82,29,0
82,76,1
98,76,1
83,85,1
83,94,1
85,83,1
94,83,1
99,83,1
87,68,1
95,68,1
89,81,1
92,7,0
92,14,0
95,14,0
92,28,0
95,90,1
