vertex_1,vertex_2,is_treated
0,54,1
85,54,1
97,54,1
1,45,0
22,45,0
31,45,0
47,45,0
62,45,0
1,53,1
26,53,1
31,53,1
2,96,1
13,96,1
97,96,1
3,6,0
3,50,1
27,50,1
3,56,1
14,56,1
44,56,1
4,34,0
16,34,0
95,34,0
4,41,0
37,41,0
51,41,0
57,41,0
67,41,0
4,42,0
49,42,0
5,40,0
18,40,0
6,3,0
50,3,0
56,3,0
7,9,0
18,9,0
33,9,0
7,15,0
36,15,0
8,24,0
8,62,1
45,62,1
47,62,1
9,7,0
15,7,0
9,18,0
40,18,0
9,33,0
10,68,1
47,68,1
61,68,1
81,68,1
11,57,1
35,57,1
41,57,1
60,57,1
89,57,1
11,80,1
21,80,1
76,80,1
12,29,0
27,29,0
13,99,1
55,99,1
70,99,1
14,36,0
15,36,0
16,26,0
23,26,0
48,26,0
49,26,0
53,26,0
16,38,0
28,38,0
58,38,0
16,48,0
25,48,0
26,48,0
16,58,1
27,58,1
38,58,1
16,64,1
16,67,1
41,67,1
17,91,1
89,91,1
19,60,1
57,60,1
77,60,1
19,95,1
34,95,1
39,95,1
98,95,1
20,82,1
71,82,1
84,82,1
20,88,1
55,88,1
94,88,1
24,8,0
62,8,0
25,47,0
45,47,0
62,47,0
68,47,0
26,16,0
34,16,0
38,16,0
48,16,0
58,16,0
64,16,0
67,16,0
26,23,0
26,49,0
42,49,0
27,37,0
41,37,0
27,66,1
28,44,0
46,44,0
56,44,0
28,46,0
44,46,0
29,12,0
29,27,0
37,27,0
50,27,0
58,27,0
66,27,0
30,97,1
54,97,1
96,97,1
32,93,1
78,93,1
32,94,1
88,94,1
34,4,0
41,4,0
42,4,0
35,86,1
63,86,1
36,14,0
56,14,0
38,28,0
44,28,0
46,28,0
40,5,0
41,51,1
43,71,1
82,71,1
43,83,1
79,83,1
45,1,0
53,1,0
45,22,0
45,31,0
53,31,0
47,25,0
48,25,0
52,59,1
65,59,1
52,79,1
83,79,1
54,0,0
54,85,1
57,11,0
80,11,0
57,35,0
86,35,0
57,89,1
74,89,1
91,89,1
59,52,1
79,52,1
59,65,1
90,65,1
60,19,0
95,19,0
60,77,1
69,77,1
61,87,1
63,81,1
68,81,1
65,90,1
75,90,1
92,90,1
68,10,0
68,61,1
87,61,1
70,72,1
71,43,0
83,43,0
72,70,1
99,70,1
73,75,1
90,75,1
74,76,1
78,76,1
80,76,1
92,76,1
75,73,1
76,74,1
89,74,1
76,78,1
93,78,1
76,92,1
90,92,1
77,69,1
80,21,0
81,63,1
86,63,1
82,20,0
88,20,0
82,84,1
88,55,1
99,55,1
91,17,0
93,32,0
94,32,0
95,39,0
95,98,1
96,2,0
96,13,0
99,13,0
97,30,0
