vertex_1,vertex_2,is_treated
0,48,0
46,48,0
0,59,1
1,59,1
26,59,1
46,59,1
1,6,0
14,6,0
49,6,0
64,6,0
1,21,0
18,21,0
23,21,0
29,21,0
1,26,0
36,26,0
59,26,0
1,60,1
18,60,1
22,60,1
2,16,0
2,31,0
37,31,0
3,39,0
11,39,0
33,39,0
3,76,1
75,76,1
87,76,1
4,41,0
40,41,0
42,41,0
46,41,0
47,41,0
5,51,1
7,51,1
61,51,1
81,51,1
5,71,1
35,71,1
44,71,1
94,71,1
5,78,1
27,78,1
43,78,1
56,78,1
5,94,1
71,94,1
6,1,0
21,1,0
26,1,0
59,1,0
60,1,0
6,14,0
6,49,0
33,49,0
50,49,0
52,49,0
63,49,0
6,64,1
12,64,1
8,85,1
20,85,1
30,85,1
90,85,1
8,89,1
30,89,1
56,89,1
9,34,0
36,34,0
50,34,0
9,37,0
28,37,0
31,37,0
10,93,1
65,93,1
12,29,0
21,29,0
12,55,1
12,92,1
30,92,1
84,92,1
13,45,0
22,45,0
13,62,1
22,62,1
13,82,1
91,82,1
15,52,1
49,52,1
65,52,1
16,2,0
31,2,0
17,19,0
44,19,0
19,17,0
19,44,0
42,44,0
71,44,0
95,44,0
21,18,0
60,18,0
21,23,0
50,23,0
23,50,1
34,50,1
49,50,1
24,32,0
47,32,0
24,40,0
41,40,0
25,87,1
76,87,1
25,95,1
44,95,1
65,95,1
26,36,0
34,36,0
38,36,0
28,42,0
41,42,0
44,42,0
29,12,0
55,12,0
64,12,0
92,12,0
30,69,1
54,69,1
79,69,1
32,24,0
40,24,0
32,47,0
41,47,0
34,9,0
37,9,0
35,73,1
86,73,1
36,38,0
37,28,0
42,28,0
39,3,0
76,3,0
39,11,0
39,33,0
49,33,0
41,4,0
41,46,0
48,46,0
59,46,0
45,13,0
62,13,0
82,13,0
45,22,0
60,22,0
62,22,0
48,0,0
59,0,0
49,63,1
51,5,0
71,5,0
78,5,0
94,5,0
51,7,0
51,61,1
68,61,1
51,81,1
52,15,0
52,65,1
58,65,1
93,65,1
95,65,1
53,54,1
69,54,1
91,54,1
98,54,1
53,84,1
86,84,1
92,84,1
54,53,1
84,53,1
54,91,1
82,91,1
96,91,1
54,98,1
67,98,1
77,98,1
56,57,1
83,57,1
56,75,1
76,75,1
57,56,1
75,56,1
78,56,1
89,56,1
57,83,1
58,72,1
61,68,1
97,68,1
65,58,1
72,58,1
66,67,1
70,67,1
86,67,1
98,67,1
66,88,1
80,88,1
67,66,1
88,66,1
67,70,1
67,86,1
73,86,1
84,86,1
68,97,1
69,30,0
85,30,0
89,30,0
92,30,0
69,79,1
74,79,1
71,35,0
73,35,0
78,27,0
78,43,0
79,74,1
85,8,0
89,8,0
85,20,0
85,90,1
99,90,1
87,25,0
95,25,0
88,80,1
90,99,1
91,96,1
93,10,0
98,77,1
