vertex_1,vertex_2,is_treated
0,16,0
9,16,0
13,16,0
0,19,0
9,19,0
51,19,0
60,19,0
0,40,0
43,40,0
1,73,1
10,73,1
29,73,1
45,73,1
87,73,1
2,42,0
25,42,0
27,42,0
41,42,0
3,18,0
46,18,0
4,56,1
55,56,1
77,56,1
4,71,1
75,71,1
88,71,1
4,84,1
28,84,1
54,84,1
91,84,1
5,32,0
44,32,0
51,32,0
6,15,0
59,15,0
6,25,0
42,25,0
7,17,0
20,17,0
36,17,0
7,26,0
22,26,0
7,30,0
8,30,0
8,63,1
10,70,1
33,70,1
47,70,1
79,70,1
10,86,1
34,86,1
97,86,1
10,96,1
77,96,1
10,98,1
95,98,1
11,85,1
28,85,1
72,85,1
12,82,1
72,82,1
13,51,1
19,51,1
21,51,1
32,51,1
39,51,1
13,87,1
73,87,1
14,23,0
35,23,0
15,6,0
25,6,0
15,59,1
16,0,0
19,0,0
40,0,0
16,9,0
19,9,0
16,13,0
51,13,0
87,13,0
17,7,0
26,7,0
30,7,0
17,20,0
31,20,0
17,36,0
48,36,0
18,3,0
18,46,0
31,46,0
39,46,0
19,60,1
43,60,1
20,31,0
21,31,0
46,31,0
68,31,0
21,44,0
32,44,0
41,44,0
54,44,0
21,66,1
41,66,1
22,49,0
48,49,0
77,49,0
22,52,1
41,52,1
22,65,1
23,14,0
23,35,0
48,35,0
24,74,1
69,74,1
26,22,0
49,22,0
52,22,0
65,22,0
27,43,0
39,43,0
40,43,0
60,43,0
28,94,1
54,94,1
29,77,1
38,77,1
49,77,1
56,77,1
96,77,1
30,8,0
63,8,0
31,21,0
44,21,0
51,21,0
66,21,0
31,68,1
32,5,0
33,54,1
44,54,1
58,54,1
84,54,1
94,54,1
33,92,1
90,92,1
35,48,0
36,48,0
49,48,0
37,90,1
92,90,1
41,64,1
42,2,0
42,27,0
43,27,0
42,41,0
44,41,0
52,41,0
64,41,0
66,41,0
43,39,0
46,39,0
51,39,0
50,61,1
88,61,1
50,80,1
53,55,1
56,55,1
69,55,1
75,55,1
53,57,1
58,57,1
67,57,1
79,57,1
99,57,1
54,33,0
70,33,0
92,33,0
54,58,1
57,58,1
78,58,1
83,58,1
89,58,1
55,53,1
57,53,1
55,69,1
74,69,1
55,75,1
71,75,1
93,75,1
56,4,0
71,4,0
84,4,0
57,67,1
99,67,1
57,79,1
70,79,1
57,99,1
67,99,1
97,99,1
58,78,1
58,83,1
58,89,1
61,50,1
80,50,1
61,88,1
62,88,1
71,88,1
62,76,1
70,10,0
73,10,0
86,10,0
96,10,0
98,10,0
70,47,0
72,95,1
98,95,1
73,1,0
73,29,0
77,29,0
73,45,0
74,24,0
75,93,1
76,62,1
88,62,1
77,38,0
81,97,1
86,97,1
99,97,1
82,12,0
82,72,1
85,72,1
95,72,1
84,28,0
85,28,0
94,28,0
84,91,1
85,11,0
86,34,0
90,37,0
97,81,1
