vertex_1,vertex_2,is_treated
0,79,1
38,79,1
48,79,1
93,79,1
0,95,1
20,95,1
34,95,1
44,95,1
45,95,1
46,95,1
76,95,1
1,86,1
12,86,1
81,86,1
1,88,1
49,88,1
78,88,1
2,5,0
26,5,0
3,10,0
13,10,0
3,22,0
55,22,0
4,41,0
31,41,0
5,2,0
5,26,0
9,26,0
17,26,0
43,26,0
6,18,0
33,18,0
6,25,0
55,25,0
64,25,0
6,43,0
13,43,0
26,43,0
7,13,0
10,13,0
43,13,0
8,32,0
24,32,0
52,32,0
55,32,0
9,19,0
11,19,0
39,19,0
9,28,0
76,28,0
10,3,0
22,3,0
13,7,0
14,51,1
36,51,1
72,51,1
89,51,1
14,60,1
44,60,1
90,60,1
14,68,1
44,68,1
47,68,1
59,68,1
14,87,1
36,87,1
77,87,1
15,36,0
50,36,0
51,36,0
87,36,0
15,57,1
16,93,1
79,93,1
17,29,0
21,29,0
23,29,0
17,63,1
30,63,1
18,6,0
25,6,0
43,6,0
18,33,0
50,33,0
56,33,0
19,9,0
26,9,0
28,9,0
19,11,0
19,39,0
40,39,0
21,24,0
32,24,0
21,30,0
63,30,0
22,55,1
23,55,1
25,55,1
32,55,1
23,50,1
33,50,1
34,50,1
36,50,1
23,62,1
24,21,0
29,21,0
30,21,0
25,64,1
26,17,0
29,17,0
63,17,0
27,54,1
38,54,1
42,54,1
69,54,1
28,76,1
95,76,1
29,23,0
50,23,0
55,23,0
62,23,0
31,37,0
34,37,0
31,58,1
32,8,0
32,52,1
33,56,1
35,65,1
71,65,1
36,15,0
57,15,0
37,31,0
41,31,0
58,31,0
37,34,0
50,34,0
95,34,0
38,73,1
78,73,1
39,40,0
97,40,0
40,97,1
81,97,1
41,4,0
44,90,1
60,90,1
85,90,1
44,92,1
98,92,1
46,66,1
99,66,1
49,77,1
71,77,1
81,77,1
87,77,1
51,14,0
60,14,0
68,14,0
87,14,0
51,72,1
67,72,1
51,89,1
53,96,1
98,96,1
54,27,0
54,38,0
73,38,0
79,38,0
54,42,0
54,69,1
59,80,1
59,94,1
83,94,1
60,44,0
68,44,0
90,44,0
92,44,0
95,44,0
61,78,1
70,78,1
73,78,1
82,78,1
88,78,1
65,35,0
65,71,1
74,71,1
77,71,1
66,46,0
95,46,0
66,99,1
68,47,0
68,59,1
80,59,1
94,59,1
71,74,1
72,67,1
75,98,1
92,98,1
96,98,1
77,49,0
88,49,0
77,81,1
86,81,1
91,81,1
97,81,1
78,61,1
78,70,1
78,82,1
79,0,0
95,0,0
79,48,0
81,91,1
84,91,1
86,1,0
88,1,0
86,12,0
90,85,1
91,84,1
93,16,0
94,83,1
95,20,0
95,45,0
96,53,1
98,75,1
