vertex_1,vertex_2,is_treated
0,13,0
66,13,0
0,14,0
21,14,0
32,14,0
0,46,0
11,46,0
54,46,0
1,85,1
68,85,1
1,92,1
16,92,1
44,92,1
69,92,1
96,92,1
2,19,0
2,45,0
42,45,0
47,45,0
3,20,0
9,20,0
33,20,0
35,20,0
42,20,0
70,20,0
4,79,1
61,79,1
5,6,0
5,40,0
37,40,0
49,40,0
5,51,1
5,75,1
36,75,1
6,5,0
40,5,0
51,5,0
75,5,0
7,49,0
40,49,0
42,49,0
70,49,0
7,55,1
8,28,0
42,28,0
9,12,0
29,12,0
36,12,0
67,12,0
70,12,0
78,12,0
10,15,0
10,74,1
27,74,1
36,74,1
47,74,1
11,27,0
58,27,0
74,27,0
12,9,0
20,9,0
12,29,0
58,29,0
12,36,0
74,36,0
75,36,0
12,67,1
32,67,1
12,70,1
20,70,1
49,70,1
12,78,1
17,78,1
30,78,1
86,78,1
13,0,0
14,0,0
46,0,0
13,66,1
14,21,0
38,21,0
73,21,0
14,32,0
67,32,0
15,10,0
74,10,0
18,81,1
31,81,1
48,81,1
61,81,1
18,90,1
88,90,1
19,2,0
45,2,0
20,3,0
20,33,0
20,35,0
34,35,0
58,35,0
20,42,0
22,42,0
28,42,0
37,42,0
45,42,0
49,42,0
21,38,0
65,38,0
21,73,1
23,25,0
56,25,0
95,25,0
23,50,1
23,53,1
24,95,1
25,95,1
41,95,1
77,95,1
25,23,0
50,23,0
53,23,0
25,56,1
26,97,1
64,97,1
27,11,0
46,11,0
27,58,1
29,58,1
34,58,1
35,58,1
28,8,0
30,96,1
31,96,1
44,96,1
92,96,1
35,34,0
58,34,0
38,65,1
39,84,1
43,84,1
71,84,1
40,37,0
42,37,0
41,69,1
92,69,1
93,69,1
41,82,1
72,82,1
41,93,1
69,93,1
42,22,0
45,47,0
74,47,0
76,47,0
46,54,1
47,76,1
89,76,1
48,60,1
91,60,1
49,7,0
55,7,0
52,71,1
84,71,1
86,71,1
89,71,1
52,77,1
64,77,1
95,77,1
52,87,1
80,87,1
94,87,1
57,64,1
77,64,1
97,64,1
59,88,1
90,88,1
60,48,0
81,48,0
60,91,1
98,91,1
61,62,1
63,62,1
61,68,1
72,68,1
85,68,1
99,68,1
61,80,1
87,80,1
62,61,1
68,61,1
79,61,1
80,61,1
81,61,1
62,63,1
99,63,1
63,99,1
68,99,1
64,57,1
68,72,1
82,72,1
69,41,0
82,41,0
93,41,0
95,41,0
71,52,1
77,52,1
87,52,1
71,86,1
78,86,1
71,89,1
76,89,1
78,17,0
78,30,0
96,30,0
79,4,0
81,18,0
90,18,0
81,31,0
96,31,0
83,98,1
91,98,1
84,39,0
84,43,0
85,1,0
92,1,0
87,94,1
88,59,1
92,16,0
92,44,0
96,44,0
95,24,0
97,26,0
98,83,1
