vertex_1,vertex_2,is_treated
0,22,0
0,32,0
17,32,0
0,33,0
11,33,0
43,33,0
1,46,0
4,46,0
17,46,0
23,46,0
41,46,0
50,46,0
1,51,1
8,51,1
27,51,1
44,51,1
49,51,1
1,53,1
27,53,1
30,53,1
40,53,1
1,58,1
5,58,1
8,58,1
20,58,1
43,58,1
1,59,1
1,86,1
25,86,1
66,86,1
2,7,0
30,7,0
47,7,0
3,65,1
26,65,1
34,65,1
67,65,1
89,65,1
3,91,1
87,91,1
3,96,1
28,96,1
73,96,1
4,11,0
23,11,0
33,11,0
38,11,0
4,45,0
23,45,0
24,45,0
37,45,0
38,45,0
5,10,0
14,10,0
5,37,0
20,37,0
45,37,0
5,39,0
29,39,0
49,39,0
76,39,0
6,89,1
31,89,1
65,89,1
7,2,0
7,30,0
53,30,0
7,47,0
21,47,0
49,47,0
8,40,0
50,40,0
53,40,0
8,52,1
42,52,1
9,60,1
82,60,1
9,97,1
48,97,1
56,97,1
10,5,0
37,5,0
39,5,0
58,5,0
10,14,0
44,14,0
11,4,0
45,4,0
46,4,0
11,23,0
45,23,0
46,23,0
11,38,0
43,38,0
45,38,0
12,21,0
47,21,0
13,78,1
26,78,1
34,78,1
88,78,1
14,44,0
49,44,0
51,44,0
15,27,0
51,27,0
53,27,0
16,81,1
19,81,1
69,81,1
16,88,1
78,88,1
17,42,0
52,42,0
18,75,1
63,75,1
19,57,1
55,57,1
19,70,1
95,70,1
21,12,0
22,0,0
32,0,0
33,0,0
26,85,1
35,85,1
99,85,1
27,15,0
28,98,1
83,98,1
32,17,0
42,17,0
46,17,0
33,43,0
38,43,0
58,43,0
76,43,0
34,63,1
64,63,1
75,63,1
90,63,1
34,79,1
54,79,1
35,76,1
39,76,1
43,76,1
77,76,1
36,77,1
76,77,1
37,20,0
58,20,0
39,29,0
39,49,0
44,49,0
47,49,0
51,49,0
40,8,0
51,8,0
52,8,0
58,8,0
40,50,1
46,50,1
45,24,0
46,1,0
51,1,0
53,1,0
58,1,0
59,1,0
86,1,0
46,41,0
48,72,1
84,72,1
54,62,1
54,80,1
54,93,1
64,93,1
54,94,1
55,61,1
56,73,1
71,73,1
96,73,1
56,99,1
85,99,1
57,19,0
70,19,0
81,19,0
57,55,1
61,55,1
60,9,0
97,9,0
60,82,1
67,82,1
69,82,1
92,82,1
62,54,1
79,54,1
80,54,1
93,54,1
94,54,1
63,34,0
65,34,0
78,34,0
79,34,0
63,64,1
93,64,1
63,90,1
67,90,1
65,3,0
91,3,0
96,3,0
65,26,0
78,26,0
85,26,0
65,67,1
82,67,1
90,67,1
66,95,1
70,95,1
84,95,1
68,83,1
87,83,1
98,83,1
68,87,1
74,87,1
83,87,1
91,87,1
72,48,0
97,48,0
72,84,1
95,84,1
73,56,1
97,56,1
99,56,1
73,71,1
75,18,0
76,35,0
85,35,0
77,36,0
78,13,0
81,16,0
88,16,0
81,69,1
82,69,1
82,92,1
83,68,1
87,68,1
86,25,0
86,66,1
95,66,1
87,74,1
89,6,0
89,31,0
96,28,0
98,28,0
