vertex_1,vertex_2,is_treated
0,85,1
88,85,1
0,91,1
5,91,1
20,91,1
94,91,1
1,15,0
3,15,0
35,15,0
1,31,0
52,31,0
1,36,0
40,36,0
56,36,0
60,36,0
1,49,0
22,49,0
1,50,1
2,50,1
7,50,1
11,50,1
2,22,0
21,22,0
47,22,0
49,22,0
57,22,0
2,74,1
39,74,1
64,74,1
3,48,0
9,48,0
10,48,0
37,48,0
3,64,1
8,64,1
18,64,1
74,64,1
4,6,0
53,6,0
4,26,0
4,45,0
29,45,0
30,45,0
5,66,1
12,66,1
72,66,1
6,4,0
26,4,0
45,4,0
6,53,1
39,53,1
80,53,1
7,38,0
7,44,0
7,55,1
11,37,0
34,37,0
48,37,0
11,60,1
36,60,1
11,99,1
27,99,1
43,99,1
71,99,1
82,99,1
12,69,1
77,69,1
12,94,1
91,94,1
13,77,1
18,77,1
42,77,1
69,77,1
14,62,1
33,62,1
39,62,1
71,62,1
14,76,1
84,76,1
14,81,1
18,81,1
96,81,1
15,1,0
31,1,0
36,1,0
49,1,0
50,1,0
15,3,0
48,3,0
64,3,0
15,35,0
17,35,0
16,46,0
47,46,0
56,46,0
16,51,1
17,51,1
16,57,1
22,57,1
40,57,1
17,28,0
24,28,0
18,96,1
81,96,1
19,24,0
28,24,0
19,25,0
54,25,0
20,65,1
27,65,1
87,65,1
20,72,1
66,72,1
21,41,0
22,2,0
50,2,0
74,2,0
22,21,0
41,21,0
22,47,0
34,47,0
46,47,0
23,93,1
80,93,1
24,19,0
25,19,0
25,54,1
27,67,1
95,67,1
28,17,0
35,17,0
51,17,0
31,52,1
32,98,1
39,98,1
78,98,1
36,40,0
57,40,0
36,56,1
46,56,1
37,11,0
50,11,0
60,11,0
99,11,0
37,34,0
47,34,0
38,7,0
44,7,0
50,7,0
55,7,0
39,84,1
76,84,1
45,29,0
45,30,0
46,16,0
51,16,0
57,16,0
48,9,0
48,10,0
53,39,0
62,39,0
74,39,0
84,39,0
98,39,0
53,80,1
90,80,1
93,80,1
58,71,1
62,71,1
99,71,1
58,88,1
85,88,1
58,90,1
75,90,1
79,90,1
80,90,1
59,97,1
75,97,1
82,97,1
89,97,1
61,92,1
82,92,1
86,92,1
62,14,0
76,14,0
81,14,0
62,33,0
63,89,1
70,89,1
97,89,1
64,8,0
64,18,0
77,18,0
81,18,0
96,18,0
65,20,0
72,20,0
91,20,0
65,27,0
67,27,0
99,27,0
65,87,1
68,87,1
83,87,1
66,5,0
91,5,0
66,12,0
69,12,0
94,12,0
67,95,1
71,58,1
88,58,1
90,58,1
73,83,1
87,83,1
77,13,0
77,42,0
83,73,1
85,0,0
91,0,0
87,68,1
89,63,1
89,70,1
90,75,1
97,75,1
90,79,1
92,61,1
92,82,1
97,82,1
99,82,1
92,86,1
93,23,0
97,59,1
98,32,0
98,78,1
99,43,0
