vertex_1,vertex_2,is_treated
0,74,1
12,74,1
38,74,1
76,74,1
85,74,1
0,89,1
52,89,1
82,89,1
0,95,1
99,95,1
1,17,0
25,17,0
1,84,1
69,84,1
2,5,0
33,5,0
36,5,0
72,5,0
2,83,1
8,83,1
38,83,1
65,83,1
3,6,0
41,6,0
3,60,1
8,60,1
30,60,1
49,60,1
4,77,1
23,77,1
43,77,1
94,77,1
5,2,0
83,2,0
5,33,0
5,36,0
9,36,0
23,36,0
93,36,0
5,72,1
22,72,1
28,72,1
6,3,0
60,3,0
6,41,0
15,41,0
34,41,0
7,28,0
72,28,0
7,57,1
7,69,1
18,69,1
84,69,1
88,69,1
97,69,1
8,30,0
39,30,0
60,30,0
63,30,0
68,30,0
9,29,0
47,29,0
48,29,0
10,85,1
74,85,1
11,39,0
21,39,0
30,39,0
13,37,0
24,37,0
26,37,0
47,37,0
13,48,0
20,48,0
29,48,0
14,56,1
27,56,1
44,56,1
98,56,1
16,91,1
94,91,1
17,1,0
84,1,0
17,25,0
22,25,0
18,97,1
69,97,1
19,32,0
35,32,0
75,32,0
19,63,1
30,63,1
21,31,0
22,49,0
60,49,0
22,62,1
23,62,1
23,51,1
23,58,1
23,67,1
23,73,1
23,75,1
32,75,1
24,66,1
94,66,1
24,71,1
25,22,0
49,22,0
62,22,0
72,22,0
26,40,0
28,7,0
57,7,0
69,7,0
29,9,0
36,9,0
29,47,0
37,47,0
30,8,0
60,8,0
83,8,0
30,68,1
46,68,1
92,68,1
96,68,1
31,21,0
39,21,0
32,19,0
63,19,0
32,35,0
36,23,0
51,23,0
58,23,0
62,23,0
67,23,0
73,23,0
75,23,0
77,23,0
36,93,1
59,93,1
37,13,0
48,13,0
37,24,0
66,24,0
71,24,0
37,26,0
40,26,0
38,53,1
61,53,1
39,11,0
41,15,0
41,34,0
42,79,1
86,79,1
44,86,1
65,86,1
79,86,1
45,55,1
70,55,1
45,78,1
64,78,1
48,20,0
50,64,1
70,64,1
78,64,1
82,64,1
52,59,1
90,59,1
93,59,1
52,87,1
54,87,1
53,38,0
74,38,0
83,38,0
53,61,1
55,45,0
78,45,0
55,70,1
64,70,1
56,14,0
56,27,0
56,44,0
86,44,0
56,98,1
59,52,1
87,52,1
89,52,1
59,90,1
76,90,1
64,50,1
64,82,1
89,82,1
66,94,1
77,94,1
91,94,1
68,46,0
68,92,1
68,96,1
69,18,0
97,18,0
69,88,1
81,88,1
74,0,0
89,0,0
95,0,0
74,12,0
74,76,1
90,76,1
77,4,0
77,43,0
79,42,0
80,99,1
95,99,1
83,65,1
86,65,1
85,10,0
87,54,1
88,81,1
91,16,0
99,80,1
