vertex_1,vertex_2,is_treated
0,23,0
0,29,0
55,29,0
0,62,1
1,27,0
6,27,0
7,27,0
1,30,0
9,30,0
2,32,0
56,32,0
69,32,0
2,40,0
3,10,0
3,17,0
36,17,0
4,45,0
75,45,0
77,45,0
4,59,1
4,72,1
5,72,1
4,75,1
15,75,1
25,75,1
45,75,1
5,31,0
42,31,0
46,31,0
6,28,0
20,28,0
39,28,0
6,49,0
70,49,0
7,21,0
7,41,0
39,41,0
8,98,1
22,98,1
44,98,1
93,98,1
9,33,0
68,33,0
76,33,0
79,33,0
9,67,1
9,87,1
85,87,1
10,3,0
17,3,0
11,61,1
35,61,1
66,61,1
12,93,1
35,93,1
98,93,1
13,20,0
28,20,0
43,20,0
13,43,0
20,43,0
13,56,1
25,56,1
32,56,1
36,56,1
13,64,1
97,64,1
14,25,0
56,25,0
75,25,0
15,48,0
47,48,0
79,48,0
15,77,1
45,77,1
16,83,1
88,83,1
90,83,1
16,89,1
34,89,1
71,89,1
17,36,0
56,36,0
60,36,0
18,99,1
22,99,1
55,99,1
95,99,1
19,86,1
24,86,1
82,86,1
19,88,1
83,88,1
20,13,0
43,13,0
56,13,0
64,13,0
21,7,0
27,7,0
41,7,0
23,0,0
29,0,0
62,0,0
24,94,1
51,94,1
25,14,0
26,57,1
44,57,1
81,57,1
84,57,1
26,80,1
92,80,1
96,80,1
27,1,0
30,1,0
27,6,0
28,6,0
49,6,0
28,39,0
41,39,0
65,39,0
29,55,1
99,55,1
30,9,0
33,9,0
67,9,0
87,9,0
31,5,0
72,5,0
31,42,0
31,46,0
32,2,0
40,2,0
32,69,1
37,69,1
33,68,1
33,76,1
33,79,1
48,79,1
34,92,1
80,92,1
35,54,1
78,54,1
84,54,1
36,60,1
37,38,0
37,58,1
37,90,1
83,90,1
38,37,0
58,37,0
69,37,0
90,37,0
39,65,1
44,97,1
64,97,1
73,97,1
45,4,0
59,4,0
72,4,0
75,4,0
48,15,0
75,15,0
77,15,0
48,47,0
49,70,1
50,52,1
53,52,1
73,52,1
50,74,1
51,74,1
71,74,1
91,74,1
50,95,1
63,95,1
81,95,1
99,95,1
52,50,1
74,50,1
95,50,1
52,53,1
91,53,1
52,73,1
97,73,1
53,91,1
74,91,1
85,91,1
54,35,0
61,35,0
93,35,0
54,78,1
66,78,1
54,84,1
57,84,1
57,26,0
80,26,0
57,44,0
97,44,0
98,44,0
57,81,1
95,81,1
61,11,0
61,66,1
78,66,1
74,51,1
94,51,1
74,71,1
89,71,1
80,96,1
83,16,0
89,16,0
86,19,0
88,19,0
86,24,0
94,24,0
86,82,1
87,85,1
91,85,1
89,34,0
92,34,0
93,12,0
95,63,1
98,8,0
98,22,0
99,22,0
99,18,0
