vertex_1,vertex_2,is_treated
0,59,1
5,59,1
80,59,1
97,59,1
0,77,1
25,77,1
34,77,1
83,77,1
94,77,1
0,86,1
25,86,1
38,86,1
68,86,1
0,91,1
25,91,1
30,91,1
88,91,1
1,10,0
36,10,0
2,67,1
19,67,1
68,67,1
73,67,1
3,49,0
7,49,0
4,12,0
27,12,0
34,12,0
43,12,0
4,37,0
35,37,0
39,37,0
6,45,0
48,45,0
6,53,1
18,53,1
6,56,1
17,56,1
31,56,1
34,56,1
7,14,0
13,14,0
26,14,0
7,47,0
16,47,0
8,20,0
31,20,0
41,20,0
9,65,1
22,65,1
42,65,1
51,65,1
9,74,1
89,74,1
10,1,0
10,36,0
26,36,0
11,15,0
17,15,0
18,15,0
29,15,0
40,15,0
12,4,0
37,4,0
12,27,0
12,34,0
56,34,0
77,34,0
84,34,0
12,43,0
40,43,0
50,43,0
13,39,0
37,39,0
46,39,0
14,7,0
47,7,0
49,7,0
14,13,0
39,13,0
14,26,0
36,26,0
40,26,0
61,26,0
15,11,0
15,17,0
50,17,0
56,17,0
61,17,0
94,17,0
15,18,0
53,18,0
54,18,0
64,18,0
15,29,0
15,40,0
26,40,0
43,40,0
16,28,0
87,28,0
16,33,0
32,33,0
35,33,0
58,33,0
17,50,1
43,50,1
46,50,1
17,61,1
26,61,1
17,94,1
77,94,1
18,54,1
31,54,1
18,64,1
20,8,0
20,31,0
54,31,0
56,31,0
20,41,0
48,41,0
21,78,1
70,78,1
21,84,1
23,84,1
34,84,1
63,84,1
23,79,1
96,79,1
24,89,1
30,89,1
38,89,1
74,89,1
28,16,0
33,16,0
47,16,0
28,87,1
55,87,1
33,32,0
33,35,0
37,35,0
33,58,1
39,46,0
48,46,0
50,46,0
52,46,0
41,48,0
45,48,0
46,48,0
42,55,1
80,55,1
87,55,1
44,73,1
67,73,1
85,73,1
44,95,1
99,95,1
45,6,0
53,6,0
56,6,0
46,52,1
49,3,0
51,60,1
63,60,1
90,60,1
55,42,0
65,42,0
55,80,1
59,80,1
57,82,1
57,83,1
71,83,1
76,83,1
77,83,1
59,0,0
77,0,0
86,0,0
91,0,0
59,5,0
59,97,1
60,51,1
65,51,1
60,63,1
66,63,1
81,63,1
84,63,1
60,90,1
92,90,1
62,69,1
62,92,1
75,92,1
90,92,1
62,99,1
95,99,1
63,66,1
75,66,1
93,66,1
96,66,1
63,81,1
96,81,1
65,9,0
74,9,0
65,22,0
66,75,1
92,75,1
66,93,1
66,96,1
79,96,1
81,96,1
67,2,0
67,19,0
67,68,1
86,68,1
69,62,1
92,62,1
99,62,1
70,72,1
72,70,1
78,70,1
73,44,0
95,44,0
73,85,1
77,25,0
86,25,0
91,25,0
78,21,0
84,21,0
79,23,0
84,23,0
82,57,1
83,57,1
83,71,1
83,76,1
86,38,0
89,38,0
88,98,1
89,24,0
89,30,0
91,30,0
91,88,1
98,88,1
