vertex_1,vertex_2,is_treated
0,3,0
0,21,0
26,21,0
0,27,0
8,27,0
14,27,0
1,81,1
88,81,1
1,87,1
37,87,1
38,87,1
71,87,1
2,19,0
55,19,0
61,19,0
65,19,0
3,0,0
21,0,0
27,0,0
4,28,0
51,28,0
59,28,0
61,28,0
5,72,1
25,72,1
29,72,1
49,72,1
93,72,1
5,80,1
53,80,1
58,80,1
6,62,1
17,62,1
84,62,1
6,84,1
35,84,1
62,84,1
7,10,0
23,10,0
34,10,0
7,30,0
65,30,0
67,30,0
69,30,0
7,61,1
19,61,1
24,61,1
28,61,1
36,61,1
7,66,1
22,66,1
8,9,0
48,9,0
8,11,0
54,11,0
95,11,0
8,57,1
38,57,1
9,8,0
11,8,0
27,8,0
57,8,0
9,48,0
40,48,0
69,48,0
10,7,0
30,7,0
61,7,0
66,7,0
10,23,0
39,23,0
10,34,0
11,54,1
11,95,1
94,95,1
12,24,0
46,24,0
61,24,0
13,22,0
46,22,0
56,22,0
66,22,0
13,36,0
61,36,0
70,36,0
92,36,0
14,26,0
20,26,0
21,26,0
32,26,0
41,26,0
15,18,0
56,18,0
16,33,0
51,33,0
17,64,1
44,64,1
49,64,1
98,64,1
18,15,0
18,56,1
22,56,1
19,2,0
19,55,1
19,65,1
30,65,1
20,42,0
52,42,0
22,13,0
36,13,0
22,46,0
24,46,0
23,39,0
24,12,0
26,14,0
27,14,0
26,20,0
42,20,0
26,32,0
40,32,0
26,41,0
38,41,0
28,4,0
28,51,1
33,51,1
43,51,1
28,59,1
29,74,1
44,74,1
73,74,1
29,98,1
64,98,1
68,98,1
30,67,1
30,69,1
48,69,1
31,92,1
36,92,1
50,92,1
32,40,0
43,40,0
48,40,0
33,16,0
35,97,1
60,97,1
35,99,1
88,99,1
36,70,1
37,86,1
68,86,1
40,43,0
51,43,0
41,38,0
57,38,0
87,38,0
42,52,1
44,83,1
76,83,1
91,83,1
45,58,1
80,58,1
45,85,1
93,85,1
47,60,1
79,60,1
97,60,1
50,75,1
78,75,1
50,77,1
93,77,1
50,90,1
50,91,1
76,91,1
83,91,1
89,91,1
58,45,0
85,45,0
60,47,0
60,79,1
63,79,1
62,6,0
84,6,0
62,17,0
64,17,0
64,44,0
74,44,0
83,44,0
64,49,0
72,49,0
68,96,1
89,96,1
72,5,0
80,5,0
72,25,0
72,29,0
74,29,0
98,29,0
72,93,1
77,93,1
85,93,1
73,78,1
75,78,1
74,73,1
78,73,1
75,50,1
77,50,1
90,50,1
91,50,1
92,50,1
79,63,1
80,53,1
81,1,0
87,1,0
81,88,1
89,88,1
99,88,1
82,94,1
95,94,1
83,76,1
91,76,1
84,35,0
97,35,0
99,35,0
86,37,0
87,37,0
86,68,1
96,68,1
98,68,1
87,71,1
88,89,1
91,89,1
96,89,1
92,31,0
94,82,1
