vertex_1,vertex_2,is_treated
0,88,1
87,88,1
94,88,1
1,53,1
24,53,1
97,53,1
2,58,1
65,58,1
86,58,1
2,73,1
29,73,1
92,73,1
3,93,1
8,93,1
13,93,1
39,93,1
46,93,1
83,93,1
4,75,1
20,75,1
24,75,1
83,75,1
84,75,1
5,14,0
23,14,0
31,14,0
34,14,0
6,30,0
9,30,0
25,30,0
34,30,0
6,45,0
7,16,0
50,16,0
71,16,0
76,16,0
7,21,0
15,21,0
7,33,0
12,33,0
7,54,1
7,67,1
8,57,1
84,57,1
8,94,1
29,94,1
43,94,1
88,94,1
9,42,0
10,97,1
53,97,1
11,81,1
28,81,1
51,81,1
12,31,0
14,31,0
12,32,0
69,32,0
74,32,0
76,32,0
82,32,0
87,32,0
14,5,0
14,23,0
19,23,0
64,23,0
14,34,0
22,34,0
30,34,0
15,17,0
15,27,0
16,7,0
21,7,0
33,7,0
54,7,0
67,7,0
16,50,1
38,50,1
16,71,1
49,71,1
16,76,1
32,76,1
17,15,0
21,15,0
27,15,0
18,36,0
38,36,0
18,52,1
48,52,1
18,74,1
32,74,1
22,44,0
47,44,0
61,44,0
22,68,1
22,69,1
32,69,1
23,19,0
23,64,1
25,64,1
25,49,0
61,49,0
66,49,0
71,49,0
26,47,0
44,47,0
26,63,1
28,60,1
35,60,1
40,60,1
41,60,1
72,60,1
28,72,1
60,72,1
29,96,1
39,96,1
70,96,1
30,6,0
45,6,0
30,9,0
42,9,0
30,25,0
49,25,0
64,25,0
31,12,0
32,12,0
33,12,0
32,82,1
84,82,1
32,87,1
88,87,1
95,87,1
34,22,0
44,22,0
68,22,0
69,22,0
35,80,1
83,80,1
36,18,0
52,18,0
74,18,0
36,38,0
50,38,0
37,48,0
52,48,0
61,48,0
66,48,0
39,55,1
89,55,1
41,78,1
79,78,1
44,61,1
48,61,1
49,61,1
47,26,0
63,26,0
48,37,0
48,66,1
49,66,1
53,1,0
53,24,0
75,24,0
55,39,0
93,39,0
96,39,0
55,89,1
65,89,1
77,89,1
99,89,1
56,62,1
83,62,1
57,8,0
93,8,0
94,8,0
57,84,1
75,84,1
82,84,1
58,2,0
73,2,0
58,65,1
89,65,1
58,86,1
59,86,1
60,28,0
72,28,0
81,28,0
60,35,0
80,35,0
60,40,0
60,41,0
78,41,0
62,56,1
62,83,1
75,83,1
80,83,1
93,83,1
73,29,0
94,29,0
96,29,0
73,92,1
91,92,1
75,4,0
75,20,0
78,79,1
81,11,0
81,51,1
85,95,1
87,95,1
86,59,1
88,0,0
89,77,1
89,99,1
90,99,1
90,98,1
92,91,1
93,3,0
93,13,0
93,46,0
94,43,0
95,85,1
96,70,1
97,10,0
98,90,1
99,90,1
