vertex_1,vertex_2,is_treated
0,60,1
20,60,1
27,60,1
78,60,1
98,60,1
0,86,1
87,86,1
1,82,1
31,82,1
51,82,1
1,88,1
75,88,1
77,88,1
2,7,0
6,7,0
45,7,0
47,7,0
2,56,1
17,56,1
24,56,1
34,56,1
3,46,0
38,46,0
3,57,1
11,57,1
15,57,1
19,57,1
49,57,1
4,22,0
19,22,0
4,25,0
13,25,0
14,25,0
4,42,0
34,42,0
48,42,0
5,8,0
54,8,0
70,8,0
5,24,0
56,24,0
5,39,0
17,39,0
28,39,0
5,97,1
12,97,1
41,97,1
76,97,1
6,34,0
42,34,0
56,34,0
7,2,0
56,2,0
7,6,0
34,6,0
7,45,0
52,45,0
55,45,0
7,47,0
43,47,0
8,5,0
24,5,0
39,5,0
97,5,0
8,54,1
17,54,1
33,54,1
8,70,1
11,70,1
9,77,1
23,77,1
88,77,1
10,76,1
97,76,1
10,93,1
78,93,1
79,93,1
11,48,0
19,48,0
40,48,0
42,48,0
11,58,1
13,58,1
11,59,1
38,59,1
13,15,0
19,15,0
57,15,0
13,28,0
39,28,0
62,28,0
63,28,0
71,28,0
14,36,0
53,36,0
14,38,0
46,38,0
59,38,0
14,49,0
33,49,0
53,49,0
55,49,0
57,49,0
15,13,0
25,13,0
28,13,0
58,13,0
15,19,0
22,19,0
48,19,0
57,19,0
16,95,1
21,95,1
66,95,1
17,53,1
36,53,1
49,53,1
18,32,0
43,32,0
20,96,1
37,96,1
66,96,1
74,96,1
21,69,1
30,69,1
64,69,1
85,69,1
22,4,0
25,4,0
42,4,0
25,14,0
36,14,0
38,14,0
49,14,0
26,84,1
29,84,1
44,84,1
65,84,1
27,81,1
51,81,1
28,62,1
43,62,1
28,63,1
28,71,1
32,18,0
32,43,0
47,43,0
62,43,0
33,50,1
35,40,0
48,40,0
39,17,0
53,17,0
54,17,0
56,17,0
40,35,0
45,52,1
45,55,1
49,55,1
46,3,0
57,3,0
48,11,0
57,11,0
58,11,0
59,11,0
70,11,0
49,33,0
50,33,0
54,33,0
60,0,0
86,0,0
60,20,0
96,20,0
60,27,0
81,27,0
60,78,1
68,78,1
80,78,1
89,78,1
93,78,1
60,98,1
65,98,1
61,64,1
69,64,1
72,64,1
91,64,1
61,92,1
64,61,1
92,61,1
64,72,1
83,72,1
64,91,1
67,80,1
74,80,1
78,80,1
67,94,1
68,73,1
85,73,1
68,75,1
88,75,1
68,79,1
93,79,1
68,99,1
69,21,0
95,21,0
69,30,0
69,85,1
73,85,1
90,85,1
72,83,1
73,68,1
75,68,1
78,68,1
79,68,1
99,68,1
76,10,0
93,10,0
77,9,0
77,23,0
78,89,1
80,67,1
94,67,1
80,74,1
96,74,1
81,51,1
82,51,1
82,1,0
88,1,0
82,31,0
84,26,0
84,29,0
84,44,0
84,65,1
98,65,1
85,90,1
86,87,1
95,16,0
95,66,1
96,66,1
96,37,0
97,12,0
97,41,0
