vertex_1,vertex_2,is_treated
0,21,0
34,21,0
37,21,0
0,54,1
45,54,1
0,57,1
1,57,1
17,57,1
39,57,1
45,57,1
0,59,1
8,59,1
49,59,1
1,31,0
8,31,0
34,31,0
2,99,1
4,99,1
23,99,1
80,99,1
3,17,0
34,17,0
57,17,0
3,24,0
49,24,0
51,24,0
61,24,0
3,38,0
12,38,0
3,39,0
55,39,0
57,39,0
3,40,0
14,40,0
16,40,0
4,97,1
26,97,1
36,97,1
94,97,1
5,16,0
40,16,0
49,16,0
52,16,0
6,44,0
7,44,0
11,44,0
20,44,0
30,44,0
8,30,0
44,30,0
9,71,1
23,71,1
79,71,1
9,74,1
23,74,1
29,74,1
35,74,1
86,74,1
9,87,1
64,87,1
10,14,0
27,14,0
40,14,0
70,14,0
10,15,0
19,15,0
60,15,0
10,34,0
17,34,0
21,34,0
31,34,0
33,34,0
11,32,0
52,32,0
55,32,0
12,42,0
45,42,0
13,56,1
18,56,1
98,56,1
14,10,0
15,10,0
34,10,0
14,27,0
50,27,0
52,27,0
62,27,0
14,70,1
22,70,1
75,70,1
89,70,1
15,19,0
51,19,0
15,60,1
45,60,1
16,5,0
16,49,0
24,49,0
55,49,0
59,49,0
16,52,1
27,52,1
32,52,1
17,3,0
24,3,0
38,3,0
39,3,0
40,3,0
18,68,1
25,68,1
96,68,1
18,95,1
23,95,1
36,95,1
86,95,1
19,51,1
24,51,1
21,0,0
54,0,0
57,0,0
59,0,0
21,37,0
24,61,1
27,50,1
27,62,1
28,63,1
43,63,1
46,63,1
47,63,1
93,63,1
29,72,1
75,72,1
30,8,0
31,8,0
59,8,0
31,1,0
57,1,0
32,11,0
44,11,0
32,55,1
39,55,1
49,55,1
34,33,0
38,12,0
42,12,0
41,92,1
46,92,1
93,92,1
42,45,0
54,45,0
57,45,0
60,45,0
43,65,1
89,65,1
44,6,0
44,7,0
44,20,0
48,96,1
68,96,1
53,58,1
53,80,1
78,80,1
91,80,1
99,80,1
53,86,1
74,86,1
77,86,1
95,86,1
56,13,0
56,18,0
68,18,0
95,18,0
56,98,1
67,98,1
79,98,1
84,98,1
58,53,1
80,53,1
86,53,1
63,28,0
63,43,0
65,43,0
63,46,0
92,46,0
63,47,0
63,93,1
92,93,1
65,89,1
70,89,1
66,69,1
66,84,1
98,84,1
68,25,0
69,66,1
84,66,1
70,22,0
70,75,1
72,75,1
90,75,1
71,9,0
74,9,0
87,9,0
71,23,0
74,23,0
95,23,0
99,23,0
71,79,1
76,79,1
98,79,1
72,29,0
74,29,0
73,82,1
83,82,1
74,35,0
75,90,1
79,76,1
80,78,1
80,91,1
81,94,1
88,94,1
97,94,1
82,73,1
82,83,1
85,83,1
83,85,1
88,85,1
85,88,1
94,88,1
86,77,1
87,64,1
92,41,0
94,81,1
95,36,0
97,36,0
96,48,0
97,4,0
99,4,0
97,26,0
98,67,1
99,2,0
