vertex_1,vertex_2,is_treated
0,33,0
19,33,0
22,33,0
32,33,0
0,51,1
8,51,1
0,58,1
2,58,1
1,79,1
2,79,1
5,79,1
21,79,1
39,79,1
42,79,1
48,79,1
94,79,1
2,22,0
11,22,0
33,22,0
2,70,1
53,70,1
3,73,1
4,73,1
39,73,1
42,73,1
72,73,1
3,77,1
26,77,1
84,77,1
3,96,1
71,96,1
4,27,0
36,27,0
4,30,0
6,30,0
14,30,0
29,30,0
44,30,0
4,60,1
7,60,1
11,60,1
5,91,1
23,91,1
40,91,1
49,91,1
53,91,1
6,25,0
7,25,0
9,25,0
6,45,0
37,45,0
7,99,1
39,99,1
66,99,1
80,99,1
8,41,0
14,41,0
36,41,0
9,19,0
31,19,0
33,19,0
44,19,0
9,29,0
10,29,0
18,29,0
30,29,0
10,44,0
19,44,0
30,44,0
11,55,1
11,57,1
12,31,0
19,31,0
13,24,0
17,24,0
46,24,0
15,16,0
15,38,0
37,38,0
59,38,0
16,15,0
38,15,0
18,32,0
33,32,0
18,36,0
27,36,0
41,36,0
19,9,0
25,9,0
29,9,0
20,23,0
91,23,0
20,46,0
24,46,0
22,2,0
58,2,0
70,2,0
79,2,0
22,11,0
55,11,0
57,11,0
60,11,0
23,20,0
46,20,0
24,13,0
24,17,0
25,6,0
30,6,0
45,6,0
25,7,0
60,7,0
99,7,0
26,93,1
71,93,1
27,4,0
30,4,0
60,4,0
73,4,0
28,68,1
35,68,1
40,68,1
71,68,1
28,82,1
50,82,1
90,82,1
28,88,1
34,88,1
47,88,1
75,88,1
29,10,0
44,10,0
29,18,0
32,18,0
36,18,0
30,14,0
41,14,0
31,12,0
33,0,0
51,0,0
58,0,0
34,90,1
43,90,1
82,90,1
35,83,1
86,83,1
38,37,0
45,37,0
38,59,1
39,85,1
86,85,1
39,94,1
53,94,1
79,94,1
41,8,0
51,8,0
50,69,1
50,87,1
81,87,1
50,98,1
78,98,1
52,75,1
63,75,1
88,75,1
53,54,1
65,54,1
54,53,1
70,53,1
91,53,1
94,53,1
54,65,1
97,65,1
56,74,1
56,95,1
61,95,1
64,95,1
76,95,1
61,62,1
61,86,1
66,86,1
83,86,1
85,86,1
62,61,1
86,61,1
95,61,1
65,97,1
66,97,1
66,84,1
77,84,1
67,89,1
92,89,1
68,28,0
82,28,0
88,28,0
68,35,0
83,35,0
68,40,0
91,40,0
68,71,1
93,71,1
96,71,1
69,50,1
82,50,1
87,50,1
98,50,1
73,3,0
77,3,0
96,3,0
73,39,0
79,39,0
85,39,0
94,39,0
99,39,0
73,42,0
79,42,0
73,72,1
74,56,1
95,56,1
75,52,1
75,63,1
77,26,0
93,26,0
78,92,1
89,92,1
79,1,0
79,5,0
91,5,0
79,21,0
79,48,0
84,66,1
86,66,1
97,66,1
99,66,1
87,81,1
88,34,0
90,34,0
88,47,0
89,67,1
90,43,0
91,49,0
92,78,1
98,78,1
95,64,1
95,76,1
99,80,1
