vertex_1,vertex_2,is_treated
0,85,1
34,85,1
79,85,1
0,95,1
45,95,1
70,95,1
86,95,1
1,59,1
99,59,1
2,81,1
5,81,1
91,81,1
2,96,1
35,96,1
74,96,1
3,16,0
3,48,0
9,48,0
24,48,0
28,48,0
3,53,1
3,55,1
46,55,1
4,29,0
21,29,0
4,36,0
25,36,0
40,36,0
76,36,0
6,12,0
60,12,0
6,19,0
47,19,0
7,25,0
14,25,0
36,25,0
7,27,0
39,27,0
46,27,0
7,44,0
20,44,0
58,44,0
8,10,0
58,10,0
76,10,0
8,26,0
8,47,0
19,47,0
22,47,0
8,50,1
8,64,1
9,64,1
14,64,1
9,13,0
9,61,1
40,61,1
9,77,1
18,77,1
37,77,1
46,77,1
10,8,0
26,8,0
47,8,0
50,8,0
64,8,0
10,58,1
44,58,1
10,76,1
36,76,1
42,76,1
11,78,1
15,78,1
17,78,1
43,78,1
94,78,1
11,79,1
85,79,1
12,6,0
19,6,0
12,60,1
21,60,1
13,9,0
48,9,0
61,9,0
64,9,0
77,9,0
14,51,1
15,68,1
75,68,1
16,3,0
48,3,0
53,3,0
55,3,0
18,30,0
62,30,0
20,42,0
76,42,0
21,52,1
21,56,1
22,54,1
39,54,1
23,90,1
41,90,1
63,90,1
72,90,1
24,31,0
33,31,0
25,7,0
27,7,0
44,7,0
25,14,0
51,14,0
64,14,0
27,39,0
37,39,0
54,39,0
27,46,0
55,46,0
57,46,0
77,46,0
29,4,0
36,4,0
29,21,0
52,21,0
56,21,0
60,21,0
30,18,0
77,18,0
30,62,1
74,62,1
31,24,0
48,24,0
31,33,0
32,72,1
90,72,1
34,75,1
68,75,1
34,84,1
38,84,1
49,84,1
92,84,1
36,40,0
61,40,0
37,57,1
46,57,1
38,65,1
99,65,1
38,98,1
82,98,1
39,37,0
57,37,0
77,37,0
41,83,1
66,83,1
42,20,0
44,20,0
47,22,0
54,22,0
48,28,0
59,1,0
59,99,1
65,99,1
94,99,1
62,74,1
69,74,1
96,74,1
63,66,1
83,66,1
88,66,1
89,66,1
63,91,1
67,91,1
81,91,1
65,38,0
84,38,0
98,38,0
66,63,1
90,63,1
91,63,1
66,88,1
97,88,1
66,89,1
87,89,1
67,70,1
95,70,1
68,15,0
78,15,0
70,67,1
91,67,1
71,92,1
84,92,1
72,32,0
73,82,1
93,82,1
94,82,1
98,82,1
74,69,1
75,34,0
84,34,0
85,34,0
78,11,0
79,11,0
78,17,0
78,43,0
78,94,1
80,94,1
82,94,1
99,94,1
81,2,0
96,2,0
81,5,0
82,73,1
82,93,1
83,41,0
90,41,0
84,49,0
85,0,0
95,0,0
88,97,1
89,87,1
90,23,0
92,71,1
94,80,1
95,45,0
95,86,1
96,35,0
