vertex_1,vertex_2,is_treated
0,77,1
11,77,1
39,77,1
94,77,1
0,87,1
14,87,1
27,87,1
35,87,1
42,87,1
66,87,1
0,89,1
46,89,1
68,89,1
0,95,1
1,95,1
79,95,1
0,96,1
9,96,1
44,96,1
63,96,1
2,30,0
12,30,0
34,30,0
40,30,0
45,30,0
2,33,0
31,33,0
3,24,0
6,24,0
32,24,0
3,36,0
21,36,0
54,36,0
4,8,0
21,8,0
23,8,0
48,8,0
4,40,0
30,40,0
56,40,0
57,40,0
4,54,1
36,54,1
39,54,1
5,39,0
29,39,0
54,39,0
77,39,0
6,28,0
41,28,0
6,32,0
24,32,0
7,50,1
90,50,1
91,50,1
7,61,1
53,61,1
7,70,1
62,70,1
8,4,0
40,4,0
54,4,0
8,21,0
16,21,0
36,21,0
49,21,0
8,23,0
22,23,0
8,48,0
25,48,0
57,48,0
9,91,1
50,91,1
10,43,0
41,43,0
58,43,0
10,47,0
11,74,1
97,74,1
99,74,1
13,34,0
30,34,0
13,51,1
13,52,1
13,56,1
37,56,1
40,56,1
13,57,1
29,57,1
40,57,1
48,57,1
49,57,1
15,25,0
17,25,0
37,25,0
48,25,0
16,37,0
25,37,0
56,37,0
16,45,0
22,45,0
30,45,0
17,29,0
39,29,0
57,29,0
18,58,1
43,58,1
44,58,1
65,58,1
18,63,1
85,63,1
96,63,1
19,68,1
89,68,1
20,59,1
38,59,1
44,59,1
92,59,1
21,16,0
37,16,0
45,16,0
21,49,0
31,49,0
57,49,0
23,22,0
45,22,0
24,3,0
36,3,0
24,6,0
28,6,0
32,6,0
25,15,0
25,17,0
29,17,0
26,76,1
27,76,1
73,76,1
28,41,0
43,41,0
30,2,0
33,2,0
30,12,0
33,31,0
49,31,0
34,13,0
51,13,0
52,13,0
56,13,0
57,13,0
38,92,1
59,92,1
39,5,0
42,72,1
90,72,1
43,10,0
47,10,0
50,7,0
61,7,0
70,7,0
50,90,1
72,90,1
80,90,1
85,90,1
53,65,1
58,65,1
64,65,1
84,65,1
53,81,1
94,81,1
55,79,1
93,79,1
95,79,1
55,86,1
66,86,1
58,18,0
63,18,0
58,44,0
59,44,0
96,44,0
59,20,0
59,38,0
92,38,0
60,66,1
86,66,1
87,66,1
60,73,1
76,73,1
61,53,1
65,53,1
81,53,1
62,98,1
71,98,1
63,85,1
67,85,1
75,85,1
90,85,1
65,64,1
65,84,1
66,60,1
73,60,1
68,19,0
69,83,1
82,83,1
69,88,1
70,62,1
98,62,1
72,42,0
87,42,0
74,11,0
77,11,0
74,97,1
74,99,1
76,26,0
76,27,0
87,27,0
77,0,0
87,0,0
89,0,0
95,0,0
96,0,0
77,94,1
81,94,1
82,94,1
78,82,1
83,82,1
94,82,1
79,55,1
86,55,1
79,93,1
82,78,1
83,69,1
88,69,1
85,67,1
85,75,1
87,14,0
87,35,0
89,46,0
90,80,1
91,9,0
96,9,0
95,1,0
98,71,1
