vertex_1,vertex_2,is_treated
0,72,1
42,72,1
89,72,1
0,73,1
31,73,1
80,73,1
0,90,1
41,90,1
60,90,1
1,20,0
8,20,0
37,20,0
1,26,0
9,26,0
55,26,0
63,26,0
67,26,0
70,26,0
1,37,0
20,37,0
1,48,0
39,48,0
53,48,0
2,61,1
7,61,1
46,61,1
89,61,1
92,61,1
2,82,1
41,82,1
45,82,1
50,82,1
2,96,1
30,96,1
86,96,1
3,11,0
71,11,0
3,12,0
25,12,0
3,55,1
18,55,1
26,55,1
34,55,1
4,28,0
19,28,0
69,28,0
4,56,1
21,56,1
39,56,1
4,65,1
18,65,1
34,65,1
46,65,1
5,22,0
43,22,0
5,67,1
26,67,1
5,68,1
6,24,0
27,24,0
6,34,0
25,34,0
55,34,0
65,34,0
6,58,1
7,83,1
14,83,1
76,83,1
8,63,1
26,63,1
9,21,0
33,21,0
56,21,0
9,40,0
33,40,0
10,44,0
39,44,0
11,3,0
12,3,0
55,3,0
11,71,1
18,71,1
49,71,1
12,25,0
34,25,0
13,74,1
29,74,1
88,74,1
13,85,1
93,85,1
15,79,1
77,79,1
15,88,1
23,88,1
47,88,1
57,88,1
74,88,1
98,88,1
16,17,0
18,17,0
17,16,0
17,18,0
54,18,0
55,18,0
65,18,0
71,18,0
18,54,1
20,1,0
26,1,0
37,1,0
48,1,0
20,8,0
63,8,0
21,9,0
26,9,0
40,9,0
21,33,0
27,33,0
40,33,0
22,5,0
67,5,0
68,5,0
22,43,0
49,43,0
23,91,1
64,91,1
24,6,0
34,6,0
58,6,0
24,27,0
33,27,0
26,70,1
28,4,0
56,4,0
65,4,0
28,19,0
28,69,1
29,60,1
90,60,1
29,86,1
41,86,1
96,86,1
32,36,0
32,49,0
43,49,0
71,49,0
35,38,0
46,38,0
35,46,0
38,46,0
61,46,0
65,46,0
36,32,0
49,32,0
38,35,0
46,35,0
39,62,1
44,10,0
44,39,0
48,39,0
56,39,0
62,39,0
48,53,1
50,76,1
75,76,1
83,76,1
97,76,1
99,76,1
51,89,1
61,89,1
72,89,1
51,94,1
84,94,1
93,94,1
51,95,1
57,95,1
93,95,1
52,66,1
97,66,1
52,99,1
76,99,1
59,80,1
73,80,1
59,97,1
66,97,1
76,97,1
60,29,0
74,29,0
86,29,0
61,2,0
82,2,0
96,2,0
61,7,0
83,7,0
61,92,1
87,92,1
64,78,1
81,78,1
98,78,1
66,52,1
99,52,1
72,0,0
73,0,0
90,0,0
72,42,0
73,31,0
74,13,0
85,13,0
76,50,1
82,50,1
76,75,1
78,64,1
91,64,1
78,81,1
78,98,1
88,98,1
79,15,0
88,15,0
79,77,1
80,59,1
97,59,1
82,41,0
86,41,0
90,41,0
82,45,0
83,14,0
85,93,1
94,93,1
95,93,1
88,23,0
91,23,0
88,47,0
88,57,1
95,57,1
89,51,1
94,51,1
95,51,1
92,87,1
94,84,1
96,30,0
