vertex_1,vertex_2,is_treated
0,13,0
16,13,0
0,56,1
0,63,1
11,63,1
38,63,1
0,70,1
0,74,1
4,74,1
20,74,1
1,30,0
16,30,0
34,30,0
48,30,0
1,42,0
2,46,0
17,46,0
51,46,0
65,46,0
2,47,0
3,96,1
83,96,1
3,98,1
19,98,1
41,98,1
45,98,1
64,98,1
4,39,0
52,39,0
4,54,1
4,78,1
17,78,1
88,78,1
5,85,1
19,85,1
61,85,1
6,91,1
21,91,1
31,91,1
92,91,1
7,79,1
67,79,1
8,97,1
21,97,1
80,97,1
9,22,0
29,22,0
9,23,0
9,33,0
32,33,0
92,33,0
10,14,0
71,14,0
10,20,0
74,20,0
10,34,0
25,34,0
30,34,0
48,34,0
11,37,0
15,37,0
55,37,0
73,37,0
12,60,1
50,60,1
88,60,1
13,0,0
56,0,0
63,0,0
70,0,0
74,0,0
13,16,0
30,16,0
14,10,0
20,10,0
34,10,0
14,71,1
15,26,0
25,26,0
35,26,0
41,26,0
15,62,1
17,69,1
18,40,0
24,40,0
18,65,1
46,65,1
21,77,1
76,77,1
22,9,0
23,9,0
33,9,0
22,29,0
32,29,0
24,32,0
29,32,0
33,32,0
36,32,0
26,15,0
37,15,0
62,15,0
26,25,0
34,25,0
26,35,0
26,41,0
98,41,0
27,38,0
63,38,0
27,73,1
37,73,1
28,53,1
58,53,1
84,53,1
30,1,0
42,1,0
30,48,0
34,48,0
50,48,0
32,24,0
40,24,0
32,36,0
33,92,1
44,92,1
91,92,1
37,11,0
63,11,0
37,55,1
38,27,0
73,27,0
39,4,0
54,4,0
74,4,0
78,4,0
39,52,1
40,18,0
65,18,0
43,82,1
49,82,1
94,82,1
44,83,1
45,83,1
96,83,1
44,84,1
53,84,1
58,84,1
45,67,1
49,67,1
79,67,1
89,67,1
46,2,0
47,2,0
46,17,0
69,17,0
78,17,0
46,51,1
48,50,1
60,50,1
93,50,1
49,66,1
95,66,1
50,93,1
72,93,1
90,93,1
53,28,0
53,58,1
76,58,1
84,58,1
94,58,1
57,95,1
66,95,1
58,76,1
77,76,1
99,76,1
58,94,1
82,94,1
86,94,1
59,68,1
72,68,1
60,12,0
60,88,1
78,88,1
89,88,1
64,81,1
66,49,0
67,49,0
82,49,0
67,45,0
83,45,0
98,45,0
67,89,1
88,89,1
90,89,1
68,59,1
68,72,1
87,72,1
93,72,1
72,87,1
75,87,1
86,87,1
90,87,1
76,99,1
77,21,0
91,21,0
97,21,0
79,7,0
81,64,1
98,64,1
82,43,0
83,44,0
84,44,0
92,44,0
85,5,0
85,19,0
98,19,0
85,61,1
87,75,1
87,86,1
94,86,1
87,90,1
89,90,1
93,90,1
91,6,0
91,31,0
95,57,1
96,3,0
98,3,0
97,8,0
97,80,1
