vertex_1,vertex_2,is_treated
0,8,0
15,8,0
21,8,0
24,8,0
0,11,0
25,11,0
28,11,0
30,11,0
34,11,0
0,28,0
11,28,0
49,28,0
1,76,1
18,76,1
36,76,1
41,76,1
57,76,1
2,96,1
27,96,1
33,96,1
38,96,1
65,96,1
3,68,1
99,68,1
3,87,1
44,87,1
81,87,1
3,88,1
12,88,1
95,88,1
3,91,1
32,91,1
69,91,1
4,62,1
37,62,1
75,62,1
5,67,1
44,67,1
61,67,1
6,9,0
31,9,0
7,29,0
7,58,1
17,58,1
40,58,1
8,0,0
11,0,0
28,0,0
8,15,0
50,15,0
52,15,0
74,15,0
8,21,0
19,21,0
92,21,0
8,24,0
47,24,0
54,24,0
60,24,0
9,6,0
9,31,0
14,31,0
16,31,0
10,22,0
13,22,0
26,22,0
40,22,0
10,46,0
10,49,0
25,49,0
28,49,0
35,49,0
47,49,0
11,25,0
26,25,0
49,25,0
11,30,0
11,34,0
45,34,0
47,34,0
12,61,1
67,61,1
12,75,1
62,75,1
65,75,1
78,75,1
81,75,1
12,92,1
20,92,1
21,92,1
86,92,1
13,63,1
43,63,1
14,23,0
15,50,1
15,52,1
15,74,1
95,74,1
16,35,0
42,35,0
49,35,0
17,26,0
22,26,0
25,26,0
43,26,0
21,19,0
22,10,0
46,10,0
49,10,0
22,13,0
63,13,0
22,40,0
55,40,0
58,40,0
23,14,0
31,14,0
24,47,0
27,47,0
34,47,0
49,47,0
24,54,1
24,60,1
26,17,0
58,17,0
26,43,0
55,43,0
63,43,0
64,43,0
69,43,0
97,43,0
27,82,1
56,82,1
29,7,0
58,7,0
31,16,0
35,16,0
33,70,1
44,70,1
53,70,1
85,70,1
93,70,1
34,45,0
35,42,0
36,51,1
84,51,1
39,73,1
65,73,1
40,55,1
43,55,1
43,64,1
43,69,1
91,69,1
43,97,1
81,97,1
44,85,1
70,85,1
47,27,0
82,27,0
96,27,0
48,83,1
79,83,1
80,83,1
51,36,0
76,36,0
51,84,1
77,84,1
53,57,1
65,57,1
76,57,1
53,59,1
89,59,1
98,59,1
56,72,1
56,94,1
57,53,1
59,53,1
70,53,1
57,65,1
73,65,1
75,65,1
96,65,1
59,89,1
80,89,1
59,98,1
80,98,1
61,12,0
75,12,0
88,12,0
92,12,0
62,4,0
62,37,0
66,99,1
68,99,1
67,5,0
67,44,0
70,44,0
85,44,0
87,44,0
68,3,0
87,3,0
88,3,0
91,3,0
70,33,0
96,33,0
70,93,1
90,93,1
71,77,1
84,77,1
72,56,1
82,56,1
94,56,1
73,39,0
74,95,1
88,95,1
75,78,1
75,81,1
87,81,1
97,81,1
76,1,0
76,18,0
76,41,0
77,71,1
79,86,1
92,86,1
83,48,0
83,79,1
86,79,1
83,80,1
89,80,1
98,80,1
91,32,0
92,20,0
93,90,1
96,2,0
96,38,0
99,66,1
