vertex_1,vertex_2,is_treated
0,12,0
35,12,0
44,12,0
0,53,1
1,15,0
1,28,0
24,28,0
1,33,0
21,33,0
34,33,0
49,33,0
2,75,1
42,75,1
96,75,1
3,73,1
8,73,1
43,73,1
48,73,1
83,73,1
3,79,1
4,79,1
30,79,1
97,79,1
3,86,1
14,86,1
31,86,1
45,86,1
55,86,1
5,76,1
25,76,1
40,76,1
93,76,1
6,16,0
18,16,0
7,41,0
20,41,0
7,54,1
7,59,1
35,59,1
7,61,1
37,61,1
7,66,1
47,66,1
8,80,1
9,80,1
90,80,1
10,60,1
83,60,1
85,60,1
10,98,1
45,98,1
64,98,1
11,94,1
82,94,1
12,0,0
53,0,0
12,35,0
47,35,0
50,35,0
56,35,0
59,35,0
63,35,0
12,44,0
34,44,0
13,32,0
20,32,0
27,32,0
15,1,0
28,1,0
33,1,0
16,6,0
16,18,0
47,18,0
17,36,0
37,36,0
67,36,0
17,46,0
22,46,0
18,47,0
35,47,0
50,47,0
62,47,0
63,47,0
66,47,0
19,77,1
68,77,1
19,88,1
26,88,1
40,88,1
45,88,1
58,88,1
64,88,1
20,22,0
23,22,0
27,22,0
46,22,0
20,23,0
22,23,0
21,37,0
36,37,0
56,37,0
61,37,0
22,20,0
23,20,0
32,20,0
41,20,0
22,27,0
32,27,0
49,27,0
24,34,0
33,34,0
44,34,0
49,34,0
25,81,1
42,81,1
71,81,1
27,49,0
33,49,0
34,49,0
38,49,0
39,49,0
28,24,0
34,24,0
29,58,1
40,58,1
82,58,1
88,58,1
31,95,1
64,95,1
78,95,1
32,13,0
33,21,0
37,21,0
35,50,1
47,50,1
35,56,1
37,56,1
35,63,1
47,63,1
36,17,0
46,17,0
36,67,1
38,39,0
49,39,0
57,39,0
72,39,0
38,57,1
39,57,1
39,38,0
49,38,0
57,38,0
39,72,1
68,72,1
78,72,1
41,7,0
54,7,0
59,7,0
61,7,0
66,7,0
42,69,1
85,69,1
47,62,1
51,74,1
91,74,1
51,89,1
92,89,1
52,55,1
65,55,1
86,55,1
52,83,1
60,83,1
70,83,1
73,83,1
55,52,1
83,52,1
55,65,1
90,65,1
58,29,0
58,40,0
76,40,0
88,40,0
58,82,1
87,82,1
94,82,1
60,10,0
98,10,0
60,85,1
68,85,1
69,85,1
65,90,1
80,90,1
69,42,0
75,42,0
81,42,0
71,96,1
75,96,1
72,68,1
77,68,1
85,68,1
72,78,1
95,78,1
73,3,0
79,3,0
86,3,0
73,8,0
80,8,0
73,43,0
73,48,0
74,51,1
89,51,1
74,91,1
97,91,1
99,91,1
75,2,0
76,5,0
76,25,0
81,25,0
76,93,1
77,19,0
88,19,0
79,4,0
79,30,0
79,97,1
91,97,1
80,9,0
81,71,1
96,71,1
82,87,1
83,70,1
84,99,1
91,99,1
86,14,0
86,31,0
95,31,0
86,45,0
88,45,0
98,45,0
88,26,0
88,64,1
95,64,1
98,64,1
89,92,1
94,11,0
99,84,1
