vertex_1,vertex_2,is_treated
0,73,1
98,73,1
0,94,1
15,94,1
23,94,1
24,94,1
25,94,1
85,94,1
1,21,0
28,21,0
30,21,0
36,21,0
1,58,1
1,61,1
2,38,0
28,38,0
52,38,0
56,38,0
2,64,1
7,64,1
12,64,1
20,64,1
2,85,1
25,85,1
34,85,1
37,85,1
94,85,1
3,76,1
24,76,1
54,76,1
4,48,0
27,48,0
47,48,0
5,90,1
92,90,1
5,93,1
18,93,1
91,93,1
6,7,0
50,7,0
56,7,0
64,7,0
6,11,0
6,31,0
16,31,0
41,31,0
6,39,0
33,39,0
7,6,0
11,6,0
31,6,0
39,6,0
7,50,1
16,50,1
7,56,1
38,56,1
8,13,0
8,14,0
17,14,0
8,43,0
27,43,0
9,12,0
64,12,0
9,19,0
42,19,0
45,19,0
9,20,0
64,20,0
9,41,0
17,41,0
31,41,0
10,16,0
17,16,0
31,16,0
50,16,0
10,62,1
12,9,0
19,9,0
20,9,0
41,9,0
13,8,0
14,8,0
43,8,0
14,17,0
16,17,0
41,17,0
16,10,0
62,10,0
18,51,1
44,51,1
69,51,1
72,51,1
18,77,1
91,77,1
18,80,1
25,80,1
46,80,1
89,80,1
19,42,0
29,42,0
19,45,0
26,45,0
21,1,0
58,1,0
61,1,0
21,28,0
38,28,0
21,30,0
40,30,0
21,36,0
33,36,0
63,36,0
66,36,0
22,69,1
51,69,1
23,83,1
89,83,1
24,71,1
49,71,1
67,71,1
70,71,1
24,88,1
25,88,1
35,88,1
67,88,1
98,88,1
25,82,1
84,82,1
26,29,0
42,29,0
29,26,0
45,26,0
30,40,0
47,40,0
66,40,0
32,96,1
95,96,1
32,97,1
75,97,1
33,66,1
36,66,1
40,66,1
36,33,0
39,33,0
66,33,0
36,63,1
37,99,1
72,99,1
38,2,0
64,2,0
85,2,0
38,52,1
40,47,0
48,47,0
43,27,0
48,27,0
48,4,0
51,18,0
77,18,0
80,18,0
93,18,0
51,44,0
51,72,1
99,72,1
53,54,1
76,54,1
87,54,1
54,53,1
54,87,1
81,87,1
55,59,1
57,59,1
55,68,1
65,68,1
57,86,1
74,86,1
59,55,1
68,55,1
59,57,1
86,57,1
60,79,1
60,95,1
92,95,1
96,95,1
65,84,1
82,84,1
68,65,1
84,65,1
69,22,0
71,24,0
76,24,0
88,24,0
94,24,0
71,49,0
71,67,1
88,67,1
71,70,1
73,0,0
94,0,0
73,98,1
88,98,1
74,91,1
77,91,1
78,91,1
93,91,1
74,92,1
90,92,1
95,92,1
75,89,1
78,89,1
80,89,1
83,89,1
76,3,0
79,60,1
95,60,1
80,25,0
82,25,0
85,25,0
88,25,0
94,25,0
80,46,0
83,23,0
94,23,0
85,34,0
85,37,0
99,37,0
86,74,1
91,74,1
92,74,1
87,81,1
88,35,0
89,75,1
97,75,1
89,78,1
91,78,1
90,5,0
93,5,0
94,15,0
96,32,0
97,32,0
