vertex_1,vertex_2,is_treated
0,14,0
1,14,0
0,45,0
7,45,0
55,45,0
0,50,1
4,50,1
13,50,1
0,64,1
8,64,1
23,64,1
30,64,1
36,64,1
43,64,1
1,29,0
13,29,0
1,66,1
74,66,1
1,77,1
31,77,1
48,77,1
63,77,1
79,77,1
2,10,0
15,10,0
21,10,0
54,10,0
2,25,0
2,32,0
34,32,0
2,33,0
3,35,0
23,35,0
36,35,0
3,88,1
43,88,1
86,88,1
4,28,0
53,28,0
4,54,1
10,54,1
49,54,1
5,6,0
11,6,0
24,6,0
46,6,0
5,60,1
49,60,1
6,5,0
60,5,0
6,11,0
36,11,0
6,24,0
30,24,0
34,24,0
47,24,0
6,46,0
41,46,0
8,44,0
43,44,0
82,44,0
8,65,1
9,74,1
19,74,1
66,74,1
10,2,0
25,2,0
32,2,0
33,2,0
10,15,0
38,15,0
10,21,0
52,21,0
55,21,0
11,36,0
35,36,0
64,36,0
12,82,1
26,82,1
44,82,1
51,82,1
81,82,1
85,82,1
14,0,0
45,0,0
50,0,0
64,0,0
14,1,0
29,1,0
66,1,0
77,1,0
15,38,0
16,20,0
34,20,0
49,20,0
16,22,0
16,49,0
20,49,0
54,49,0
60,49,0
17,67,1
39,67,1
90,67,1
17,83,1
19,83,1
89,83,1
18,58,1
48,58,1
78,58,1
84,58,1
20,16,0
22,16,0
49,16,0
20,34,0
24,34,0
32,34,0
21,52,1
21,55,1
23,55,1
45,55,1
24,30,0
47,30,0
64,30,0
24,47,0
30,47,0
72,47,0
27,89,1
83,89,1
28,4,0
50,4,0
54,4,0
28,53,1
29,13,0
50,13,0
31,91,1
96,91,1
35,3,0
88,3,0
35,23,0
55,23,0
64,23,0
37,81,1
40,81,1
63,81,1
82,81,1
90,81,1
40,75,1
87,75,1
41,57,1
42,61,1
84,61,1
85,61,1
44,8,0
64,8,0
65,8,0
44,43,0
64,43,0
88,43,0
45,7,0
46,41,0
57,41,0
47,72,1
73,72,1
48,92,1
80,92,1
48,97,1
76,97,1
51,73,1
68,73,1
72,73,1
84,73,1
94,73,1
56,59,1
71,59,1
56,85,1
61,85,1
82,85,1
58,18,0
58,48,0
77,48,0
92,48,0
97,48,0
58,78,1
58,84,1
61,84,1
73,84,1
59,56,1
85,56,1
59,71,1
61,42,0
62,69,1
95,69,1
62,70,1
90,70,1
67,17,0
83,17,0
67,39,0
67,90,1
70,90,1
81,90,1
68,86,1
88,86,1
93,86,1
69,62,1
70,62,1
69,95,1
73,51,1
82,51,1
73,68,1
86,68,1
73,94,1
74,9,0
74,19,0
83,19,0
75,40,0
81,40,0
75,87,1
76,98,1
77,31,0
91,31,0
77,63,1
81,63,1
77,79,1
80,99,1
81,37,0
82,12,0
82,26,0
86,93,1
89,27,0
91,96,1
92,80,1
99,80,1
97,76,1
98,76,1
