vertex_1,vertex_2,is_treated
0,71,1
23,71,1
46,71,1
96,71,1
0,83,1
3,83,1
16,83,1
21,83,1
58,83,1
1,76,1
15,76,1
41,76,1
51,76,1
1,94,1
16,94,1
91,94,1
1,97,1
13,97,1
54,97,1
2,24,0
22,24,0
34,24,0
2,27,0
3,64,1
63,64,1
95,64,1
3,74,1
15,74,1
93,74,1
3,88,1
52,88,1
78,88,1
3,93,1
74,93,1
84,93,1
4,92,1
35,92,1
89,92,1
5,55,1
7,55,1
16,55,1
17,55,1
77,55,1
5,57,1
95,57,1
5,65,1
33,65,1
95,65,1
5,81,1
77,81,1
6,67,1
14,67,1
35,67,1
75,67,1
7,86,1
28,86,1
61,86,1
8,20,0
34,20,0
39,20,0
73,20,0
8,31,0
18,31,0
36,31,0
37,31,0
8,47,0
9,34,0
20,34,0
24,34,0
26,34,0
9,41,0
39,41,0
61,41,0
62,41,0
76,41,0
10,21,0
29,21,0
83,21,0
10,28,0
45,28,0
86,28,0
11,30,0
32,30,0
36,30,0
11,36,0
30,36,0
31,36,0
42,36,0
11,40,0
12,45,0
19,45,0
28,45,0
38,45,0
12,49,0
23,49,0
25,49,0
15,61,1
41,61,1
86,61,1
15,84,1
93,84,1
18,25,0
44,25,0
48,25,0
49,25,0
18,32,0
30,32,0
33,32,0
19,22,0
24,22,0
48,22,0
19,39,0
20,39,0
41,39,0
20,8,0
31,8,0
47,8,0
20,73,1
98,73,1
21,10,0
28,10,0
21,29,0
22,19,0
39,19,0
45,19,0
22,48,0
25,48,0
38,48,0
43,48,0
24,2,0
27,2,0
25,18,0
31,18,0
32,18,0
25,44,0
46,44,0
26,35,0
54,35,0
67,35,0
92,35,0
26,37,0
31,37,0
30,11,0
36,11,0
40,11,0
32,33,0
65,33,0
34,9,0
41,9,0
34,26,0
35,26,0
37,26,0
35,54,1
59,54,1
97,54,1
36,42,0
41,62,1
66,62,1
44,46,0
71,46,0
45,12,0
49,12,0
45,38,0
48,38,0
48,43,0
49,23,0
71,23,0
50,56,1
66,56,1
50,98,1
73,98,1
51,52,1
82,52,1
85,52,1
88,52,1
52,51,1
76,51,1
52,82,1
72,82,1
52,85,1
53,63,1
64,63,1
68,63,1
72,63,1
53,79,1
59,79,1
54,59,1
79,59,1
80,59,1
87,59,1
55,5,0
57,5,0
65,5,0
81,5,0
55,7,0
86,7,0
55,16,0
83,16,0
94,16,0
55,17,0
55,77,1
58,77,1
81,77,1
56,50,1
98,50,1
56,66,1
62,66,1
57,95,1
64,95,1
65,95,1
59,80,1
59,87,1
70,87,1
96,87,1
60,68,1
63,68,1
69,68,1
90,68,1
99,68,1
61,15,0
74,15,0
76,15,0
84,15,0
63,53,1
79,53,1
63,72,1
82,72,1
90,72,1
64,3,0
74,3,0
83,3,0
88,3,0
93,3,0
67,6,0
67,14,0
67,75,1
68,60,1
68,69,1
89,69,1
90,69,1
68,90,1
69,90,1
72,90,1
68,99,1
69,89,1
92,89,1
71,0,0
83,0,0
71,96,1
87,96,1
76,1,0
94,1,0
97,1,0
77,58,1
83,58,1
87,70,1
88,78,1
92,4,0
94,91,1
97,13,0
