vertex_1,vertex_2,is_treated
0,11,0
9,11,0
30,11,0
0,23,0
8,23,0
1,27,0
38,27,0
42,27,0
1,47,0
48,47,0
61,47,0
62,47,0
2,54,1
21,54,1
29,54,1
40,54,1
78,54,1
3,13,0
9,13,0
56,13,0
3,29,0
35,29,0
54,29,0
93,29,0
3,39,0
7,39,0
4,6,0
26,6,0
4,16,0
7,16,0
38,16,0
4,37,0
49,37,0
4,62,1
28,62,1
40,62,1
45,62,1
47,62,1
58,62,1
4,76,1
22,76,1
57,76,1
5,63,1
68,63,1
5,74,1
52,74,1
6,4,0
16,4,0
37,4,0
62,4,0
76,4,0
6,26,0
35,26,0
77,26,0
90,26,0
7,44,0
8,44,0
30,44,0
8,35,0
9,35,0
26,35,0
29,35,0
9,10,0
38,10,0
10,9,0
11,9,0
13,9,0
35,9,0
10,38,0
16,38,0
27,38,0
48,38,0
11,0,0
23,0,0
11,30,0
17,30,0
44,30,0
12,42,0
20,42,0
27,42,0
12,49,0
37,49,0
13,3,0
29,3,0
39,3,0
13,56,1
24,56,1
85,56,1
14,78,1
20,78,1
54,78,1
14,90,1
26,90,1
31,90,1
36,90,1
99,90,1
15,92,1
24,92,1
61,92,1
16,7,0
39,7,0
44,7,0
17,21,0
32,21,0
54,21,0
17,32,0
21,32,0
43,32,0
48,32,0
95,32,0
17,43,0
32,43,0
18,86,1
77,86,1
19,77,1
26,77,1
86,77,1
20,48,0
32,48,0
38,48,0
46,48,0
47,48,0
20,51,1
83,51,1
20,97,1
25,97,1
67,97,1
21,17,0
30,17,0
32,17,0
43,17,0
22,57,1
34,57,1
76,57,1
23,8,0
35,8,0
44,8,0
25,93,1
29,93,1
58,93,1
27,1,0
47,1,0
32,95,1
65,95,1
33,73,1
40,73,1
64,73,1
36,60,1
45,60,1
58,60,1
89,60,1
41,68,1
63,68,1
41,79,1
98,79,1
42,12,0
49,12,0
42,20,0
48,20,0
51,20,0
78,20,0
97,20,0
45,65,1
95,65,1
47,61,1
67,61,1
92,61,1
48,46,0
50,71,1
81,71,1
83,71,1
50,72,1
89,72,1
50,91,1
67,91,1
51,83,1
71,83,1
81,83,1
52,88,1
89,88,1
94,88,1
53,67,1
61,67,1
91,67,1
97,67,1
53,87,1
55,87,1
54,2,0
54,40,0
62,40,0
73,40,0
55,66,1
96,66,1
56,24,0
92,24,0
56,85,1
57,22,0
76,22,0
57,34,0
59,81,1
71,81,1
83,81,1
60,36,0
90,36,0
60,45,0
62,45,0
65,45,0
60,58,1
62,58,1
93,58,1
60,89,1
72,89,1
88,89,1
62,28,0
63,5,0
74,5,0
64,75,1
69,75,1
70,75,1
84,75,1
64,80,1
99,80,1
66,55,1
87,55,1
66,96,1
67,53,1
87,53,1
68,41,0
79,41,0
71,50,1
72,50,1
91,50,1
73,33,0
73,64,1
75,64,1
80,64,1
74,52,1
88,52,1
75,69,1
75,70,1
75,84,1
94,84,1
77,19,0
78,14,0
90,14,0
79,98,1
99,98,1
80,99,1
90,99,1
98,99,1
81,59,1
82,94,1
84,94,1
88,94,1
86,18,0
90,31,0
92,15,0
93,25,0
97,25,0
94,82,1
