vertex_1,vertex_2,is_treated
0,20,0
6,20,0
0,21,0
48,21,0
0,36,0
35,36,0
0,46,0
10,46,0
22,46,0
29,46,0
0,48,0
21,48,0
32,48,0
1,32,0
26,32,0
29,32,0
48,32,0
1,38,0
26,38,0
44,38,0
2,23,0
26,23,0
42,23,0
2,34,0
49,34,0
61,34,0
82,34,0
86,34,0
2,45,0
7,45,0
10,45,0
3,28,0
19,28,0
22,28,0
44,28,0
4,75,1
11,75,1
58,75,1
76,75,1
5,9,0
25,9,0
5,63,1
68,63,1
5,70,1
8,70,1
17,70,1
39,70,1
41,70,1
92,70,1
5,90,1
92,90,1
7,25,0
9,25,0
7,59,1
17,59,1
84,59,1
8,82,1
13,82,1
18,82,1
34,82,1
94,82,1
8,83,1
13,83,1
14,83,1
81,83,1
9,5,0
63,5,0
70,5,0
90,5,0
10,31,0
41,31,0
12,51,1
49,51,1
67,51,1
13,50,1
15,50,1
66,50,1
14,62,1
53,62,1
16,64,1
27,64,1
41,64,1
80,64,1
16,87,1
74,87,1
17,98,1
86,98,1
18,86,1
34,86,1
49,86,1
57,86,1
98,86,1
19,24,0
33,24,0
47,24,0
19,35,0
36,35,0
20,0,0
21,0,0
36,0,0
46,0,0
48,0,0
20,6,0
22,43,0
37,43,0
23,2,0
34,2,0
45,2,0
23,26,0
32,26,0
38,26,0
23,42,0
37,42,0
24,19,0
28,19,0
35,19,0
24,33,0
37,33,0
24,47,0
41,47,0
25,7,0
45,7,0
59,7,0
27,97,1
49,97,1
71,97,1
28,3,0
28,22,0
43,22,0
46,22,0
28,44,0
38,44,0
40,44,0
30,71,1
97,71,1
31,10,0
45,10,0
46,10,0
31,41,0
47,41,0
64,41,0
70,41,0
32,1,0
38,1,0
32,29,0
46,29,0
33,37,0
42,37,0
43,37,0
34,49,0
51,49,0
86,49,0
97,49,0
34,61,1
58,61,1
65,61,1
44,40,0
50,13,0
82,13,0
83,13,0
50,15,0
50,66,1
60,66,1
74,66,1
81,66,1
51,12,0
51,67,1
52,69,1
52,80,1
64,80,1
54,78,1
94,78,1
55,76,1
75,76,1
56,72,1
58,72,1
89,72,1
91,72,1
56,85,1
57,93,1
65,93,1
88,93,1
57,99,1
68,99,1
81,99,1
88,99,1
91,99,1
59,17,0
70,17,0
98,17,0
59,84,1
61,58,1
72,58,1
75,58,1
61,65,1
93,65,1
62,14,0
83,14,0
62,53,1
63,68,1
99,68,1
64,16,0
87,16,0
64,27,0
97,27,0
66,60,1
66,74,1
87,74,1
66,81,1
73,81,1
83,81,1
99,81,1
69,52,1
80,52,1
70,8,0
82,8,0
83,8,0
70,39,0
70,92,1
90,92,1
71,30,0
72,56,1
85,56,1
72,89,1
79,89,1
72,91,1
99,91,1
73,77,1
75,4,0
75,11,0
76,55,1
77,73,1
81,73,1
78,54,1
78,94,1
82,94,1
79,88,1
93,88,1
95,88,1
96,88,1
99,88,1
82,18,0
86,18,0
86,57,1
93,57,1
99,57,1
88,79,1
89,79,1
88,95,1
88,96,1
