vertex_1,vertex_2,is_treated
0,80,1
4,80,1
23,80,1
61,80,1
1,55,1
32,55,1
70,55,1
2,62,1
7,62,1
50,62,1
2,75,1
79,75,1
3,39,0
27,39,0
3,43,0
9,43,0
13,43,0
3,47,0
46,47,0
5,13,0
16,13,0
43,13,0
5,34,0
27,34,0
38,34,0
5,45,0
9,45,0
6,11,0
36,11,0
44,11,0
8,20,0
40,20,0
73,20,0
8,85,1
25,85,1
86,85,1
8,87,1
9,87,1
69,87,1
98,87,1
9,17,0
26,17,0
9,33,0
49,33,0
10,74,1
14,74,1
72,74,1
10,91,1
79,91,1
10,94,1
12,94,1
92,94,1
11,6,0
11,36,0
15,36,0
11,44,0
19,44,0
24,44,0
12,14,0
74,14,0
96,14,0
12,19,0
44,19,0
12,26,0
17,26,0
41,26,0
12,96,1
14,96,1
21,96,1
57,96,1
13,5,0
34,5,0
45,5,0
13,16,0
49,16,0
14,12,0
19,12,0
26,12,0
94,12,0
96,12,0
15,31,0
29,31,0
37,31,0
16,49,0
33,49,0
17,9,0
33,9,0
43,9,0
45,9,0
87,9,0
18,37,0
31,37,0
18,41,0
26,41,0
27,41,0
20,8,0
85,8,0
87,8,0
20,40,0
42,40,0
46,40,0
20,73,1
59,73,1
21,82,1
29,82,1
92,82,1
99,82,1
22,63,1
29,63,1
56,63,1
23,52,1
83,52,1
23,90,1
64,90,1
24,46,0
40,46,0
47,46,0
24,48,0
30,48,0
35,48,0
25,69,1
76,69,1
87,69,1
28,67,1
88,67,1
31,15,0
36,15,0
31,29,0
63,29,0
82,29,0
32,38,0
34,38,0
35,38,0
32,42,0
40,42,0
34,27,0
39,27,0
41,27,0
37,18,0
41,18,0
38,32,0
42,32,0
55,32,0
38,35,0
48,35,0
39,3,0
43,3,0
47,3,0
44,24,0
46,24,0
48,24,0
48,30,0
50,51,1
84,51,1
98,51,1
51,50,1
62,50,1
51,84,1
58,84,1
51,98,1
71,98,1
81,98,1
87,98,1
52,23,0
80,23,0
90,23,0
52,83,1
61,83,1
53,54,1
66,54,1
53,86,1
57,86,1
59,86,1
85,86,1
92,86,1
54,53,1
86,53,1
54,66,1
55,1,0
55,70,1
56,58,1
84,58,1
93,58,1
58,56,1
63,56,1
58,93,1
68,93,1
95,93,1
59,60,1
60,59,1
73,59,1
86,59,1
61,81,1
98,81,1
61,97,1
65,97,1
88,97,1
62,2,0
75,2,0
62,7,0
63,22,0
65,72,1
74,72,1
67,28,0
67,88,1
97,88,1
69,25,0
85,25,0
69,76,1
71,77,1
72,65,1
97,65,1
74,10,0
91,10,0
94,10,0
75,79,1
91,79,1
77,71,1
98,71,1
78,89,1
78,92,1
82,92,1
86,92,1
94,92,1
78,95,1
93,95,1
80,0,0
80,4,0
80,61,1
81,61,1
83,61,1
97,61,1
82,21,0
96,21,0
82,99,1
86,57,1
96,57,1
89,78,1
92,78,1
95,78,1
90,64,1
93,68,1
