vertex_1,vertex_2,is_treated
0,27,0
13,27,0
22,27,0
23,27,0
42,27,0
0,32,0
48,32,0
0,70,1
38,70,1
43,70,1
53,70,1
0,89,1
9,89,1
92,89,1
1,86,1
55,86,1
2,57,1
16,57,1
19,57,1
20,57,1
94,57,1
3,61,1
38,61,1
50,61,1
3,68,1
9,68,1
16,68,1
24,68,1
93,68,1
4,15,0
40,15,0
44,15,0
4,37,0
35,37,0
36,37,0
45,37,0
5,79,1
19,79,1
55,79,1
65,79,1
6,17,0
22,17,0
26,17,0
6,33,0
6,46,0
39,46,0
7,21,0
25,21,0
7,42,0
8,42,0
22,42,0
27,42,0
7,43,0
64,43,0
70,43,0
85,43,0
8,9,0
10,9,0
68,9,0
89,9,0
8,23,0
26,23,0
27,23,0
31,23,0
9,8,0
23,8,0
42,8,0
9,10,0
34,10,0
10,34,0
35,34,0
11,52,1
20,52,1
44,52,1
87,52,1
12,45,0
14,45,0
37,45,0
39,45,0
12,47,0
13,30,0
13,85,1
43,85,1
66,85,1
77,85,1
13,99,1
90,99,1
14,41,0
95,41,0
15,4,0
37,4,0
15,40,0
15,44,0
36,44,0
52,44,0
16,65,1
18,65,1
79,65,1
17,6,0
33,6,0
46,6,0
17,22,0
27,22,0
42,22,0
17,26,0
23,26,0
25,26,0
35,26,0
49,26,0
18,95,1
41,95,1
54,95,1
77,95,1
19,75,1
29,75,1
82,75,1
20,80,1
96,80,1
20,94,1
57,94,1
21,7,0
42,7,0
43,7,0
21,25,0
26,25,0
38,25,0
23,31,0
25,38,0
61,38,0
70,38,0
26,35,0
34,35,0
37,35,0
49,35,0
26,49,0
35,49,0
27,0,0
32,0,0
70,0,0
89,0,0
27,13,0
30,13,0
85,13,0
99,13,0
28,50,1
59,50,1
61,50,1
32,48,0
37,36,0
44,36,0
41,14,0
45,14,0
43,64,1
63,64,1
45,12,0
47,12,0
45,39,0
46,39,0
50,28,0
50,59,1
51,66,1
62,66,1
85,66,1
97,66,1
51,93,1
53,93,1
67,93,1
68,93,1
90,93,1
52,11,0
52,20,0
57,20,0
80,20,0
94,20,0
52,87,1
53,87,1
73,87,1
53,77,1
62,77,1
85,77,1
95,77,1
54,81,1
84,81,1
55,62,1
66,62,1
77,62,1
55,98,1
56,71,1
60,71,1
57,2,0
57,16,0
65,16,0
68,16,0
57,19,0
75,19,0
79,19,0
58,69,1
60,69,1
90,69,1
61,3,0
68,3,0
62,55,1
79,55,1
86,55,1
98,55,1
64,63,1
65,18,0
95,18,0
66,51,1
93,51,1
66,97,1
68,24,0
69,58,1
69,60,1
71,60,1
69,90,1
93,90,1
99,90,1
70,53,1
77,53,1
87,53,1
93,53,1
71,56,1
72,74,1
83,74,1
73,78,1
76,78,1
73,83,1
74,83,1
74,72,1
75,29,0
75,82,1
76,91,1
88,91,1
78,73,1
83,73,1
87,73,1
78,76,1
91,76,1
79,5,0
80,96,1
81,54,1
95,54,1
81,84,1
86,1,0
89,92,1
91,88,1
93,67,1
