vertex_1,vertex_2,is_treated
0,5,0
80,5,0
0,13,0
23,13,0
24,13,0
0,21,0
23,21,0
1,31,0
4,31,0
38,31,0
1,97,1
2,97,1
89,97,1
2,12,0
9,12,0
2,17,0
16,17,0
25,17,0
2,45,0
15,45,0
42,45,0
2,83,1
3,83,1
11,83,1
33,83,1
85,83,1
3,90,1
77,90,1
4,43,0
34,43,0
4,44,0
25,44,0
32,44,0
5,0,0
13,0,0
21,0,0
5,80,1
28,80,1
59,80,1
6,50,1
7,50,1
14,50,1
84,50,1
6,87,1
26,87,1
30,87,1
68,87,1
7,46,0
36,46,0
8,27,0
36,27,0
8,39,0
24,39,0
8,47,0
25,47,0
63,47,0
86,47,0
9,29,0
32,29,0
65,29,0
10,23,0
13,23,0
21,23,0
38,23,0
53,23,0
10,32,0
29,32,0
44,32,0
77,32,0
11,65,1
19,65,1
29,65,1
37,65,1
94,65,1
11,88,1
61,88,1
12,2,0
17,2,0
45,2,0
83,2,0
97,2,0
12,9,0
29,9,0
13,24,0
38,24,0
39,24,0
40,24,0
14,99,1
78,99,1
94,99,1
98,99,1
15,34,0
30,34,0
42,34,0
43,34,0
15,48,0
16,37,0
55,37,0
65,37,0
17,16,0
37,16,0
17,25,0
41,25,0
44,25,0
47,25,0
18,52,1
63,52,1
93,52,1
18,85,1
41,85,1
83,85,1
18,86,1
47,86,1
71,86,1
82,86,1
20,54,1
66,54,1
92,54,1
22,91,1
30,91,1
69,91,1
76,91,1
23,10,0
32,10,0
23,38,0
24,38,0
31,38,0
23,53,1
67,53,1
24,40,0
25,41,0
85,41,0
27,8,0
39,8,0
47,8,0
27,36,0
46,36,0
28,68,1
69,68,1
87,68,1
30,55,1
37,55,1
64,55,1
31,1,0
97,1,0
31,4,0
43,4,0
44,4,0
32,77,1
90,77,1
33,35,0
49,35,0
34,15,0
45,15,0
48,15,0
34,30,0
55,30,0
87,30,0
91,30,0
34,42,0
45,42,0
35,33,0
83,33,0
35,49,0
46,7,0
50,7,0
47,63,1
52,63,1
50,6,0
87,6,0
50,14,0
99,14,0
50,84,1
51,89,1
97,89,1
52,18,0
85,18,0
86,18,0
52,93,1
53,67,1
54,20,0
54,66,1
81,66,1
54,92,1
78,92,1
96,92,1
55,64,1
79,64,1
56,79,1
64,79,1
69,79,1
98,79,1
56,98,1
73,98,1
79,98,1
99,98,1
57,76,1
74,76,1
91,76,1
58,72,1
62,72,1
94,72,1
58,75,1
70,75,1
73,75,1
95,75,1
60,61,1
88,61,1
60,69,1
68,69,1
79,69,1
91,69,1
61,60,1
69,60,1
65,11,0
83,11,0
88,11,0
65,19,0
65,94,1
72,94,1
95,94,1
99,94,1
66,81,1
68,28,0
80,28,0
72,58,1
75,58,1
72,62,1
75,70,1
75,73,1
98,73,1
75,95,1
94,95,1
76,57,1
76,74,1
79,56,1
98,56,1
80,59,1
82,96,1
92,96,1
83,3,0
90,3,0
86,71,1
86,82,1
96,82,1
87,26,0
89,51,1
91,22,0
92,78,1
99,78,1
