vertex_1,vertex_2,is_treated
0,28,0
13,28,0
37,28,0
0,39,0
35,39,0
42,39,0
0,42,0
7,42,0
11,42,0
39,42,0
1,68,1
15,68,1
23,68,1
93,68,1
1,69,1
71,69,1
2,18,0
48,18,0
2,35,0
10,35,0
27,35,0
39,35,0
3,81,1
15,81,1
22,81,1
46,81,1
62,81,1
75,81,1
80,81,1
4,47,0
21,47,0
36,47,0
4,80,1
31,80,1
54,80,1
81,80,1
4,96,1
14,96,1
43,96,1
84,96,1
5,43,0
6,43,0
20,43,0
37,43,0
96,43,0
5,46,0
81,46,0
86,46,0
6,29,0
10,29,0
7,12,0
20,12,0
83,12,0
8,65,1
25,65,1
66,65,1
71,65,1
9,10,0
29,10,0
35,10,0
9,30,0
11,30,0
16,30,0
10,9,0
30,9,0
11,26,0
36,26,0
12,7,0
42,7,0
12,20,0
37,20,0
43,20,0
12,83,1
19,83,1
31,83,1
74,83,1
13,40,0
24,40,0
32,40,0
49,40,0
13,60,1
91,60,1
14,61,1
15,61,1
48,61,1
66,61,1
14,67,1
57,67,1
14,73,1
82,73,1
14,86,1
46,86,1
92,86,1
15,53,1
31,53,1
58,53,1
16,36,0
26,36,0
37,36,0
47,36,0
17,87,1
58,87,1
75,87,1
18,2,0
35,2,0
18,48,0
61,48,0
20,37,0
28,37,0
36,37,0
43,37,0
21,24,0
40,24,0
21,27,0
35,27,0
38,27,0
23,94,1
90,94,1
24,21,0
27,21,0
47,21,0
25,64,1
70,64,1
97,64,1
26,11,0
30,11,0
42,11,0
27,38,0
45,38,0
28,0,0
39,0,0
42,0,0
28,13,0
40,13,0
60,13,0
29,6,0
43,6,0
30,16,0
36,16,0
31,62,1
41,62,1
81,62,1
31,97,1
64,97,1
32,33,0
33,32,0
40,32,0
34,54,1
44,54,1
58,54,1
80,54,1
38,45,0
40,49,0
43,5,0
46,5,0
44,56,1
85,56,1
47,4,0
80,4,0
96,4,0
50,84,1
96,84,1
51,76,1
59,76,1
51,82,1
71,82,1
73,82,1
52,98,1
57,98,1
53,15,0
61,15,0
68,15,0
81,15,0
53,31,0
62,31,0
80,31,0
83,31,0
97,31,0
53,58,1
54,58,1
85,58,1
87,58,1
54,34,0
54,44,0
56,44,0
55,93,1
68,93,1
56,85,1
58,85,1
57,79,1
63,79,1
77,79,1
99,79,1
60,91,1
71,91,1
61,14,0
67,14,0
73,14,0
86,14,0
96,14,0
61,66,1
65,66,1
70,66,1
62,41,0
64,25,0
65,25,0
64,70,1
66,70,1
71,70,1
89,70,1
65,8,0
65,71,1
69,71,1
70,71,1
78,71,1
82,71,1
91,71,1
67,57,1
79,57,1
98,57,1
68,1,0
69,1,0
68,23,0
94,23,0
70,89,1
88,89,1
71,78,1
72,75,1
81,75,1
87,75,1
75,72,1
76,51,1
82,51,1
76,59,1
79,63,1
79,77,1
79,99,1
81,3,0
81,22,0
83,19,0
83,74,1
84,50,1
86,92,1
95,92,1
87,17,0
89,88,1
92,95,1
93,55,1
94,90,1
98,52,1
