vertex_1,vertex_2,is_treated
0,37,0
1,37,0
20,37,0
34,37,0
1,23,0
21,23,0
39,23,0
1,25,0
19,25,0
22,25,0
32,25,0
1,30,0
17,30,0
41,30,0
48,30,0
2,94,1
11,94,1
36,94,1
82,94,1
3,85,1
13,85,1
61,85,1
98,85,1
4,19,0
9,19,0
25,19,0
5,8,0
38,8,0
6,70,1
10,70,1
18,70,1
61,70,1
6,88,1
32,88,1
38,88,1
40,88,1
65,88,1
6,98,1
42,98,1
85,98,1
7,17,0
30,17,0
43,17,0
7,32,0
25,32,0
88,32,0
8,5,0
8,38,0
46,38,0
88,38,0
9,20,0
34,20,0
37,20,0
40,20,0
9,34,0
20,34,0
27,34,0
37,34,0
41,34,0
9,44,0
10,56,1
11,56,1
12,56,1
27,56,1
53,56,1
11,80,1
78,80,1
11,87,1
66,87,1
11,89,1
42,89,1
54,89,1
66,89,1
12,24,0
31,24,0
45,24,0
14,74,1
50,74,1
15,75,1
42,75,1
76,75,1
16,81,1
35,81,1
45,81,1
53,81,1
90,81,1
91,81,1
17,7,0
32,7,0
17,43,0
18,59,1
52,59,1
18,73,1
54,73,1
18,76,1
75,76,1
18,84,1
60,84,1
61,84,1
19,4,0
19,9,0
20,9,0
34,9,0
44,9,0
20,40,0
88,40,0
21,22,0
25,22,0
21,46,0
38,46,0
22,21,0
23,21,0
46,21,0
23,1,0
25,1,0
30,1,0
37,1,0
23,39,0
47,39,0
24,12,0
56,12,0
24,31,0
33,31,0
24,45,0
81,45,0
26,41,0
30,41,0
34,41,0
26,64,1
90,64,1
27,68,1
42,68,1
97,68,1
28,49,0
33,49,0
28,71,1
99,71,1
29,33,0
31,33,0
36,33,0
42,33,0
49,33,0
29,48,0
30,48,0
47,48,0
33,29,0
48,29,0
33,36,0
35,36,0
94,36,0
33,42,0
68,42,0
75,42,0
89,42,0
98,42,0
34,27,0
56,27,0
68,27,0
36,35,0
81,35,0
37,0,0
39,47,0
48,47,0
41,26,0
64,26,0
49,28,0
71,28,0
50,95,1
69,95,1
77,95,1
50,96,1
51,96,1
52,77,1
86,77,1
95,77,1
52,86,1
77,86,1
79,86,1
53,82,1
79,82,1
83,82,1
93,82,1
94,82,1
54,62,1
72,62,1
55,90,1
64,90,1
81,90,1
56,10,0
70,10,0
56,11,0
80,11,0
87,11,0
89,11,0
94,11,0
56,53,1
81,53,1
82,53,1
57,69,1
95,69,1
58,60,1
84,60,1
59,18,0
70,18,0
73,18,0
76,18,0
84,18,0
59,52,1
77,52,1
86,52,1
60,58,1
62,54,1
73,54,1
89,54,1
62,72,1
99,72,1
63,67,1
91,67,1
66,92,1
91,92,1
67,63,1
67,91,1
81,91,1
92,91,1
93,91,1
68,97,1
69,57,1
70,6,0
88,6,0
98,6,0
70,61,1
84,61,1
85,61,1
71,99,1
72,99,1
74,14,0
74,50,1
95,50,1
96,50,1
75,15,0
80,78,1
81,16,0
82,79,1
86,79,1
82,83,1
82,93,1
91,93,1
85,3,0
85,13,0
87,66,1
89,66,1
92,66,1
88,65,1
90,55,1
94,2,0
96,51,1
