vertex_1,vertex_2,is_treated
0,12,0
1,12,0
27,12,0
1,39,0
7,39,0
56,39,0
1,47,0
21,47,0
24,47,0
33,47,0
2,8,0
35,8,0
36,8,0
69,8,0
2,17,0
40,17,0
51,17,0
52,17,0
76,17,0
3,13,0
42,13,0
99,13,0
3,31,0
3,48,0
20,48,0
34,48,0
49,48,0
4,51,1
11,51,1
17,51,1
34,51,1
61,51,1
4,62,1
9,62,1
59,62,1
68,62,1
4,94,1
9,94,1
25,94,1
26,94,1
96,94,1
5,53,1
18,53,1
30,53,1
77,53,1
5,57,1
80,57,1
82,57,1
5,88,1
81,88,1
6,28,0
15,28,0
45,28,0
6,37,0
21,37,0
6,45,0
28,45,0
41,45,0
46,45,0
7,49,0
48,49,0
8,2,0
17,2,0
8,35,0
16,35,0
44,35,0
8,36,0
16,36,0
19,36,0
40,36,0
8,69,1
10,69,1
78,69,1
9,99,1
13,99,1
22,99,1
77,99,1
12,0,0
12,1,0
39,1,0
47,1,0
12,27,0
29,27,0
40,27,0
13,3,0
31,3,0
48,3,0
13,42,0
29,42,0
14,73,1
76,73,1
15,19,0
33,19,0
36,19,0
79,19,0
17,40,0
27,40,0
36,40,0
17,52,1
59,52,1
17,76,1
59,76,1
73,76,1
18,54,1
79,54,1
18,78,1
69,78,1
19,15,0
28,15,0
19,33,0
24,33,0
47,33,0
19,79,1
32,79,1
54,79,1
20,41,0
38,41,0
45,41,0
21,68,1
62,68,1
71,68,1
95,68,1
22,67,1
71,67,1
23,50,1
80,50,1
23,75,1
26,75,1
66,75,1
71,75,1
24,46,0
43,46,0
45,46,0
26,91,1
32,91,1
92,91,1
27,29,0
42,29,0
28,6,0
37,6,0
45,6,0
30,64,1
87,64,1
32,43,0
46,43,0
32,56,1
39,56,1
85,56,1
32,83,1
70,83,1
97,83,1
33,24,0
46,24,0
47,24,0
35,16,0
36,16,0
35,44,0
37,21,0
47,21,0
68,21,0
39,7,0
49,7,0
41,20,0
48,20,0
41,38,0
43,32,0
56,32,0
79,32,0
83,32,0
91,32,0
48,34,0
51,34,0
50,23,0
75,23,0
50,80,1
57,80,1
51,4,0
62,4,0
94,4,0
51,11,0
51,61,1
95,61,1
52,59,1
62,59,1
63,59,1
76,59,1
90,59,1
53,5,0
57,5,0
88,5,0
53,18,0
54,18,0
78,18,0
53,30,0
64,30,0
53,77,1
63,77,1
72,77,1
93,77,1
99,77,1
55,81,1
88,81,1
55,84,1
56,85,1
57,82,1
58,63,1
59,63,1
60,63,1
77,63,1
86,63,1
58,98,1
59,90,1
61,95,1
68,95,1
89,95,1
62,9,0
94,9,0
99,9,0
63,58,1
98,58,1
63,60,1
63,86,1
72,86,1
87,86,1
64,87,1
65,87,1
86,87,1
65,70,1
66,70,1
83,70,1
66,72,1
77,72,1
86,72,1
67,22,0
99,22,0
67,71,1
68,71,1
75,71,1
69,10,0
70,65,1
87,65,1
70,66,1
72,66,1
75,66,1
73,14,0
74,93,1
77,93,1
75,26,0
91,26,0
94,26,0
81,55,1
84,55,1
83,97,1
89,96,1
94,96,1
91,92,1
93,74,1
94,25,0
95,89,1
96,89,1
