vertex_1,vertex_2,is_treated
0,69,1
68,69,1
1,23,0
26,23,0
35,23,0
46,23,0
1,39,0
67,39,0
71,39,0
1,62,1
99,62,1
2,5,0
13,5,0
18,5,0
49,5,0
2,38,0
19,38,0
34,38,0
2,42,0
11,42,0
2,44,0
16,44,0
21,44,0
3,74,1
4,74,1
41,74,1
87,74,1
4,57,1
66,57,1
4,60,1
28,60,1
32,60,1
40,60,1
86,60,1
5,2,0
38,2,0
42,2,0
44,2,0
5,13,0
5,18,0
5,49,0
81,49,0
96,49,0
6,15,0
63,15,0
82,15,0
6,16,0
10,16,0
44,16,0
6,22,0
6,26,0
23,26,0
37,26,0
6,66,1
36,66,1
37,66,1
57,66,1
85,66,1
7,43,0
40,43,0
7,65,1
14,65,1
76,65,1
7,72,1
59,72,1
7,89,1
28,89,1
70,89,1
8,30,0
34,30,0
37,30,0
9,76,1
65,76,1
10,31,0
37,31,0
11,36,0
32,36,0
66,36,0
11,41,0
20,41,0
74,41,0
11,46,0
23,46,0
11,82,1
12,82,1
15,82,1
17,82,1
80,82,1
12,97,1
14,97,1
93,97,1
15,6,0
16,6,0
22,6,0
26,6,0
66,6,0
15,63,1
20,63,1
91,63,1
16,10,0
31,10,0
19,25,0
24,25,0
20,83,1
64,83,1
21,29,0
96,29,0
21,48,0
28,48,0
47,48,0
23,1,0
39,1,0
62,1,0
23,35,0
24,27,0
33,27,0
24,45,0
24,47,0
33,47,0
48,47,0
25,19,0
38,19,0
25,24,0
27,24,0
45,24,0
47,24,0
26,37,0
30,37,0
31,37,0
66,37,0
27,33,0
47,33,0
28,71,1
39,71,1
51,71,1
93,71,1
29,21,0
44,21,0
48,21,0
29,96,1
49,96,1
87,96,1
30,8,0
30,34,0
38,34,0
36,11,0
41,11,0
42,11,0
46,11,0
82,11,0
36,32,0
60,32,0
39,67,1
91,67,1
40,58,1
86,58,1
41,20,0
63,20,0
83,20,0
43,7,0
65,7,0
72,7,0
89,7,0
43,40,0
58,40,0
60,40,0
48,28,0
60,28,0
71,28,0
89,28,0
49,81,1
75,81,1
50,52,1
54,52,1
55,52,1
50,77,1
51,77,1
84,77,1
52,50,1
77,50,1
52,54,1
61,54,1
75,54,1
52,55,1
93,55,1
53,84,1
77,84,1
53,85,1
66,85,1
68,85,1
75,85,1
53,86,1
58,86,1
60,86,1
73,86,1
88,86,1
53,94,1
92,94,1
54,61,1
54,75,1
81,75,1
85,75,1
55,93,1
70,93,1
71,93,1
87,93,1
97,93,1
56,92,1
79,92,1
94,92,1
57,4,0
60,4,0
74,4,0
62,99,1
95,99,1
63,91,1
67,91,1
90,91,1
65,14,0
97,14,0
69,0,0
69,68,1
85,68,1
71,51,1
77,51,1
72,59,1
74,3,0
74,87,1
93,87,1
96,87,1
76,9,0
78,79,1
92,79,1
78,95,1
99,95,1
78,98,1
79,78,1
95,78,1
98,78,1
82,12,0
97,12,0
82,17,0
82,80,1
83,64,1
84,53,1
85,53,1
86,53,1
94,53,1
86,73,1
86,88,1
89,70,1
93,70,1
91,90,1
92,56,1
