vertex_1,vertex_2,is_treated
0,78,1
57,78,1
76,78,1
1,13,0
32,13,0
46,13,0
1,31,0
33,31,0
61,31,0
68,31,0
2,63,1
25,63,1
80,63,1
2,98,1
70,98,1
3,58,1
35,58,1
59,58,1
95,58,1
3,69,1
24,69,1
62,69,1
90,69,1
3,94,1
8,94,1
57,94,1
4,52,1
49,52,1
77,52,1
4,99,1
10,99,1
24,99,1
75,99,1
5,23,0
42,23,0
5,30,0
18,30,0
41,30,0
5,66,1
62,66,1
6,16,0
12,16,0
6,36,0
9,36,0
34,36,0
7,27,0
18,27,0
33,27,0
7,43,0
15,43,0
17,43,0
47,43,0
7,44,0
39,44,0
42,44,0
47,44,0
8,12,0
16,12,0
55,12,0
84,12,0
8,21,0
29,21,0
8,34,0
17,34,0
36,34,0
8,53,1
55,53,1
9,42,0
23,42,0
44,42,0
9,84,1
12,84,1
17,84,1
80,84,1
9,96,1
86,96,1
11,29,0
21,29,0
33,29,0
11,38,0
11,49,0
52,49,0
85,49,0
12,8,0
21,8,0
34,8,0
53,8,0
94,8,0
12,55,1
15,55,1
37,55,1
53,55,1
13,1,0
31,1,0
13,32,0
45,32,0
13,46,0
14,97,1
56,97,1
65,97,1
90,97,1
15,45,0
22,45,0
32,45,0
40,45,0
16,6,0
36,6,0
17,22,0
45,22,0
18,39,0
44,39,0
19,61,1
31,61,1
89,61,1
20,56,1
93,56,1
97,56,1
22,17,0
34,17,0
43,17,0
84,17,0
23,5,0
30,5,0
66,5,0
25,50,1
72,50,1
26,76,1
60,76,1
71,76,1
78,76,1
27,7,0
43,7,0
44,7,0
27,18,0
30,18,0
39,18,0
27,33,0
29,33,0
31,33,0
41,33,0
47,33,0
28,70,1
74,70,1
98,70,1
29,11,0
38,11,0
49,11,0
30,41,0
33,41,0
31,68,1
93,68,1
33,47,0
43,47,0
44,47,0
36,9,0
42,9,0
84,9,0
96,9,0
40,48,0
43,15,0
45,15,0
55,15,0
45,40,0
48,40,0
49,85,1
80,85,1
92,85,1
50,25,0
63,25,0
50,72,1
51,65,1
97,65,1
52,4,0
99,4,0
52,77,1
54,60,1
64,60,1
76,60,1
93,60,1
54,67,1
95,67,1
55,37,0
56,20,0
56,93,1
60,93,1
68,93,1
58,3,0
69,3,0
94,3,0
58,35,0
58,59,1
58,95,1
62,95,1
67,95,1
83,95,1
60,54,1
67,54,1
60,64,1
61,19,0
61,89,1
62,73,1
92,73,1
63,2,0
98,2,0
63,80,1
84,80,1
85,80,1
65,51,1
66,62,1
69,62,1
73,62,1
95,62,1
69,24,0
99,24,0
69,90,1
81,90,1
82,90,1
97,90,1
70,28,0
70,74,1
71,82,1
79,82,1
88,82,1
90,82,1
73,92,1
85,92,1
76,26,0
76,71,1
82,71,1
78,0,0
78,57,1
94,57,1
81,87,1
88,87,1
81,91,1
82,79,1
82,88,1
87,88,1
87,81,1
90,81,1
91,81,1
95,83,1
96,86,1
97,14,0
99,10,0
99,75,1
