vertex_1,vertex_2,is_treated
0,74,1
6,74,1
10,74,1
11,74,1
41,74,1
67,74,1
0,78,1
18,78,1
39,78,1
41,78,1
54,78,1
0,83,1
21,83,1
44,83,1
57,83,1
1,77,1
35,77,1
51,77,1
2,41,0
53,41,0
74,41,0
78,41,0
3,59,1
25,59,1
66,59,1
3,75,1
4,75,1
25,75,1
61,75,1
3,89,1
11,89,1
60,89,1
4,30,0
9,30,0
19,30,0
37,30,0
4,31,0
18,31,0
36,31,0
5,93,1
79,93,1
6,12,0
18,12,0
22,12,0
27,12,0
38,12,0
6,19,0
30,19,0
39,19,0
6,28,0
26,28,0
7,9,0
20,9,0
30,9,0
34,9,0
7,15,0
8,15,0
24,15,0
8,17,0
42,17,0
8,24,0
15,24,0
44,24,0
9,7,0
15,7,0
9,20,0
23,20,0
46,20,0
9,34,0
18,34,0
45,34,0
46,34,0
12,6,0
19,6,0
28,6,0
74,6,0
12,18,0
31,18,0
34,18,0
78,18,0
12,22,0
14,22,0
16,22,0
66,22,0
68,22,0
12,27,0
26,27,0
40,27,0
12,38,0
13,37,0
30,37,0
43,37,0
13,39,0
19,39,0
78,39,0
13,43,0
37,43,0
47,43,0
48,43,0
14,36,0
31,36,0
15,8,0
17,8,0
24,8,0
16,23,0
20,23,0
17,42,0
20,46,0
34,46,0
21,85,1
29,85,1
54,85,1
60,85,1
21,90,1
98,90,1
22,14,0
36,14,0
22,16,0
23,16,0
22,66,1
59,66,1
22,68,1
60,68,1
24,44,0
26,44,0
49,44,0
54,44,0
83,44,0
25,65,1
94,65,1
27,26,0
28,26,0
44,26,0
27,40,0
29,53,1
41,53,1
91,53,1
30,4,0
31,4,0
75,4,0
32,50,1
70,50,1
32,58,1
73,58,1
32,63,1
55,63,1
33,95,1
35,95,1
98,95,1
34,45,0
37,13,0
39,13,0
43,13,0
41,2,0
43,47,0
43,48,0
94,48,0
44,49,0
44,54,1
78,54,1
79,54,1
85,54,1
48,94,1
61,94,1
65,94,1
50,32,0
58,32,0
63,32,0
50,70,1
51,80,1
51,92,1
62,92,1
97,92,1
52,96,1
67,96,1
76,96,1
86,96,1
52,97,1
72,97,1
92,97,1
53,29,0
85,29,0
53,91,1
81,91,1
54,79,1
73,79,1
93,79,1
99,79,1
55,56,1
88,56,1
56,55,1
63,55,1
56,88,1
58,73,1
79,73,1
59,3,0
75,3,0
89,3,0
59,25,0
65,25,0
75,25,0
60,86,1
64,86,1
96,86,1
60,98,1
69,98,1
81,98,1
90,98,1
95,98,1
61,62,1
92,62,1
61,72,1
97,72,1
62,61,1
72,61,1
75,61,1
94,61,1
64,87,1
71,87,1
68,60,1
85,60,1
86,60,1
89,60,1
98,60,1
71,82,1
74,0,0
78,0,0
83,0,0
74,10,0
74,11,0
89,11,0
74,67,1
96,67,1
77,1,0
77,35,0
95,35,0
77,51,1
80,51,1
92,51,1
79,99,1
84,99,1
82,71,1
87,71,1
83,21,0
85,21,0
90,21,0
83,57,1
86,64,1
87,64,1
91,81,1
98,81,1
93,5,0
95,33,0
96,52,1
97,52,1
96,76,1
98,69,1
99,84,1
