vertex_1,vertex_2,is_treated
0,74,1
14,74,1
27,74,1
37,74,1
62,74,1
1,55,1
57,55,1
1,68,1
2,68,1
10,68,1
93,68,1
2,77,1
34,77,1
88,77,1
2,78,1
56,78,1
2,82,1
11,82,1
33,82,1
44,82,1
69,82,1
2,90,1
45,90,1
85,90,1
3,18,0
21,18,0
43,18,0
3,23,0
9,23,0
16,23,0
19,23,0
4,15,0
24,15,0
44,15,0
4,16,0
23,16,0
42,16,0
4,49,0
46,49,0
4,70,1
73,70,1
5,95,1
50,95,1
6,24,0
15,24,0
6,31,0
29,31,0
89,31,0
6,39,0
20,39,0
21,39,0
36,39,0
42,39,0
7,20,0
26,20,0
39,20,0
46,20,0
7,32,0
8,32,0
26,32,0
35,32,0
8,13,0
9,13,0
9,29,0
12,29,0
31,29,0
11,60,1
67,60,1
11,62,1
44,62,1
74,62,1
96,62,1
11,67,1
22,67,1
60,67,1
12,21,0
18,21,0
39,21,0
40,21,0
48,21,0
13,8,0
32,8,0
13,9,0
23,9,0
29,9,0
14,88,1
26,88,1
28,88,1
37,88,1
77,88,1
15,4,0
16,4,0
49,4,0
70,4,0
15,44,0
62,44,0
82,44,0
16,42,0
39,42,0
17,50,1
92,50,1
95,50,1
97,50,1
18,3,0
23,3,0
18,43,0
19,36,0
35,36,0
39,36,0
19,63,1
94,63,1
20,7,0
32,7,0
20,26,0
32,26,0
88,26,0
93,26,0
20,46,0
49,46,0
53,46,0
21,12,0
29,12,0
21,40,0
34,40,0
41,40,0
21,48,0
23,19,0
36,19,0
63,19,0
24,6,0
31,6,0
39,6,0
25,75,1
54,75,1
83,75,1
26,93,1
66,93,1
68,93,1
28,35,0
32,35,0
36,35,0
41,35,0
28,41,0
35,41,0
40,41,0
30,38,0
45,38,0
31,89,1
34,89,1
61,89,1
33,47,0
37,47,0
33,83,1
75,83,1
35,28,0
41,28,0
88,28,0
38,30,0
38,45,0
84,45,0
90,45,0
40,34,0
77,34,0
89,34,0
45,84,1
87,84,1
98,84,1
46,53,1
79,53,1
47,33,0
82,33,0
83,33,0
47,37,0
74,37,0
88,37,0
50,17,0
50,92,1
64,92,1
50,97,1
72,97,1
51,79,1
53,79,1
72,79,1
80,79,1
98,79,1
52,57,1
55,57,1
65,57,1
86,57,1
55,1,0
68,1,0
56,91,1
76,91,1
80,91,1
99,91,1
57,52,1
57,65,1
72,65,1
81,65,1
57,86,1
58,99,1
91,99,1
59,72,1
65,72,1
73,72,1
79,72,1
97,72,1
60,11,0
62,11,0
67,11,0
82,11,0
62,96,1
64,96,1
76,96,1
87,96,1
63,94,1
66,94,1
98,94,1
64,69,1
82,69,1
65,81,1
67,22,0
68,2,0
77,2,0
78,2,0
82,2,0
90,2,0
68,10,0
69,64,1
92,64,1
96,64,1
70,73,1
71,73,1
72,73,1
71,76,1
91,76,1
96,76,1
72,59,1
73,71,1
76,71,1
74,0,0
74,14,0
88,14,0
74,27,0
75,25,0
75,54,1
78,56,1
91,56,1
79,51,1
79,80,1
91,80,1
79,98,1
84,98,1
94,98,1
84,87,1
96,87,1
89,61,1
90,85,1
93,66,1
94,66,1
95,5,0
99,58,1
