vertex_1,vertex_2,is_treated
0,84,1
26,84,1
42,84,1
85,84,1
1,28,0
22,28,0
31,28,0
36,28,0
1,78,1
14,78,1
47,78,1
53,78,1
90,78,1
2,30,0
19,30,0
57,30,0
3,21,0
37,21,0
3,22,0
28,22,0
58,22,0
3,35,0
4,35,0
12,35,0
5,41,0
13,41,0
18,41,0
5,45,0
37,45,0
5,49,0
14,49,0
24,49,0
6,63,1
8,63,1
71,63,1
6,95,1
34,95,1
80,95,1
7,59,1
86,59,1
8,54,1
23,54,1
47,54,1
87,54,1
94,54,1
9,33,0
17,33,0
9,48,0
10,48,0
11,48,0
31,48,0
9,57,1
19,57,1
30,57,1
10,16,0
56,16,0
62,16,0
12,24,0
49,24,0
13,52,1
25,52,1
15,18,0
41,18,0
15,36,0
28,36,0
16,10,0
48,10,0
16,56,1
38,56,1
16,62,1
76,62,1
17,50,1
40,50,1
18,15,0
36,15,0
19,70,1
55,70,1
76,70,1
20,96,1
34,96,1
61,96,1
93,96,1
21,3,0
22,3,0
35,3,0
21,37,0
45,37,0
66,37,0
22,58,1
38,58,1
39,58,1
61,58,1
24,12,0
35,12,0
25,26,0
40,26,0
68,26,0
84,26,0
25,38,0
29,38,0
56,38,0
58,38,0
75,38,0
26,25,0
38,25,0
52,25,0
26,40,0
31,40,0
50,40,0
26,68,1
66,68,1
27,29,0
38,29,0
43,29,0
46,29,0
27,43,0
29,43,0
46,43,0
28,1,0
78,1,0
28,31,0
40,31,0
48,31,0
29,27,0
43,27,0
29,46,0
43,46,0
30,2,0
30,19,0
57,19,0
70,19,0
32,75,1
38,75,1
47,75,1
74,75,1
33,9,0
48,9,0
57,9,0
33,17,0
50,17,0
34,60,1
81,60,1
35,4,0
37,66,1
68,66,1
39,97,1
82,97,1
41,5,0
45,5,0
49,5,0
41,13,0
52,13,0
42,93,1
96,93,1
44,53,1
74,53,1
78,53,1
44,82,1
74,82,1
97,82,1
47,71,1
63,71,1
47,83,1
91,83,1
48,11,0
49,14,0
78,14,0
51,69,1
79,69,1
51,90,1
78,90,1
99,90,1
53,44,0
82,44,0
53,74,1
64,74,1
75,74,1
82,74,1
54,8,0
63,8,0
54,23,0
54,47,0
71,47,0
75,47,0
78,47,0
83,47,0
54,87,1
77,87,1
54,94,1
65,94,1
67,94,1
72,94,1
55,64,1
74,64,1
86,64,1
89,64,1
55,76,1
61,76,1
62,76,1
70,76,1
58,39,0
97,39,0
58,61,1
76,61,1
96,61,1
59,7,0
59,86,1
64,86,1
60,34,0
95,34,0
96,34,0
60,81,1
80,81,1
92,81,1
63,6,0
95,6,0
64,55,1
70,55,1
76,55,1
64,89,1
69,51,1
90,51,1
69,79,1
73,91,1
83,91,1
75,32,0
81,80,1
95,80,1
81,92,1
88,92,1
98,92,1
84,0,0
84,42,0
93,42,0
84,85,1
87,77,1
90,99,1
91,73,1
92,88,1
92,98,1
94,65,1
94,67,1
94,72,1
96,20,0
