vertex_1,vertex_2,is_treated
0,34,0
18,34,0
19,34,0
27,34,0
30,34,0
0,44,0
0,50,1
61,50,1
0,57,1
79,57,1
0,63,1
37,63,1
40,63,1
85,63,1
0,68,1
2,68,1
8,68,1
56,68,1
81,68,1
0,73,1
66,73,1
0,88,1
76,88,1
80,88,1
1,22,0
24,22,0
1,31,0
16,31,0
28,31,0
2,29,0
11,29,0
24,29,0
2,32,0
15,32,0
26,32,0
3,38,0
35,38,0
46,38,0
3,48,0
19,48,0
4,55,1
21,55,1
97,55,1
4,90,1
45,90,1
60,90,1
5,91,1
84,91,1
6,83,1
40,83,1
66,83,1
7,13,0
23,13,0
7,18,0
15,18,0
34,18,0
7,24,0
22,24,0
26,24,0
29,24,0
7,26,0
23,26,0
24,26,0
32,26,0
7,27,0
30,27,0
34,27,0
47,27,0
8,79,1
49,79,1
57,79,1
69,79,1
92,79,1
9,16,0
31,16,0
9,35,0
38,35,0
62,35,0
9,47,0
27,47,0
10,23,0
13,23,0
26,23,0
10,36,0
41,36,0
43,36,0
11,45,0
40,45,0
49,45,0
90,45,0
12,61,1
50,61,1
13,7,0
18,7,0
24,7,0
26,7,0
27,7,0
14,96,1
51,96,1
16,9,0
35,9,0
47,9,0
17,75,1
39,75,1
60,75,1
64,75,1
18,15,0
32,15,0
19,42,0
20,53,1
30,53,1
72,53,1
21,70,1
52,70,1
59,70,1
21,93,1
39,93,1
51,93,1
22,1,0
31,1,0
23,10,0
36,10,0
25,72,1
53,72,1
27,30,0
28,30,0
34,30,0
53,30,0
56,30,0
29,2,0
32,2,0
68,2,0
29,11,0
45,11,0
30,28,0
31,28,0
30,56,1
40,56,1
68,56,1
33,67,1
40,67,1
58,67,1
34,0,0
44,0,0
50,0,0
57,0,0
63,0,0
68,0,0
73,0,0
88,0,0
34,19,0
42,19,0
48,19,0
35,62,1
40,62,1
80,62,1
36,41,0
71,41,0
84,41,0
36,43,0
38,3,0
48,3,0
38,46,0
40,71,1
41,71,1
76,71,1
41,84,1
91,84,1
99,84,1
45,40,0
56,40,0
62,40,0
63,40,0
67,40,0
71,40,0
83,40,0
45,49,0
79,49,0
53,20,0
54,58,1
67,58,1
78,58,1
55,4,0
90,4,0
55,21,0
70,21,0
93,21,0
55,97,1
89,97,1
58,54,1
58,78,1
65,78,1
74,78,1
80,78,1
59,64,1
75,64,1
59,86,1
87,86,1
98,86,1
60,95,1
61,12,0
62,80,1
78,80,1
88,80,1
63,37,0
63,85,1
64,59,1
70,59,1
86,59,1
65,69,1
79,69,1
65,81,1
68,81,1
92,81,1
65,82,1
99,82,1
67,33,0
68,8,0
79,8,0
69,65,1
78,65,1
81,65,1
82,65,1
70,52,1
71,76,1
88,76,1
99,76,1
72,25,0
73,66,1
83,66,1
74,77,1
74,94,1
98,94,1
75,17,0
75,39,0
93,39,0
75,60,1
90,60,1
95,60,1
76,99,1
82,99,1
84,99,1
77,74,1
78,74,1
94,74,1
79,92,1
81,92,1
83,6,0
86,87,1
86,98,1
94,98,1
91,5,0
93,51,1
96,51,1
96,14,0
97,89,1
