vertex_1,vertex_2,is_treated
0,27,0
30,27,0
67,27,0
81,27,0
0,45,0
4,45,0
13,45,0
1,15,0
42,15,0
1,29,0
93,29,0
98,29,0
2,66,1
3,66,1
10,66,1
64,66,1
3,98,1
7,98,1
18,98,1
22,98,1
29,98,1
57,98,1
4,25,0
4,68,1
18,68,1
19,68,1
47,68,1
75,68,1
4,88,1
77,88,1
95,88,1
5,55,1
8,55,1
85,55,1
6,93,1
18,93,1
29,93,1
99,93,1
7,72,1
19,72,1
62,72,1
8,16,0
41,16,0
8,39,0
34,39,0
8,65,1
90,65,1
9,43,0
23,43,0
37,43,0
42,43,0
9,44,0
33,44,0
9,46,0
31,46,0
34,46,0
35,46,0
41,46,0
11,30,0
13,30,0
27,30,0
28,30,0
33,30,0
11,42,0
15,42,0
43,42,0
11,50,1
94,50,1
11,54,1
62,54,1
12,23,0
32,23,0
36,23,0
43,23,0
12,26,0
33,26,0
12,32,0
23,32,0
14,38,0
40,38,0
14,41,0
16,41,0
46,41,0
15,1,0
29,1,0
16,8,0
39,8,0
55,8,0
65,8,0
17,24,0
40,24,0
17,36,0
23,36,0
34,36,0
18,69,1
21,69,1
58,69,1
18,90,1
20,90,1
65,90,1
20,77,1
28,77,1
31,77,1
88,77,1
23,12,0
26,12,0
32,12,0
24,17,0
36,17,0
24,40,0
38,40,0
47,40,0
25,4,0
45,4,0
68,4,0
88,4,0
26,33,0
30,33,0
44,33,0
27,0,0
45,0,0
27,67,1
47,67,1
70,67,1
73,67,1
27,81,1
84,81,1
28,49,0
30,11,0
42,11,0
50,11,0
54,11,0
30,13,0
45,13,0
30,28,0
49,28,0
77,28,0
31,48,0
52,48,0
36,34,0
39,34,0
46,34,0
38,14,0
41,14,0
40,47,0
67,47,0
68,47,0
78,47,0
43,9,0
44,9,0
46,9,0
43,37,0
46,31,0
48,31,0
77,31,0
46,35,0
47,78,1
62,78,1
48,52,1
87,52,1
50,94,1
71,94,1
89,94,1
91,94,1
51,74,1
51,80,1
71,80,1
52,87,1
56,87,1
63,87,1
76,87,1
53,83,1
86,83,1
92,83,1
54,62,1
72,62,1
78,62,1
84,62,1
55,5,0
55,85,1
60,85,1
86,85,1
99,85,1
56,70,1
67,70,1
56,91,1
86,91,1
94,91,1
56,99,1
82,99,1
85,99,1
93,99,1
59,63,1
64,63,1
87,63,1
61,89,1
79,89,1
94,89,1
61,96,1
62,84,1
81,84,1
63,59,1
63,64,1
66,64,1
97,64,1
64,97,1
92,97,1
66,2,0
66,3,0
98,3,0
66,10,0
67,73,1
68,18,0
69,18,0
90,18,0
93,18,0
98,18,0
68,19,0
72,19,0
68,75,1
69,21,0
69,58,1
70,56,1
87,56,1
91,56,1
99,56,1
72,7,0
98,7,0
74,51,1
80,51,1
77,20,0
90,20,0
80,71,1
94,71,1
83,53,1
83,86,1
85,86,1
91,86,1
83,92,1
97,92,1
85,60,1
87,76,1
88,95,1
89,61,1
96,61,1
89,79,1
93,6,0
98,22,0
98,57,1
99,82,1
