vertex_1,vertex_2,is_treated
0,79,1
28,79,1
62,79,1
0,88,1
6,88,1
7,88,1
11,88,1
28,88,1
34,88,1
51,88,1
1,62,1
28,62,1
79,62,1
2,38,0
3,38,0
28,38,0
2,48,0
8,48,0
47,48,0
77,48,0
98,48,0
3,42,0
19,42,0
20,42,0
4,32,0
77,32,0
90,32,0
4,43,0
26,43,0
47,43,0
5,8,0
12,8,0
26,8,0
48,8,0
5,9,0
13,9,0
5,36,0
5,47,0
43,47,0
48,47,0
5,49,0
7,49,0
13,49,0
40,49,0
7,31,0
12,31,0
20,31,0
8,5,0
9,5,0
36,5,0
47,5,0
49,5,0
8,12,0
31,12,0
8,26,0
43,26,0
46,26,0
9,13,0
23,13,0
35,13,0
45,13,0
49,13,0
10,37,0
23,37,0
10,45,0
13,45,0
10,97,1
72,97,1
13,23,0
37,23,0
51,23,0
92,23,0
13,35,0
33,35,0
14,74,1
65,74,1
15,93,1
94,93,1
16,21,0
24,21,0
33,21,0
63,21,0
16,40,0
30,40,0
49,40,0
17,66,1
18,66,1
95,66,1
18,87,1
28,87,1
65,87,1
19,27,0
72,27,0
21,16,0
40,16,0
21,24,0
29,24,0
21,33,0
35,33,0
21,63,1
68,63,1
22,80,1
28,80,1
94,80,1
23,51,1
88,51,1
23,92,1
60,92,1
72,92,1
73,92,1
24,29,0
25,72,1
27,72,1
92,72,1
97,72,1
26,46,0
30,46,0
55,46,0
58,46,0
27,19,0
42,19,0
28,98,1
48,98,1
85,98,1
30,64,1
57,64,1
78,64,1
31,7,0
49,7,0
88,7,0
31,20,0
42,20,0
32,4,0
43,4,0
32,77,1
48,77,1
94,77,1
32,90,1
67,90,1
34,41,0
37,10,0
45,10,0
97,10,0
38,2,0
48,2,0
38,3,0
42,3,0
38,28,0
62,28,0
79,28,0
80,28,0
87,28,0
88,28,0
98,28,0
39,44,0
58,44,0
39,68,1
63,68,1
86,68,1
40,30,0
46,30,0
64,30,0
41,34,0
88,34,0
44,39,0
68,39,0
44,58,1
46,58,1
54,58,1
46,55,1
69,55,1
50,83,1
65,83,1
70,83,1
86,83,1
52,71,1
67,71,1
75,71,1
52,96,1
61,96,1
75,96,1
53,67,1
71,67,1
90,67,1
54,56,1
60,56,1
55,69,1
81,69,1
82,69,1
56,54,1
58,54,1
56,60,1
76,60,1
92,60,1
59,65,1
74,65,1
83,65,1
87,65,1
59,75,1
71,75,1
96,75,1
60,76,1
62,1,0
64,57,1
64,78,1
65,59,1
75,59,1
66,17,0
66,18,0
87,18,0
66,95,1
91,95,1
67,53,1
68,86,1
83,86,1
89,86,1
69,81,1
70,81,1
69,82,1
70,82,1
71,52,1
96,52,1
72,25,0
73,84,1
89,84,1
74,14,0
77,94,1
80,94,1
93,94,1
79,0,0
88,0,0
80,22,0
81,70,1
82,70,1
83,70,1
83,50,1
84,73,1
92,73,1
84,89,1
86,89,1
88,6,0
88,11,0
91,99,1
93,15,0
95,91,1
99,91,1
96,61,1
98,85,1
