vertex_1,vertex_2,is_treated
0,4,0
7,4,0
22,4,0
47,4,0
0,70,1
34,70,1
50,70,1
0,83,1
55,83,1
0,90,1
58,90,1
1,33,0
22,33,0
1,87,1
26,87,1
78,87,1
2,18,0
22,18,0
25,18,0
44,18,0
2,20,0
9,20,0
48,20,0
53,20,0
3,32,0
12,32,0
36,32,0
3,88,1
63,88,1
4,0,0
70,0,0
83,0,0
90,0,0
4,7,0
4,22,0
18,22,0
33,22,0
4,47,0
23,47,0
36,47,0
5,21,0
24,21,0
6,28,0
35,28,0
37,28,0
6,38,0
23,38,0
44,38,0
6,59,1
19,59,1
71,59,1
94,59,1
8,50,1
70,50,1
74,50,1
77,50,1
10,55,1
29,55,1
83,55,1
10,69,1
34,69,1
57,69,1
64,69,1
11,31,0
27,31,0
35,31,0
37,31,0
11,39,0
42,39,0
46,39,0
12,29,0
35,29,0
55,29,0
12,36,0
32,36,0
47,36,0
13,54,1
17,54,1
82,54,1
13,58,1
90,58,1
93,58,1
13,61,1
62,61,1
65,61,1
14,65,1
61,65,1
92,65,1
14,94,1
59,94,1
15,25,0
18,25,0
15,49,0
24,49,0
16,52,1
19,52,1
41,52,1
79,52,1
17,85,1
68,85,1
18,2,0
20,2,0
18,44,0
24,44,0
38,44,0
20,9,0
20,48,0
43,48,0
45,48,0
20,53,1
24,53,1
99,53,1
21,5,0
21,24,0
30,24,0
44,24,0
49,24,0
51,24,0
53,24,0
24,30,0
41,30,0
96,30,0
24,51,1
92,51,1
95,51,1
25,15,0
49,15,0
26,66,1
79,66,1
27,37,0
28,37,0
31,37,0
27,78,1
87,78,1
28,6,0
38,6,0
59,6,0
28,35,0
29,35,0
31,35,0
29,12,0
32,12,0
36,12,0
30,41,0
52,41,0
72,41,0
30,96,1
45,96,1
80,96,1
31,11,0
39,11,0
31,27,0
37,27,0
78,27,0
32,3,0
88,3,0
33,1,0
87,1,0
38,23,0
47,23,0
39,42,0
39,46,0
40,86,1
45,86,1
91,86,1
41,72,1
73,72,1
48,43,0
48,45,0
86,45,0
96,45,0
50,8,0
50,74,1
56,74,1
68,74,1
75,74,1
50,77,1
73,77,1
51,92,1
65,92,1
51,95,1
57,95,1
89,95,1
52,16,0
52,19,0
59,19,0
52,79,1
66,79,1
53,99,1
54,13,0
58,13,0
61,13,0
54,17,0
85,17,0
54,82,1
55,10,0
69,10,0
56,81,1
75,81,1
57,68,1
71,68,1
74,68,1
80,68,1
85,68,1
58,93,1
59,71,1
68,71,1
98,71,1
60,63,1
76,63,1
88,63,1
61,62,1
97,62,1
62,97,1
63,60,1
63,76,1
64,76,1
65,14,0
94,14,0
66,26,0
87,26,0
67,84,1
91,84,1
68,57,1
69,57,1
95,57,1
68,80,1
73,80,1
91,80,1
96,80,1
69,34,0
70,34,0
69,64,1
76,64,1
71,98,1
72,73,1
77,73,1
80,73,1
74,56,1
81,56,1
74,75,1
81,75,1
80,91,1
84,91,1
86,91,1
84,67,1
86,40,0
95,89,1
