vertex_1,vertex_2,is_treated
0,68,1
19,68,1
26,68,1
84,68,1
1,69,1
11,69,1
31,69,1
33,69,1
36,69,1
65,69,1
1,78,1
9,78,1
64,78,1
1,95,1
19,95,1
34,95,1
77,95,1
2,17,0
10,17,0
2,33,0
19,33,0
43,33,0
56,33,0
69,33,0
3,10,0
17,10,0
41,10,0
3,23,0
25,23,0
29,23,0
40,23,0
4,53,1
21,53,1
77,53,1
4,60,1
36,60,1
92,60,1
4,64,1
15,64,1
36,64,1
78,64,1
4,87,1
7,87,1
54,87,1
81,87,1
5,11,0
69,11,0
5,20,0
46,20,0
5,21,0
15,21,0
53,21,0
6,18,0
12,18,0
13,18,0
14,18,0
25,18,0
6,58,1
7,58,1
16,58,1
85,58,1
8,80,1
52,80,1
94,80,1
9,70,1
79,70,1
10,3,0
23,3,0
10,41,0
12,41,0
19,41,0
37,41,0
44,41,0
11,5,0
20,5,0
21,5,0
12,22,0
35,22,0
39,22,0
44,22,0
13,38,0
35,38,0
39,38,0
13,46,0
20,46,0
55,46,0
15,43,0
33,43,0
44,43,0
15,63,1
40,63,1
59,63,1
17,2,0
33,2,0
18,6,0
58,6,0
18,12,0
22,12,0
41,12,0
18,13,0
38,13,0
46,13,0
18,14,0
18,25,0
23,25,0
19,31,0
24,31,0
69,31,0
21,15,0
43,15,0
63,15,0
64,15,0
22,35,0
38,35,0
45,35,0
22,39,0
38,39,0
42,39,0
48,39,0
22,44,0
41,44,0
43,44,0
23,29,0
47,29,0
23,40,0
63,40,0
86,40,0
92,40,0
24,37,0
41,37,0
24,42,0
39,42,0
47,42,0
27,67,1
74,67,1
28,71,1
86,71,1
29,47,0
42,47,0
30,99,1
32,99,1
76,99,1
31,19,0
33,19,0
41,19,0
68,19,0
95,19,0
31,24,0
37,24,0
42,24,0
32,50,1
77,50,1
33,56,1
82,56,1
89,56,1
35,45,0
49,45,0
39,48,0
40,86,1
71,86,1
85,86,1
40,92,1
60,92,1
45,49,0
46,55,1
72,55,1
50,32,0
99,32,0
50,77,1
53,77,1
95,77,1
51,81,1
87,81,1
98,81,1
52,59,1
63,59,1
74,59,1
82,59,1
88,59,1
94,59,1
52,93,1
52,98,1
81,98,1
91,98,1
96,98,1
53,4,0
60,4,0
64,4,0
87,4,0
55,72,1
57,72,1
75,72,1
56,82,1
59,82,1
56,89,1
58,7,0
87,7,0
58,16,0
58,85,1
86,85,1
91,85,1
97,85,1
59,52,1
80,52,1
93,52,1
98,52,1
59,74,1
67,74,1
73,74,1
59,88,1
83,88,1
94,88,1
59,94,1
80,94,1
83,94,1
88,94,1
60,36,0
64,36,0
69,36,0
61,75,1
72,75,1
62,76,1
99,76,1
66,79,1
70,79,1
67,27,0
68,0,0
68,26,0
68,84,1
96,84,1
69,1,0
78,1,0
95,1,0
69,65,1
70,9,0
78,9,0
71,28,0
72,57,1
74,73,1
75,61,1
76,62,1
79,66,1
80,8,0
81,51,1
84,96,1
98,96,1
85,91,1
90,91,1
98,91,1
85,97,1
87,54,1
88,83,1
94,83,1
91,90,1
95,34,0
99,30,0
