vertex_1,vertex_2,is_treated
0,6,0
32,6,0
0,36,0
1,2,0
23,2,0
44,2,0
48,2,0
1,9,0
20,9,0
2,1,0
9,1,0
2,23,0
35,23,0
41,23,0
2,44,0
16,44,0
26,44,0
39,44,0
2,48,0
26,48,0
3,62,1
12,62,1
59,62,1
60,62,1
4,76,1
89,76,1
5,7,0
17,7,0
85,7,0
5,73,1
25,73,1
71,73,1
5,78,1
58,78,1
5,93,1
12,93,1
96,93,1
6,0,0
36,0,0
6,32,0
13,32,0
35,32,0
7,5,0
73,5,0
78,5,0
93,5,0
7,17,0
14,17,0
46,17,0
7,85,1
12,85,1
87,85,1
8,18,0
49,18,0
52,18,0
94,18,0
8,47,0
34,47,0
9,20,0
24,20,0
31,20,0
37,20,0
10,14,0
17,14,0
22,14,0
10,29,0
26,29,0
27,29,0
42,29,0
11,59,1
62,59,1
12,53,1
19,53,1
21,53,1
24,53,1
31,53,1
46,53,1
96,53,1
13,28,0
33,28,0
42,28,0
13,39,0
44,39,0
14,10,0
29,10,0
14,22,0
16,22,0
60,22,0
91,22,0
15,57,1
19,57,1
63,57,1
84,57,1
15,70,1
21,70,1
86,70,1
17,46,0
49,46,0
53,46,0
65,46,0
18,8,0
47,8,0
18,49,0
27,49,0
46,49,0
18,52,1
90,52,1
92,52,1
18,94,1
34,94,1
99,94,1
20,24,0
41,24,0
53,24,0
20,31,0
53,31,0
75,31,0
20,37,0
21,97,1
77,97,1
22,16,0
44,16,0
22,60,1
62,60,1
22,91,1
30,91,1
86,91,1
23,35,0
27,35,0
32,35,0
23,41,0
24,41,0
25,40,0
25,82,1
34,82,1
86,82,1
25,83,1
50,83,1
26,43,0
28,13,0
32,13,0
39,13,0
28,33,0
45,33,0
28,42,0
29,42,0
89,42,0
29,26,0
43,26,0
44,26,0
48,26,0
29,27,0
35,27,0
49,27,0
30,38,0
31,75,1
58,75,1
72,75,1
33,45,0
38,30,0
91,30,0
40,25,0
73,25,0
82,25,0
83,25,0
42,89,1
56,89,1
63,89,1
76,89,1
46,65,1
74,65,1
47,34,0
82,34,0
94,34,0
50,88,1
51,54,1
63,54,1
51,67,1
81,67,1
95,67,1
51,81,1
67,81,1
51,87,1
85,87,1
52,90,1
56,90,1
52,92,1
66,92,1
86,92,1
53,12,0
62,12,0
85,12,0
93,12,0
53,19,0
57,19,0
53,21,0
70,21,0
97,21,0
53,96,1
93,96,1
95,96,1
54,51,1
67,51,1
81,51,1
87,51,1
54,63,1
57,63,1
89,63,1
55,58,1
61,58,1
75,58,1
78,58,1
57,15,0
70,15,0
57,84,1
80,84,1
58,55,1
58,61,1
59,11,0
62,3,0
64,80,1
69,80,1
84,80,1
65,74,1
99,74,1
67,95,1
96,95,1
68,72,1
69,72,1
75,72,1
79,72,1
69,99,1
74,99,1
94,99,1
98,99,1
70,86,1
82,86,1
91,86,1
92,86,1
72,68,1
72,69,1
80,69,1
99,69,1
72,79,1
77,79,1
73,71,1
76,4,0
79,77,1
97,77,1
80,64,1
83,50,1
88,50,1
89,56,1
90,56,1
92,66,1
99,98,1
