vertex_1,vertex_2,is_treated
0,27,0
24,27,0
0,51,1
6,51,1
47,51,1
0,65,1
19,65,1
64,65,1
0,89,1
41,89,1
60,89,1
68,89,1
1,77,1
34,77,1
70,77,1
2,16,0
45,16,0
46,16,0
47,16,0
50,16,0
2,45,0
16,45,0
37,45,0
2,90,1
33,90,1
41,90,1
63,90,1
3,11,0
7,11,0
3,42,0
28,42,0
99,42,0
3,46,0
16,46,0
23,46,0
4,14,0
6,14,0
15,14,0
4,31,0
20,31,0
5,47,0
16,47,0
37,47,0
51,47,0
5,48,0
20,48,0
44,48,0
6,30,0
15,30,0
23,30,0
37,30,0
38,30,0
6,98,1
25,98,1
62,98,1
7,29,0
38,29,0
8,18,0
9,18,0
8,22,0
28,22,0
9,44,0
32,44,0
48,44,0
10,85,1
39,85,1
82,85,1
11,3,0
42,3,0
46,3,0
11,7,0
29,7,0
12,52,1
23,52,1
54,52,1
13,17,0
32,17,0
13,35,0
49,35,0
14,4,0
31,4,0
14,6,0
30,6,0
51,6,0
98,6,0
14,15,0
30,15,0
16,2,0
45,2,0
90,2,0
16,50,1
28,50,1
38,50,1
17,13,0
35,13,0
17,32,0
44,32,0
18,8,0
22,8,0
18,9,0
44,9,0
19,95,1
23,95,1
38,95,1
66,95,1
21,86,1
23,86,1
40,86,1
87,86,1
22,28,0
42,28,0
50,28,0
24,49,0
35,49,0
26,61,1
33,61,1
67,61,1
27,0,0
51,0,0
65,0,0
89,0,0
27,24,0
49,24,0
29,38,0
30,38,0
50,38,0
95,38,0
30,23,0
46,23,0
52,23,0
86,23,0
95,23,0
30,37,0
45,37,0
47,37,0
31,20,0
48,20,0
33,72,1
39,72,1
75,72,1
33,99,1
42,99,1
92,99,1
36,75,1
72,75,1
81,75,1
39,68,1
89,68,1
39,73,1
57,73,1
41,63,1
90,63,1
43,54,1
52,54,1
78,54,1
43,64,1
65,64,1
47,5,0
48,5,0
52,12,0
53,66,1
93,66,1
95,66,1
53,79,1
53,94,1
55,94,1
81,94,1
97,94,1
54,43,0
64,43,0
54,78,1
55,56,1
84,56,1
55,70,1
77,70,1
80,70,1
96,70,1
55,92,1
71,92,1
83,92,1
99,92,1
56,55,1
70,55,1
92,55,1
94,55,1
56,84,1
57,74,1
71,74,1
57,93,1
66,93,1
69,93,1
91,93,1
58,97,1
94,97,1
59,71,1
74,71,1
91,71,1
92,71,1
60,76,1
82,76,1
61,26,0
61,33,0
72,33,0
90,33,0
99,33,0
61,67,1
63,41,0
89,41,0
90,41,0
65,19,0
95,19,0
66,53,1
79,53,1
94,53,1
68,39,0
72,39,0
73,39,0
85,39,0
70,80,1
70,96,1
71,59,1
71,91,1
93,91,1
73,57,1
74,57,1
93,57,1
75,36,0
75,81,1
94,81,1
76,60,1
89,60,1
76,82,1
85,82,1
88,82,1
77,1,0
77,34,0
82,88,1
85,10,0
86,21,0
86,40,0
86,87,1
92,83,1
93,69,1
97,58,1
98,25,0
98,62,1
