vertex_1,vertex_2,is_treated
0,58,1
5,58,1
8,58,1
50,58,1
1,59,1
78,59,1
86,59,1
96,59,1
2,22,0
34,22,0
46,22,0
2,90,1
15,90,1
16,90,1
91,90,1
2,92,1
16,92,1
72,92,1
3,8,0
30,8,0
43,8,0
46,8,0
58,8,0
3,21,0
24,21,0
38,21,0
41,21,0
4,82,1
15,82,1
66,82,1
5,51,1
15,51,1
16,51,1
20,51,1
40,51,1
68,51,1
5,57,1
9,57,1
40,57,1
95,57,1
5,77,1
23,77,1
56,77,1
88,77,1
6,37,0
44,37,0
6,38,0
21,38,0
31,38,0
35,38,0
45,38,0
7,69,1
18,69,1
60,69,1
7,87,1
18,87,1
40,87,1
63,87,1
8,3,0
21,3,0
8,30,0
32,30,0
33,30,0
47,30,0
8,43,0
20,43,0
34,43,0
39,43,0
41,43,0
8,46,0
22,46,0
35,46,0
9,93,1
78,93,1
9,95,1
57,95,1
10,26,0
39,26,0
67,26,0
10,40,0
28,40,0
51,40,0
57,40,0
87,40,0
10,76,1
98,76,1
11,42,0
19,42,0
25,42,0
11,84,1
18,84,1
52,84,1
12,25,0
27,25,0
32,25,0
42,25,0
12,48,0
29,48,0
13,67,1
18,67,1
26,67,1
91,67,1
14,85,1
83,85,1
15,75,1
23,75,1
62,75,1
17,65,1
73,65,1
18,88,1
77,88,1
19,20,0
39,20,0
43,20,0
51,20,0
20,19,0
42,19,0
20,39,0
26,39,0
35,39,0
43,39,0
21,24,0
21,41,0
27,41,0
43,41,0
22,2,0
90,2,0
92,2,0
22,34,0
43,34,0
25,12,0
48,12,0
25,27,0
41,27,0
25,32,0
29,32,0
30,32,0
49,32,0
26,10,0
40,10,0
76,10,0
30,33,0
30,47,0
32,29,0
48,29,0
32,49,0
35,36,0
44,36,0
36,35,0
38,35,0
39,35,0
46,35,0
36,44,0
37,44,0
37,6,0
38,6,0
38,31,0
38,45,0
40,28,0
42,11,0
84,11,0
50,83,1
74,83,1
85,83,1
51,5,0
57,5,0
58,5,0
77,5,0
51,15,0
75,15,0
82,15,0
90,15,0
51,16,0
90,16,0
92,16,0
51,68,1
99,68,1
53,86,1
59,86,1
66,86,1
54,64,1
55,64,1
62,64,1
80,64,1
54,98,1
76,98,1
79,98,1
91,98,1
55,56,1
77,56,1
55,74,1
83,74,1
94,74,1
99,74,1
56,55,1
64,55,1
74,55,1
57,9,0
93,9,0
95,9,0
58,0,0
58,50,1
83,50,1
59,1,0
59,78,1
93,78,1
59,96,1
73,96,1
61,70,1
63,70,1
61,81,1
89,81,1
63,71,1
63,73,1
65,73,1
96,73,1
63,97,1
64,54,1
98,54,1
64,62,1
75,62,1
64,80,1
65,17,0
67,13,0
67,18,0
69,18,0
84,18,0
87,18,0
88,18,0
67,91,1
90,91,1
94,91,1
98,91,1
68,99,1
74,99,1
69,7,0
87,7,0
69,60,1
70,61,1
81,61,1
70,63,1
71,63,1
73,63,1
87,63,1
97,63,1
74,94,1
91,94,1
75,23,0
77,23,0
81,89,1
82,4,0
82,66,1
86,66,1
84,52,1
85,14,0
86,53,1
92,72,1
98,79,1
