vertex_1,vertex_2,is_treated
0,64,1
21,64,1
48,64,1
73,64,1
1,14,0
35,14,0
36,14,0
1,42,0
41,42,0
45,42,0
49,42,0
1,70,1
17,70,1
54,70,1
2,19,0
5,19,0
16,19,0
2,48,0
9,48,0
64,48,0
3,29,0
3,35,0
14,35,0
4,20,0
11,20,0
32,20,0
43,20,0
4,41,0
25,41,0
31,41,0
42,41,0
71,41,0
5,9,0
34,9,0
48,9,0
74,9,0
5,36,0
10,36,0
14,36,0
63,36,0
6,84,1
8,84,1
40,84,1
73,84,1
76,84,1
6,85,1
69,85,1
7,63,1
18,63,1
27,63,1
36,63,1
82,63,1
8,81,1
66,81,1
9,5,0
19,5,0
36,5,0
9,34,0
9,74,1
59,74,1
10,15,0
25,15,0
11,23,0
26,23,0
11,37,0
31,37,0
46,37,0
76,37,0
97,37,0
11,44,0
12,55,1
94,55,1
12,65,1
80,65,1
12,72,1
77,72,1
13,69,1
45,69,1
83,69,1
85,69,1
14,1,0
42,1,0
70,1,0
15,10,0
36,10,0
15,25,0
41,25,0
16,38,0
31,38,0
46,38,0
16,47,0
43,47,0
17,62,1
21,62,1
24,62,1
97,62,1
17,86,1
18,86,1
91,86,1
18,58,1
71,58,1
19,2,0
48,2,0
19,16,0
38,16,0
47,16,0
20,4,0
41,4,0
20,11,0
23,11,0
37,11,0
44,11,0
20,32,0
90,32,0
20,43,0
30,43,0
39,43,0
46,43,0
47,43,0
21,76,1
24,76,1
37,76,1
40,76,1
84,76,1
22,60,1
67,60,1
23,26,0
33,26,0
24,90,1
32,90,1
98,90,1
26,33,0
27,91,1
80,91,1
86,91,1
28,39,0
43,39,0
49,39,0
28,40,0
76,40,0
84,40,0
97,40,0
29,3,0
35,3,0
30,46,0
37,46,0
38,46,0
43,46,0
37,31,0
38,31,0
41,31,0
37,97,1
40,97,1
62,97,1
39,28,0
40,28,0
39,49,0
42,49,0
41,71,1
58,71,1
42,45,0
69,45,0
43,30,0
46,30,0
50,94,1
55,94,1
66,94,1
67,94,1
89,94,1
51,98,1
90,98,1
52,80,1
65,80,1
91,80,1
96,80,1
99,80,1
53,56,1
57,56,1
78,56,1
83,56,1
87,56,1
54,68,1
55,12,0
65,12,0
72,12,0
56,53,1
56,57,1
56,78,1
56,83,1
69,83,1
87,83,1
92,83,1
56,87,1
66,87,1
83,87,1
58,18,0
63,18,0
86,18,0
59,77,1
72,77,1
96,77,1
59,89,1
94,89,1
60,22,0
60,67,1
94,67,1
61,73,1
64,73,1
84,73,1
61,88,1
62,17,0
70,17,0
86,17,0
62,21,0
64,21,0
76,21,0
62,24,0
76,24,0
90,24,0
63,7,0
63,27,0
91,27,0
63,82,1
75,82,1
92,82,1
64,0,0
66,96,1
77,96,1
80,96,1
68,54,1
70,54,1
69,13,0
73,61,1
88,61,1
74,59,1
77,59,1
89,59,1
75,95,1
93,95,1
79,93,1
95,93,1
80,52,1
80,99,1
81,8,0
84,8,0
81,66,1
87,66,1
94,66,1
96,66,1
82,75,1
95,75,1
82,92,1
83,92,1
84,6,0
85,6,0
93,79,1
94,50,1
98,51,1
