vertex_1,vertex_2,is_treated
0,21,0
4,21,0
17,21,0
48,21,0
0,44,0
25,44,0
28,44,0
0,50,1
38,50,1
77,50,1
1,46,0
35,46,0
39,46,0
1,63,1
12,63,1
45,63,1
51,63,1
1,87,1
3,87,1
23,87,1
53,87,1
2,19,0
11,19,0
2,22,0
11,22,0
37,22,0
4,30,0
32,30,0
36,30,0
40,30,0
4,40,0
10,40,0
30,40,0
45,40,0
59,40,0
73,40,0
88,40,0
5,10,0
40,10,0
73,10,0
5,41,0
26,41,0
43,41,0
6,97,1
58,97,1
66,97,1
7,27,0
17,27,0
18,27,0
26,27,0
7,42,0
8,42,0
8,11,0
19,11,0
22,11,0
9,79,1
64,79,1
65,79,1
9,80,1
13,80,1
99,80,1
9,89,1
20,89,1
76,89,1
10,5,0
41,5,0
10,73,1
40,73,1
59,73,1
74,73,1
11,8,0
42,8,0
12,92,1
91,92,1
93,92,1
14,52,1
23,52,1
65,52,1
14,90,1
56,90,1
15,25,0
33,25,0
44,25,0
15,33,0
16,33,0
25,33,0
16,29,0
17,38,0
50,38,0
18,47,0
19,2,0
22,2,0
20,51,1
23,51,1
63,51,1
98,51,1
21,0,0
44,0,0
50,0,0
21,4,0
30,4,0
40,4,0
21,17,0
27,17,0
38,17,0
21,48,0
31,48,0
22,37,0
45,37,0
23,68,1
70,68,1
24,49,0
35,49,0
24,99,1
80,99,1
25,15,0
33,15,0
26,39,0
46,39,0
27,7,0
42,7,0
27,18,0
47,18,0
27,26,0
39,26,0
41,26,0
28,84,1
81,84,1
29,16,0
33,16,0
30,32,0
30,36,0
31,67,1
88,67,1
34,45,0
37,45,0
40,45,0
63,45,0
40,59,1
43,59,1
73,59,1
75,59,1
40,88,1
57,88,1
67,88,1
41,43,0
59,43,0
86,43,0
43,86,1
70,86,1
85,86,1
44,28,0
84,28,0
45,34,0
46,1,0
63,1,0
87,1,0
46,35,0
49,35,0
48,31,0
67,31,0
49,24,0
99,24,0
50,77,1
51,20,0
89,20,0
51,23,0
52,23,0
68,23,0
87,23,0
51,98,1
52,14,0
90,14,0
52,65,1
79,65,1
81,65,1
95,65,1
53,74,1
73,74,1
76,74,1
85,74,1
53,75,1
59,75,1
53,82,1
54,76,1
74,76,1
78,76,1
89,76,1
94,76,1
54,78,1
76,78,1
55,61,1
93,61,1
55,71,1
57,60,1
58,64,1
70,64,1
79,64,1
60,57,1
88,57,1
61,55,1
71,55,1
61,93,1
92,93,1
95,93,1
62,72,1
69,72,1
62,95,1
65,95,1
93,95,1
63,12,0
92,12,0
64,58,1
97,58,1
64,70,1
68,70,1
86,70,1
65,81,1
84,81,1
72,62,1
95,62,1
72,69,1
74,53,1
75,53,1
82,53,1
87,53,1
74,85,1
83,85,1
86,85,1
76,54,1
78,54,1
76,94,1
79,9,0
80,9,0
89,9,0
80,13,0
83,96,1
85,83,1
96,83,1
87,3,0
90,56,1
92,91,1
97,6,0
97,66,1
