vertex_1,vertex_2,is_treated
0,51,1
16,51,1
18,51,1
24,51,1
98,51,1
0,70,1
85,70,1
0,75,1
9,75,1
24,75,1
58,75,1
1,74,1
11,74,1
66,74,1
1,87,1
71,87,1
2,19,0
22,19,0
36,19,0
81,19,0
2,22,0
19,22,0
31,22,0
44,22,0
63,22,0
81,22,0
2,23,0
7,23,0
2,30,0
2,49,0
20,49,0
3,38,0
20,38,0
63,38,0
4,57,1
73,57,1
5,40,0
12,40,0
35,40,0
5,42,0
10,42,0
29,42,0
5,48,0
76,48,0
99,48,0
6,21,0
14,21,0
6,53,1
15,53,1
99,53,1
6,80,1
96,80,1
8,26,0
45,26,0
56,26,0
62,26,0
91,26,0
8,37,0
17,37,0
8,41,0
47,41,0
76,41,0
8,43,0
10,35,0
39,35,0
40,35,0
11,96,1
27,96,1
80,96,1
86,96,1
11,99,1
48,99,1
53,99,1
12,45,0
26,45,0
34,45,0
47,45,0
13,29,0
42,29,0
13,34,0
33,34,0
45,34,0
13,44,0
22,44,0
36,44,0
14,31,0
22,31,0
15,81,1
19,81,1
22,81,1
71,81,1
17,24,0
28,24,0
51,24,0
75,24,0
19,2,0
22,2,0
23,2,0
30,2,0
49,2,0
19,36,0
32,36,0
44,36,0
20,56,1
26,56,1
39,56,1
91,56,1
20,78,1
72,78,1
76,78,1
21,6,0
53,6,0
80,6,0
21,14,0
31,14,0
22,63,1
38,63,1
92,63,1
23,7,0
24,17,0
37,17,0
24,28,0
54,28,0
25,52,1
27,52,1
85,52,1
26,8,0
37,8,0
41,8,0
43,8,0
26,62,1
64,62,1
26,91,1
56,91,1
27,46,0
28,54,1
65,54,1
88,54,1
29,13,0
34,13,0
44,13,0
32,72,1
78,72,1
34,33,0
35,10,0
42,10,0
35,39,0
56,39,0
58,39,0
36,32,0
72,32,0
38,3,0
38,20,0
49,20,0
56,20,0
78,20,0
39,58,1
67,58,1
68,58,1
75,58,1
40,5,0
42,5,0
48,5,0
40,12,0
45,12,0
41,47,0
45,47,0
41,76,1
48,76,1
78,76,1
46,27,0
52,27,0
96,27,0
50,88,1
54,88,1
77,88,1
51,0,0
70,0,0
75,0,0
51,16,0
51,18,0
51,98,1
65,98,1
52,25,0
52,85,1
70,85,1
82,85,1
53,15,0
81,15,0
54,65,1
98,65,1
55,59,1
61,59,1
86,59,1
55,79,1
55,90,1
73,90,1
95,90,1
57,4,0
57,73,1
86,73,1
90,73,1
58,67,1
82,67,1
58,68,1
59,55,1
79,55,1
90,55,1
59,61,1
60,61,1
59,86,1
73,86,1
93,86,1
96,86,1
61,60,1
62,64,1
84,64,1
92,64,1
63,92,1
64,92,1
64,84,1
69,84,1
82,84,1
89,84,1
67,82,1
84,82,1
85,82,1
69,94,1
71,77,1
88,77,1
71,83,1
74,1,0
87,1,0
74,11,0
96,11,0
99,11,0
74,66,1
75,9,0
77,71,1
81,71,1
83,71,1
87,71,1
84,69,1
94,69,1
84,89,1
86,93,1
88,50,1
90,95,1
97,95,1
95,97,1
