vertex_1,vertex_2,is_treated
0,58,1
47,58,1
74,58,1
0,91,1
69,91,1
0,99,1
72,99,1
77,99,1
1,9,0
10,9,0
19,9,0
42,9,0
43,9,0
1,23,0
40,23,0
1,31,0
8,31,0
1,46,0
2,73,1
27,73,1
88,73,1
3,4,0
88,4,0
3,24,0
18,24,0
35,24,0
3,75,1
47,75,1
89,75,1
4,3,0
24,3,0
75,3,0
4,88,1
47,88,1
73,88,1
5,66,1
20,66,1
76,66,1
6,53,1
27,53,1
51,53,1
6,87,1
29,87,1
49,87,1
71,87,1
79,87,1
6,90,1
14,90,1
98,90,1
7,25,0
18,25,0
41,25,0
8,10,0
9,10,0
43,10,0
8,41,0
25,41,0
80,41,0
8,56,1
13,56,1
27,56,1
68,56,1
93,56,1
8,80,1
27,80,1
41,80,1
85,80,1
9,1,0
23,1,0
31,1,0
46,1,0
9,19,0
11,19,0
44,19,0
9,42,0
12,42,0
15,42,0
16,42,0
9,43,0
10,43,0
34,43,0
10,8,0
31,8,0
41,8,0
56,8,0
80,8,0
11,22,0
26,22,0
11,33,0
36,33,0
12,35,0
24,35,0
26,35,0
14,83,1
29,83,1
76,83,1
15,34,0
36,34,0
39,34,0
43,34,0
48,34,0
15,79,1
32,79,1
87,79,1
98,79,1
16,36,0
33,36,0
34,36,0
38,36,0
47,36,0
16,39,0
26,39,0
34,39,0
16,50,1
68,50,1
17,59,1
86,59,1
18,45,0
19,11,0
22,11,0
33,11,0
19,44,0
30,44,0
21,77,1
28,77,1
99,77,1
22,26,0
35,26,0
39,26,0
23,40,0
48,40,0
24,18,0
25,18,0
45,18,0
25,7,0
27,81,1
38,81,1
60,81,1
28,67,1
62,67,1
30,49,0
87,49,0
34,15,0
42,15,0
79,15,0
34,48,0
40,48,0
35,12,0
42,12,0
36,16,0
39,16,0
42,16,0
50,16,0
36,38,0
81,38,0
36,47,0
58,47,0
75,47,0
88,47,0
37,55,1
61,55,1
44,30,0
49,30,0
50,68,1
56,68,1
93,68,1
51,64,1
84,64,1
51,84,1
64,84,1
82,84,1
94,84,1
52,65,1
57,65,1
97,65,1
53,6,0
87,6,0
90,6,0
53,27,0
56,27,0
73,27,0
80,27,0
81,27,0
53,51,1
64,51,1
84,51,1
54,76,1
66,76,1
83,76,1
55,37,0
55,61,1
93,61,1
94,61,1
56,13,0
56,93,1
61,93,1
68,93,1
57,63,1
58,0,0
91,0,0
99,0,0
58,74,1
59,17,0
59,86,1
78,86,1
60,70,1
82,70,1
61,94,1
78,94,1
84,94,1
62,97,1
65,97,1
63,57,1
65,57,1
65,52,1
66,5,0
66,20,0
67,28,0
77,28,0
67,62,1
97,62,1
69,78,1
86,78,1
94,78,1
70,60,1
81,60,1
70,82,1
84,82,1
95,82,1
72,89,1
75,89,1
92,89,1
73,2,0
76,54,1
77,21,0
78,69,1
91,69,1
79,32,0
79,98,1
90,98,1
92,98,1
80,85,1
96,85,1
82,95,1
83,14,0
90,14,0
83,29,0
87,29,0
85,96,1
87,71,1
89,72,1
99,72,1
89,92,1
98,92,1
