vertex_1,vertex_2,is_treated
0,30,0
14,30,0
49,30,0
0,33,0
3,33,0
44,33,0
0,86,1
9,86,1
10,86,1
13,86,1
42,86,1
88,86,1
0,92,1
60,92,1
1,65,1
42,65,1
48,65,1
60,65,1
2,5,0
37,5,0
2,46,0
21,46,0
32,46,0
2,55,1
15,55,1
18,55,1
26,55,1
27,55,1
48,55,1
79,55,1
2,94,1
52,94,1
71,94,1
3,8,0
26,8,0
27,8,0
4,14,0
28,14,0
30,14,0
4,43,0
41,43,0
5,2,0
46,2,0
55,2,0
94,2,0
5,37,0
25,37,0
42,37,0
6,53,1
66,53,1
6,87,1
7,87,1
11,87,1
17,87,1
24,87,1
45,87,1
82,87,1
6,88,1
57,88,1
86,88,1
97,88,1
6,99,1
70,99,1
8,3,0
33,3,0
8,26,0
29,26,0
31,26,0
55,26,0
8,27,0
55,27,0
12,35,0
19,35,0
82,35,0
12,40,0
49,40,0
14,4,0
43,4,0
14,28,0
31,28,0
16,19,0
31,19,0
35,19,0
38,19,0
44,19,0
48,19,0
16,29,0
26,29,0
16,39,0
34,39,0
45,39,0
16,45,0
39,45,0
87,45,0
16,49,0
30,49,0
40,49,0
47,49,0
17,51,1
74,51,1
17,75,1
41,75,1
79,75,1
17,95,1
38,95,1
47,95,1
58,95,1
18,81,1
84,81,1
96,81,1
19,16,0
29,16,0
39,16,0
45,16,0
49,16,0
19,31,0
26,31,0
28,31,0
19,38,0
95,38,0
19,44,0
22,44,0
33,44,0
93,44,0
19,48,0
55,48,0
62,48,0
65,48,0
20,23,0
42,23,0
21,71,1
94,71,1
22,36,0
23,20,0
23,42,0
37,42,0
65,42,0
86,42,0
24,32,0
46,32,0
25,69,1
60,69,1
73,69,1
30,0,0
33,0,0
86,0,0
92,0,0
32,24,0
87,24,0
35,12,0
40,12,0
35,82,1
87,82,1
36,22,0
44,22,0
37,25,0
69,25,0
39,34,0
43,41,0
75,41,0
44,93,1
97,93,1
46,21,0
71,21,0
48,62,1
56,62,1
49,47,0
95,47,0
50,84,1
63,84,1
81,84,1
98,84,1
51,17,0
75,17,0
87,17,0
95,17,0
51,74,1
58,74,1
52,90,1
76,90,1
53,6,0
87,6,0
88,6,0
99,6,0
53,66,1
54,66,1
85,66,1
55,15,0
55,18,0
81,18,0
55,79,1
75,79,1
77,79,1
80,79,1
56,78,1
57,91,1
58,64,1
58,98,1
84,98,1
59,67,1
61,67,1
77,67,1
59,68,1
80,68,1
59,89,1
60,89,1
61,73,1
69,73,1
83,73,1
62,56,1
78,56,1
64,58,1
74,58,1
95,58,1
98,58,1
65,1,0
65,60,1
69,60,1
89,60,1
92,60,1
66,54,1
66,85,1
72,85,1
67,59,1
68,59,1
89,59,1
67,61,1
73,61,1
67,77,1
79,77,1
68,80,1
79,80,1
73,83,1
81,96,1
84,50,1
84,63,1
85,72,1
86,9,0
86,10,0
86,13,0
87,7,0
87,11,0
88,57,1
91,57,1
88,97,1
93,97,1
90,52,1
94,52,1
90,76,1
99,70,1
