vertex_1,vertex_2,is_treated
0,79,1
13,79,1
97,79,1
1,85,1
7,85,1
50,85,1
64,85,1
2,31,0
16,31,0
25,31,0
2,41,0
22,41,0
40,41,0
3,14,0
16,14,0
45,14,0
3,21,0
5,21,0
12,21,0
24,21,0
3,49,0
11,49,0
23,49,0
4,11,0
29,11,0
49,11,0
5,25,0
31,25,0
5,36,0
5,47,0
17,47,0
30,47,0
6,52,1
20,52,1
99,52,1
6,63,1
26,63,1
77,63,1
6,67,1
7,67,1
27,67,1
62,67,1
81,67,1
7,38,0
7,58,1
84,58,1
8,12,0
15,12,0
21,12,0
46,12,0
8,60,1
13,60,1
48,60,1
93,60,1
8,97,1
22,97,1
79,97,1
9,32,0
45,32,0
46,32,0
9,34,0
29,34,0
39,34,0
9,35,0
55,35,0
76,35,0
10,80,1
54,80,1
72,80,1
11,4,0
11,29,0
15,29,0
24,29,0
34,29,0
12,8,0
60,8,0
97,8,0
12,15,0
22,15,0
29,15,0
12,46,0
32,46,0
42,46,0
13,57,1
28,57,1
59,57,1
14,3,0
21,3,0
49,3,0
14,16,0
31,16,0
83,16,0
14,45,0
32,45,0
39,45,0
15,22,0
41,22,0
97,22,0
16,83,1
27,83,1
84,83,1
17,44,0
23,44,0
18,61,1
30,61,1
71,61,1
93,61,1
18,71,1
19,71,1
56,71,1
61,71,1
18,76,1
27,76,1
35,76,1
51,76,1
20,50,1
85,50,1
20,78,1
28,78,1
86,78,1
21,5,0
25,5,0
36,5,0
47,5,0
21,24,0
29,24,0
33,24,0
43,24,0
24,33,0
48,33,0
24,43,0
37,43,0
40,43,0
28,95,1
65,95,1
31,2,0
41,2,0
32,9,0
34,9,0
35,9,0
33,48,0
53,48,0
60,48,0
34,39,0
45,39,0
35,55,1
87,55,1
38,7,0
58,7,0
67,7,0
85,7,0
41,40,0
43,40,0
43,37,0
44,17,0
47,17,0
44,23,0
49,23,0
46,42,0
47,30,0
61,30,0
48,53,1
70,53,1
50,20,0
52,20,0
78,20,0
51,92,1
59,92,1
66,92,1
51,94,1
52,6,0
63,6,0
67,6,0
52,99,1
89,99,1
53,70,1
69,70,1
72,70,1
54,75,1
93,75,1
55,87,1
66,87,1
82,87,1
57,13,0
60,13,0
79,13,0
57,28,0
78,28,0
95,28,0
57,59,1
92,59,1
58,84,1
83,84,1
60,93,1
61,93,1
75,93,1
90,93,1
61,18,0
71,18,0
76,18,0
62,65,1
88,65,1
95,65,1
62,81,1
67,81,1
62,82,1
87,82,1
63,26,0
63,77,1
64,69,1
70,69,1
86,69,1
98,69,1
65,62,1
67,62,1
81,62,1
82,62,1
65,88,1
90,88,1
66,73,1
67,27,0
76,27,0
83,27,0
68,86,1
69,86,1
78,86,1
69,64,1
85,64,1
69,98,1
74,98,1
70,72,1
80,72,1
71,19,0
71,56,1
73,66,1
87,66,1
92,66,1
75,54,1
80,54,1
76,51,1
92,51,1
94,51,1
79,0,0
80,10,0
85,1,0
86,68,1
88,90,1
93,90,1
96,90,1
90,96,1
91,96,1
96,91,1
98,74,1
99,89,1
