vertex_1,vertex_2,is_treated
0,7,0
27,7,0
33,7,0
42,7,0
0,57,1
30,57,1
66,57,1
0,73,1
98,73,1
1,79,1
18,79,1
19,79,1
22,79,1
62,79,1
2,31,0
29,31,0
33,31,0
53,31,0
99,31,0
2,67,1
15,67,1
22,67,1
24,67,1
25,67,1
43,67,1
76,67,1
2,91,1
63,91,1
3,68,1
42,68,1
81,68,1
4,36,0
39,36,0
48,36,0
5,21,0
12,21,0
16,21,0
5,47,0
32,47,0
38,47,0
48,47,0
6,53,1
20,53,1
31,53,1
42,53,1
74,53,1
6,66,1
34,66,1
57,66,1
7,0,0
57,0,0
73,0,0
7,27,0
39,27,0
7,33,0
26,33,0
31,33,0
43,33,0
7,42,0
8,42,0
45,42,0
53,42,0
68,42,0
8,28,0
38,28,0
9,65,1
96,65,1
10,24,0
12,24,0
67,24,0
10,45,0
32,45,0
42,45,0
10,52,1
63,52,1
11,92,1
15,92,1
61,92,1
12,13,0
16,13,0
12,26,0
33,26,0
78,26,0
12,40,0
23,40,0
46,40,0
12,44,0
14,44,0
34,44,0
13,12,0
21,12,0
24,12,0
26,12,0
40,12,0
44,12,0
13,16,0
21,16,0
37,16,0
41,16,0
14,39,0
27,39,0
32,39,0
36,39,0
15,69,1
19,69,1
55,69,1
16,37,0
16,41,0
46,41,0
17,35,0
50,35,0
17,49,0
18,84,1
83,84,1
19,96,1
43,96,1
65,96,1
19,99,1
31,99,1
71,99,1
21,5,0
47,5,0
23,29,0
31,29,0
24,10,0
45,10,0
52,10,0
25,75,1
34,75,1
58,75,1
26,78,1
48,78,1
97,78,1
28,8,0
42,8,0
28,38,0
47,38,0
29,23,0
40,23,0
30,50,1
35,50,1
85,50,1
87,50,1
30,94,1
83,94,1
31,2,0
67,2,0
91,2,0
33,43,0
64,43,0
67,43,0
96,43,0
35,17,0
49,17,0
36,4,0
36,48,0
47,48,0
78,48,0
39,14,0
44,14,0
39,32,0
45,32,0
47,32,0
40,46,0
41,46,0
43,64,1
89,64,1
44,34,0
66,34,0
75,34,0
50,30,0
57,30,0
94,30,0
50,85,1
58,85,1
60,85,1
72,85,1
90,85,1
50,87,1
90,87,1
51,74,1
53,74,1
77,74,1
51,76,1
59,76,1
67,76,1
51,86,1
54,86,1
88,86,1
52,63,1
91,63,1
53,6,0
66,6,0
53,20,0
54,55,1
69,55,1
54,81,1
68,81,1
95,81,1
54,83,1
84,83,1
94,83,1
55,54,1
81,54,1
83,54,1
86,54,1
56,60,1
85,60,1
93,60,1
56,82,1
59,82,1
56,89,1
64,89,1
71,89,1
60,56,1
82,56,1
89,56,1
60,93,1
70,93,1
61,77,1
74,77,1
61,95,1
81,95,1
65,9,0
67,15,0
69,15,0
92,15,0
67,22,0
79,22,0
67,25,0
75,25,0
68,3,0
69,19,0
79,19,0
96,19,0
99,19,0
73,98,1
74,51,1
76,51,1
86,51,1
75,58,1
85,58,1
76,59,1
82,59,1
77,61,1
92,61,1
95,61,1
78,97,1
80,97,1
79,1,0
79,18,0
84,18,0
79,62,1
85,72,1
85,90,1
87,90,1
86,88,1
89,71,1
99,71,1
92,11,0
93,70,1
97,80,1
